host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,sector,n_sectors_observed,sectors_observed,predicted_probability,in_distribution_univariate,ood_features,multivariate_ood_score,multivariate_ood_flag,in_distribution
TIC_465799362,Success,8.919257085576737,7.450111984366317,0.000240096,19.486932219912152,0.0461671734203701,4105.865648035893,0.0479861533966658,0.9966874292529232,0.9967723519709129,0.0011931575069337,0.9996631488744538,0.9929781810350146,2.3643926123539503,0.0517594589587098,7.803981836260976,4.0,4.0,0.0,6.327368921804766e-06,0.0035667859345313,-9.0210362856169e-05,0.7875848551085929,20.770313073732954,96.84095829102444,0.846145,5188.0,103,3,"103,102,101",0.7475294020718901,False,"period=19.49 (above training max 14.1, 38% over)",-0.390002794244838,False,False
TIC_447185974,Success,6.995591678139935,5.060813900124871,0.009443778,25.42575790767622,0.1085473692188081,4108.725367217548,0.0447634370051305,0.9853664422849968,0.9848065944885076,0.0028093692826807,0.977525486152938,1.000278949701593,4.950144158870121,0.1087882797088405,11.322567824331022,3.0,3.0,0.0,4.477402128845439e-05,0.013160966972765,0.0003700409983841,0.1479125899958939,22.012752107753897,44.60909583297325,1.17104,3603.0,103,3,"103,102,101",0.7349815173635882,False,"period=25.43 (above training max 14.1, 80% over)",-0.4770082052874742,False,False
TIC_364355149,Success,7.328255491801415,6.148188531747188,0.005282113,0.5522153064636621,0.0005544244135131,4101.568004210414,0.0012864187994371,0.9806149036453008,0.9333370314473998,0.0158527274170478,0.937153799201467,0.9285660717548158,0.1970052072036451,0.1252106092823726,3.603576724198233,138.0,27.0,111.0,0.0091353685253476,0.0823731879746012,0.0089546534742568,278.9440091535612,762.2827838604215,203.0287382919923,0.337699,3256.0,103,3,"103,102,101",0.7297505785237445,False,"transit_count=138 (above training max 78, 77% over); empty_transit_count=111 (above training max 32, 247% over); MULTIVARIATE: unusual combination of feature values (anomaly score=-0.680, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.6798394765559406,True,False
TIC_343297686,Success,9.872415531185442,9.334555467041383,8.0032e-05,13.018161744859947,0.0336014874796219,4101.260955181022,0.0353516236887951,0.9063670234947768,0.9406548864933408,0.0192897630757498,0.9426952436091705,0.936914231780987,0.0937328081273133,0.2751829750340659,4.499350370178565,6.0,3.0,3.0,0.0028282986961338,0.0032299465364937,0.0021984518746598,-0.2537707503128573,25.638625016877302,288.13228999997955,0.205679,3115.0,103,3,"103,102,101",0.7254526629096805,True,"MULTIVARIATE: unusual combination of feature values (anomaly score=-0.580, below the training-calibrated threshold -- individual features may each be in-range, but this specific combination is atypical)",-0.5796661501377282,True,False
TIC_363275408,Success,15.394768120961082,6.546236967892033,8.0032e-05,25.69818137708651,0.0951626846122781,4101.885961670354,0.053365682567064,0.99511144849514,0.9944677428179312,0.002396583957839,0.996223748784644,0.991913552320894,0.6129244320056205,0.0628777864555959,13.300888966594751,3.0,3.0,0.0,4.502668598022165e-06,0.0066343478711562,1.6564952488584694e-05,-11.49845243182848,18.64702933846288,101.7293567089946,0.804078,5147.0,103,3,"103,102,101",0.711164394728521,False,"period=25.7 (above training max 14.1, 82% over)",-0.43421952609605907,False,False
TIC_294769705,Success,12.562572441820006,7.4675210818316575,8.0032e-05,23.681055368832524,0.0725396291199746,4103.916111075495,0.0301363018504712,0.9900788388352716,0.9902076122414624,0.0024949406921814,0.9947219864237368,0.9856932380591874,1.4685678627163616,0.0895753263570621,16.51305619345308,4.0,4.0,0.0,7.277760511066503e-06,0.0116853855052766,0.0001454439049748,-1.8991195950302555,32.8533621592919,122.07618816604372,0.601578,3971.0,103,3,"103,102,101",0.7070854032403207,False,"period=23.68 (above training max 14.1, 68% over)",-0.4420351292483205,False,False
TIC_464317121,Success,33.99501082066631,9.005384253378072,8.0032e-05,25.668334781606983,0.0500233242875118,4125.856336105202,0.0553670164538335,0.9992535738448964,0.999129395417308,0.0002991349577684,0.9993530373963542,0.9982907379958836,1.577591387991243,0.0245697405957022,17.5136934391433,3.0,3.0,0.0,4.437612219324631e-08,0.0012401143696664,-8.882018895928212e-07,-1.9618463231602885,18.047813262217225,170.1727453750209,12.1341,4758.0,103,3,"103,102,101",0.6831100379781431,False,"period=25.67 (above training max 14.1, 82% over)",-0.44465651534924744,False,False
TIC_371928668,Success,11.277072649070057,6.866798956796106,8.0032e-05,31.251749643775025,0.1464271914207131,4120.064700245018,0.0725247577203901,0.9987216920495704,0.998617604997847,0.0002234174445414,0.999460263656856,0.9984231453073064,3.2573288310091217,0.0321532510783878,17.927435747567106,2.0,2.0,0.0,9.198127139576832e-08,0.0005185591747748,3.824999318724487e-06,0.1925174233237259,13.77076909239756,206.47880091599657,20.5992,4417.0,103,3,"103,102,101",0.6799810730283502,False,"period=31.25 (above training max 14.1, 122% over)",-0.45264695810083805,False,False
TIC_424136217,Success,8.69169465686718,3.669400158561287,0.000320128,27.248372390482487,0.0270034188348731,4125.8174731862255,0.0625324749817452,0.99882385037583,0.9980762048583344,0.000869683118692,0.9997315422447384,0.9944896405211257,2.306019120962872,0.0308417089109469,35.85706588709466,2.0,2.0,0.0,5.000521706676599e-08,0.0026209508618063,-8.668518454157947e-07,0.4102260977197935,15.972882101138824,161.2692867089645,58.8367,3930.0,103,3,"103,102,101",0.6729749849859697,False,"period=27.25 (above training max 14.1, 93% over)",-0.4766969612919412,False,False
TIC_341311287,Success,30.261930067639067,11.296905160800303,8.0032e-05,24.10362901845515,0.0459389336650932,4103.310893365001,0.0452997196744628,0.9992209932010048,0.9990191295517572,0.0003378767512107,0.999046081662544,0.9989921774409704,0.0564896305456169,0.0251002340365081,23.3952857906775,4.0,4.0,0.0,4.2145603188727406e-08,0.0016432134430309,-3.522423595470059e-06,0.0652548100421158,22.057995068881265,167.1915663749678,19.2143,4468.0,103,3,"103,102,101",0.6662292336144012,False,"period=24.1 (above training max 14.1, 71% over)",-0.46188931437499336,False,False
TIC_466093558,Success,8.977203874291929,7.023152203716159,0.000240096,26.05936858056319,0.0865140064784881,4125.283324986562,0.0798894156771968,0.9897749071311568,0.990181750480082,0.0019485599271606,0.9897918386526664,0.9908640961780588,0.1958086860649625,0.0909370323777774,8.982393122571043,2.0,2.0,0.0,2.6047833705542495e-05,0.0005361287626961,6.953974328727242e-05,-4.163649848990871,12.389312135295436,96.03924220899351,0.637406,3986.0,103,3,"103,102,101",0.6524002039372582,False,"period=26.06 (above training max 14.1, 85% over)",-0.4290157455097225,False,False
TIC_238831201,Success,16.00649098191873,10.415478630581692,8.0032e-05,0.5383827659676673,0.0008322279666075,4101.554278632425,0.053027754865057,0.9976974599481496,0.99788727291784,0.0001036501707465,0.9977943962126832,0.9979807754768056,0.6370208364765606,0.0431529751805606,20.25723603353577,141.0,120.0,21.0,1.622131392684394e-05,0.0019015013791975,0.002029627323685,-3.0459641258667975,18.81462759430513,218.8735592910089,0.318299,2965.0,103,3,"103,102,101",0.6266217322751918,False,"transit_count=141 (above training max 78, 81% over); distinct_transit_count=120 (above training max 60, 100% over)",-0.4832250578049927,False,False
TIC_300441785,Success,25.63585929583698,11.759487820552826,8.0032e-05,23.982268141765935,0.0836900442399155,4103.257215395932,0.0452155415259886,0.999358532563022,0.9992217883041674,0.0002614357081243,0.999184057485909,0.999257003734542,0.0986089346552468,0.0227768915714144,14.044680404074942,4.0,4.0,0.0,8.795818721194403e-08,0.0012610651152492,-1.1407293258658411e-05,-0.6839505193349447,22.102102481480156,42.08073279098608,1.23694,5768.0,103,3,"103,102,101",0.5992284454052997,False,"period=23.98 (above training max 14.1, 70% over)",-0.4098901924536737,False,False
TIC_346704136,Success,13.823268177780577,7.726028215511556,8.0032e-05,36.417313621164055,0.1437469314227719,4125.329773972792,0.1161339681084193,0.9944138477523498,0.9953439676620568,0.0005396283780892,0.9924081365857562,0.9970215854199423,3.867856194799708,0.0672145864399025,18.88593285055592,2.0,2.0,0.0,1.889755363217279e-06,0.0023067244170931,0.0001021945002729,-3.5382764888982483,8.562644194022491,96.94621570804156,0.839147,6162.0,103,3,"103,102,101",0.5927243522932606,False,"period=36.42 (above training max 14.1, 158% over)",-0.43412690545055305,False,False
TIC_464405850,Success,24.08277804015474,22.939132690223968,8.0032e-05,0.8212614417930334,0.0009254949585602,4101.2000967127005,0.0176992683811863,0.9995533186796418,0.9995139697809008,5.414400711254051e-05,0.999487797257688,0.9995417987929248,0.3546442957158137,0.0190066703512131,8.683656038579254,93.0,85.0,8.0,1.0228024677771389e-06,0.0004398232873398,1.7450965008380948e-05,-0.3723733833352785,56.47427323844248,60.83262724999804,1.49858,7860.0,103,3,"103,102,101",0.5846972709541873,False,"transit_count=93 (above training max 78, 19% over); distinct_transit_count=85 (above training max 60, 42% over)",-0.48506512832018484,False,False
