iter	Passed	Remaining
845	13551	2466
846	13564	2450
847	13574	2433
848	13581	2415
849	13593	2398
850	13606	2382
851	13613	2364
852	13628	2348
853	13636	2331
854	13644	2313
855	13656	2297
856	13673	2281
857	13690	2265
858	13701	2248
859	13721	2233
860	13735	2217
861	13743	2200
862	13753	2183
863	13760	2165
864	13769	2148
865	13777	2131
866	13786	2114
867	13792	2097
868	13801	2080
869	13807	2063
870	13818	2046
871	13825	2029
872	13831	2012
873	13838	1995
874	13846	1978
875	13854	1961
876	13861	1944
877	13870	1927
878	13877	1910
879	13886	1893
880	13895	1876
881	13902	1859
882	13910	1843
883	13918	1826
884	13928	1809
885	13934	1792
886	13942	1776
887	13950	1759
888	13960	1743
889	13967	1726
890	13979	1710
891	13989	1693
892	13998	1677
893	14011	1661
894	14022	1645
895	14034	1629
896	14046	1612
897	14058	1596
898	14064	1580
899	14076	1564
900	14086	1547
901	14096	1531
902	14108	1515
903	14117	1499
904	14126	1482
905	14133	1466
906	14142	1450
907	14150	1433
908	14159	1417
909	14168	1401
910	14177	1385
911	14186	1368
912	14192	1352
913	14203	1336
914	14209	1320
915	14216	1303
916	14224	1287
917	14232	1271
918	14241	1255
919	14250	1239
920	14258	1223
921	14269	1207
922	14278	1191
923	14288	1175
924	14296	1159
925	14309	1143
926	14323	1127
927	14335	1112
928	14345	1096
929	14355	1080
930	14368	1064
931	14374	1048
932	14382	1032
933	14388	1016
934	14401	1001
935	14409	985
936	14417	969
937	14426	953
938	14436	937
939	14448	922
940	14457	906
941	14465	890
942	14475	874
943	14484	859
944	14495	843
945	14506	828
946	14516	812
947	14530	797
948	14544	781
949	14556	766
950	14573	750
951	14582	735
952	14596	719
953	14606	704
954	14616	688
955	14626	673
956	14638	657
957	14651	642
958	14661	626
959	14673	611
960	14681	595
961	14693	580
962	14711	565
963	14719	549
964	14729	534
965	14739	518
966	14746	503
967	14757	487
968	14765	472
969	14773	456
970	14780	441
971	14790	426
972	14803	410
973	14810	395
974	14817	379
975	14822	364
976	14833	349
977	14840	333
978	14849	318
979	14858	303
980	14865	287
981	14871	272
982	14878	257
983	14886	242
984	14893	226
985	14900	211
986	14907	196
987	14914	181
988	14922	165
989	14931	150
990	14937	135
991	14946	120
992	14952	105
993	14961	90
994	14967	75
995	14975	60
996	14984	45
997	14992	30
998	15000	15
999	15015	0
