host,label,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,pl_names,n_planets_in_catalog,ra,dec,st_rad,st_teff,st_mass,n_original,n_after_quality,n_after_outliers,n_final,points_removed_pct,pre_norm_median_flux,flux_source,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,r_star_used,m_star_used
2MASS_J16262785-2625152,1.0,12349.0,11.237531294554744,11.25795977464124,8.0032e-05,1.1974915265617134,0.0080620669926442,3776.321320515398,0.0734554874405393,0.95793883814104,0.9591271458408138,0.0005121307820221,0.958972692924825,0.9592704009203936,0.2060008762116284,0.1844368852844621,48.20504672133548,20.0,15.0,5.0,KOINTREAU-4 b,1.0,246.6160467,-26.4209954,,3252.0,,14061.0,12352.0,12349.0,12349.0,12.175520944456297,1257.3615,pdcsap_flux,0.0005132994413222,0.0064894319969756,0.0314168470178938,1.0473689628408875,13.041079319179138,1.0,1.0
2MASS_J19383260+4603591,1.0,18394.0,23.64860699496178,12.383937692916456,8.0032e-05,0.1257646632463427,0.0017702022048857,1683.720090910963,0.0143921260313284,0.9030362932387186,0.9409597532428132,0.0005450321660322,0.9407338983737272,0.941209236950105,0.3080844021908561,0.2346739873383553,40.595614398417254,43.0,42.0,1.0,2MASS J19383260+4603591 b; Kepler-451 c; Kepler-451 d,3.0,294.6359173,46.0664076,0.203,29564.0,0.48,18394.0,18394.0,18394.0,18394.0,0.0,1679.30165,pdcsap_flux,0.0026006037967602,0.0028034971088055,0.0836495434769254,,62.74516296431904,0.203,0.48
2MASS_J21252752-8138278,1.0,17212.0,3.537951750891985,0.6728023155826905,,0.812677656129547,0.0067884537867229,1657.837979604382,0.089640541762202,0.9957066310707076,0.9971956116661118,8.937853622449268e-05,0.9946768351735632,1.0000322919878173,30.45193038744694,0.0582496194201194,16.862771288041106,31.0,30.0,1.0,2MASS J21252752-8138278 b,1.0,321.3662989,-81.6414894,0.672832,3592.0,0.643977,19420.0,17212.0,17212.0,17212.0,11.369721936148302,20887.3945,pdcsap_flux,5.5423596710687455e-05,0.0033454106660698,0.0024385341162324,,11.107771232709784,0.672832,0.643977
2MASS_J22362452+4751425,1.0,107640.0,5.108914813737708,4.862402740561768,,0.5430287144106624,0.0046904370278013,2825.918049630265,0.015994154755573,0.9996399691190416,0.9995425646483668,0.0001274965097503,0.999468217298404,0.9996337908561588,0.4595733448371162,0.0198707197976066,3.575573384210818,19.0,18.0,1.0,2MASS J22362452+4751425 b,1.0,339.1025931,47.861683,0.641152,4045.0,0.6,117650.0,107731.0,107640.0,107640.0,8.508287292817684,5641.27125,pdcsap_flux,3.2958372420861408e-06,0.0005415216585364,5.091238529764119e-06,-1.419487362003512,62.500331176971216,0.641152,0.6
2MASS_J22501512+2325342,1.0,16290.0,11.435703315367869,9.152934550639031,8.0032e-05,0.7377543155022988,0.0045208662259694,2825.4559099457274,0.0714429015665154,0.9906344731269714,0.9918755380190772,0.0001381189633211,0.9909240963429338,0.992801484303168,4.9627858801207845,0.0872498223251455,49.028349820428375,38.0,32.0,6.0,2MASS J22501512+2325342 b,1.0,342.5634097,23.4259058,0.437589,3352.0,0.433173,19604.0,16313.0,16290.0,16290.0,16.90471332381147,1849.5882,pdcsap_flux,4.732016857654154e-05,0.003912245447929,0.0077686416372618,1.055391641732917,13.866100779860716,0.437589,0.433173
47_UMa,1.0,91569.0,0.265229285519681,0.4060983373814736,,2.498516228498011,0.0004975032817866,2610.030294052996,0.0230919527167138,0.9999749000140674,0.9999844244369416,3.4906835496543273e-06,0.9999890929306652,0.9999795182148284,0.9697086354006094,0.0036422535048031,4.486715722122769,43.0,37.0,6.0,47 UMa b; 47 UMa c; 47 UMa d,3.0,164.8647611,40.4304931,1.21334,5872.0,1.06,110786.0,91577.0,91569.0,91569.0,17.346054555629774,2623747.5,pdcsap_flux,5.11146182632035e-09,2.1982402795062336e-05,-2.8635880200411634e-07,-0.6184271884892074,43.30404242038363,1.21334,1.06
4_UMa,1.0,17610.0,6.520151586170394,6.202093354186057,0.047458984,12.143614512796397,0.0801969766485273,1842.7105388111136,0.1565655999969832,0.9996555246804956,0.9996799323832956,1.2409356540767604e-05,0.9997239046719748,0.9995359585993944,7.441492522993425,0.0166911477930431,32.917186522209946,3.0,3.0,0.0,4 UMa b,1.0,130.0528099,64.3280504,18.11,4415.0,1.234,17610.0,17610.0,17610.0,17610.0,0.0,5922813.0,pdcsap_flux,2.3924999142213285e-08,0.0001519457839245,-6.463364174535968e-06,0.0317051122506826,6.384898883916758,18.11,1.234
51_Eri,1.0,17253.0,8.200408872130312,8.473201915455913,0.000240096,0.7975926634691666,0.0043449257060413,1438.4865292901916,0.0898542509386049,0.9983387286714543,0.9985089436606276,2.233540126489732e-05,0.9984529159047528,0.9985662841008788,1.810475657787889,0.0369727318558996,41.47189840336563,32.0,30.0,2.0,51 Eri b,1.0,69.4007424,-2.4738245,1.45,7422.0,1.75,17515.0,17253.0,17253.0,17253.0,1.4958606908364258,1728738.9,pdcsap_flux,2.189688456509336e-06,0.0005916726804421,0.0015559156728751,,11.11064549804765,1.45,1.75
51_Peg,1.0,111344.0,5.95592638103288,6.2024767592562124,0.000240096,0.971233906325895,0.0018817169832681,2826.3863187227357,0.0201826603842439,0.99997634758477,0.9999691686128434,5.5658197192366765e-06,0.9999708261562308,0.9999674180219807,0.2162670594825359,0.0051222085988272,5.313027152411287,16.0,16.0,0.0,51 Peg b,1.0,344.3675399,20.7690958,1.19,5761.0,1.07,117463.0,111523.0,111344.0,111344.0,5.209299949771418,1914150.5,pdcsap_flux,7.310119320080089e-09,1.852257533764708e-05,4.02012162392662e-06,0.5245880249584336,49.5463099783132,1.19,1.07
55_Cnc,1.0,17335.0,18.75665859268711,21.575957658702997,8.0032e-05,0.7358806957505815,0.0018388718847304,1870.6963387956023,0.0559734895123318,0.9997230864789732,0.999722856354541,4.504806061471771e-06,0.999718553037006,0.9997274896604312,0.7009690497439891,0.0156618874595595,58.60256803268128,37.0,34.0,3.0,55 Cnc b; 55 Cnc c; 55 Cnc d; 55 Cnc e; 55 Cnc f,5.0,133.1468373,28.3298154,0.98,5198.0,1.015,18225.0,17347.0,17335.0,17335.0,4.883401920438956,1339412.4,pdcsap_flux,3.1691599204688005e-08,3.063960875218738e-05,0.000226189212003,0.4553105909687504,17.86065323404072,0.98,1.015
