host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_166746526,5728.7763671875,Success,117.51589965820312,G5V,8.4942,Success,,True,True
TIC_160226187,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_404664076,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.5404,Success,,False,False
TIC_123267854,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K0III,2.2145,Success,,True,True
TIC_409787089,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.7293,Success,,False,False
TIC_144285638,7957.19384765625,Success,95.49590301513672,A3III/IV,10.6202,Success,,True,True
TIC_381049631,3309.76806640625,Success,121.63369750976562,,,Not found in SIMBAD,,True,True
TIC_349237367,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.5286,Success,,False,False
TIC_61186487,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,5.3405,Success,,False,False
TIC_406274238,4308.44189453125,Success,1887.1251220703125,,0.5667,Success,,True,True
TIC_212461524,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K5Ve,8.9239,Success,,True,True
TIC_412823807,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_304369934,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.6922,Success,,False,False
TIC_308241590,6750.54052734375,Success,58.42470169067383,F3/5(IV),17.1294,Success,,True,True
TIC_96379601,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.8526,Success,,False,False
TIC_231698310,4622.88330078125,Success,629.8912963867188,K0/1(III),1.6127,Success,,True,True
TIC_349801741,3410.0322265625,Success,103.66300201416016,,,Not found in SIMBAD,,True,True
TIC_253857443,5380.708984375,Success,305.7643127441406,,,Not found in SIMBAD,,True,True
TIC_197054642,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K8V,25.3073,Success,,True,True
TIC_347385146,4586.25830078125,Success,106.38990020751952,,,Not found in SIMBAD,,True,True
TIC_118826494,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.5969,Success,,False,False
TIC_313249030,5563.85302734375,Success,121.36319732666016,,8.1458,Success,,True,True
TIC_271502836,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M3.6,22.0417,Success,,True,True
TIC_123370279,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.0839,Success,,False,False
TIC_313002372,8211.923828125,Success,70.21630096435547,A3V,14.2387,Success,,True,True
TIC_217549035,4502.0859375,Success,191.87399291992188,,,Not found in SIMBAD,,True,True
TIC_324141976,5138.0576171875,Success,180.44740295410156,,5.5086,Success,,True,True
TIC_166744141,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1III,2.7354,Success,,True,True
TIC_88139561,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,6.3337,Success,,False,False
TIC_165881566,3531.853759765625,Success,224.4427947998047,,,Not found in SIMBAD,,True,True
TIC_320783984,10359.2294921875,Success,309.55218505859375,A0V,3.774,Success,,True,True
TIC_231828950,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,22.6596,Success,,False,False
TIC_166424433,6122.6357421875,Success,116.26329803466795,F6V,8.4606,Success,,True,True
TIC_80427890,6410.21533203125,Success,243.3650054931641,F7V,3.9879,Success,,True,True
TIC_321068946,10453.9619140625,Success,118.71189880371094,A0Vn,8.6568,Success,,True,True
TIC_231626393,7496.208984375,Success,68.99949645996094,A5/6IV/V,14.3399,Success,,True,True
TIC_152358293,5791.70458984375,Success,222.2068023681641,,4.4046,Success,,True,True
TIC_100615932,7267.10205078125,Success,138.98379516601562,A9III/IV,7.2018,Success,,True,True
TIC_219332944,6432.16259765625,Success,126.31430053710938,F5V,7.8178,Success,,True,True
TIC_158536414,6354.6171875,Success,193.43170166015625,F5/6V,5.1403,Success,,True,True
TIC_119981237,7300.13037109375,Success,583.3477783203125,A3/5mF0-F3,1.4666,Success,,True,True
TIC_6669806,5943.34814453125,Success,368.6980895996094,K0III+A3/5,2.2181,Success,,True,True
TIC_280792839,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.3166,Success,,False,False
TIC_101931487,7528.59619140625,Success,389.2862854003906,A8/9V,2.6681,Success,,True,True
TIC_87260967,4956.26953125,Success,173.93800354003906,K1IIICNII,5.5829,Success,,True,True
TIC_372300399,6524.8447265625,Success,112.46499633789062,,8.8819,Success,,True,True
TIC_409889015,5310.79638671875,Success,69.86589813232422,G8/K1(V),14.0602,Success,,True,True
TIC_464650717,7652.0048828125,Success,161.86270141601562,A3/5III/IV,6.4179,Success,,True,True
TIC_62413432,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_234295610,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,20.7818,Success,,False,False
TIC_303616017,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.8642,Success,,False,False
TIC_319739812,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_281851171,5913.08154296875,Success,174.28770446777344,,5.7106,Success,,True,True
TIC_255717096,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,FpSr,1.2405,Success,,True,True
TIC_321055264,5758.6181640625,Success,1178.371337890625,,0.8836,Success,,True,True
TIC_32306785,6616.38134765625,Success,355.864013671875,,2.7159,Success,,True,True
