host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,st_mass,sector,ra,dec,st_rad_err,st_mass_err,predicted_probability
TIC_143295589,Success,8.233462446001104,7.166099346507352,0.001040416,12.492810994150714,0.057501756904708,1657.1357816505554,0.1179611768449092,0.999698447052666,0.9997341854253312,2.836298024017057e-05,0.999676185981975,0.9998508916223282,2.1613154520470523,0.0156166880661836,8.738446532157413,3.0,3.0,0.0,2.2736487747062845e-07,9.04651487763325e-05,-9.543084171115268e-06,-0.1030880557032227,8.474809032865368,82.47302258294076,24.4456,4483.0,,104.0,293.569796641931,-46.6795304771795,,,0.9015340233574213
TIC_161134835,Success,5.7985883211786255,4.45608559589692,0.078831533,0.5619881406413662,0.0011735908786974,1325.4036809502877,0.0022456100238116,0.9995579490057864,0.9992015052001388,0.0002182737945743,0.9993156978770208,0.9990933226641462,0.3609097834952659,0.0189079015644337,3.4412144872287516,50.0,46.0,4.0,3.979950445498291e-06,0.0016914702202872,6.365320594003965e-05,-1.0347021019770395,445.1164442654079,55.49344866699539,0.926785,5556.0,0.98,104.0,338.546107418683,-53.3806096861421,0.0485628,0.122395,0.9005173880913949
TIC_325338668,Success,7.717122071247355,6.404533882379341,0.002561024,6.670536306351693,0.0227043211365329,1326.3107110316312,0.1135028106181546,0.9994339888054332,0.9994933013778288,2.4678096705678597e-05,0.9993733501569584,0.9996390089958188,3.964980738038408,0.0213953628996092,19.552704658159744,5.0,5.0,0.0,2.395425560431344e-07,0.0001543711907836,3.047215461360331e-05,-0.7810963117308899,8.805367755761766,79.70617762499023,10.44,4781.0,,104.0,335.018423622838,-72.2765546793348,,,0.898873585855932
TIC_389089359,Success,10.075824341584976,5.746313676152979,8.0032e-05,9.665736795592869,0.0836581956651203,1330.0347824305384,0.0969368177591212,0.999399423905988,0.999458527443119,3.718603154009397e-05,0.9997156750183848,0.9989522681543148,9.75577193015078,0.0220389635879773,39.24373758648202,3.0,3.0,0.0,3.4533372009244274e-08,0.0004428895768858,-2.1695125569376472e-06,-3.101147216193189,10.30980227130419,99.63625774998218,25.6513,4310.0,,104.0,333.429859166065,-68.1263821639427,,,0.8983567833076492
TIC_183594679,Success,5.731128497096945,5.6280888822730715,0.087795118,7.419597373285197,0.0388360858274712,1358.3552663385658,0.0416257354528022,0.9996321977158912,0.9996861277591425,6.540669936808321e-05,0.9996273410172531,0.99974292173012,0.627575594436393,0.0172470315496058,4.571790657061992,4.0,4.0,0.0,5.457492748029846e-07,6.686271842923156e-05,-9.289886268692982e-06,0.7340563577239033,24.014763627403877,53.146400458063,0.997927,5937.0,1.08,104.0,18.1242905544034,-41.292019867579,0.0468995,0.140317,0.8979159059405217
TIC_330163931,Success,6.284102636922585,5.851306218455926,0.034333733,0.7039046962275105,0.0027767036403932,4179.065916253931,0.0056392849458213,0.9946818165984276,0.9905434006903674,0.0021968195771936,0.9894080180898548,0.9917869149671198,0.3822984483332857,0.0655826259463722,4.517442328646818,37.0,33.0,4.0,0.0005792648107671,0.0136999940862568,0.0034655077163591,0.9937474279495064,176.38438670056448,90.76484412502032,15.9341,4560.0,,104.0,271.914965950492,-36.9318275095591,,,0.8971869713261975
TIC_219123085,Success,6.0426366206226065,3.999042066724458,0.051620648,0.8615651899104219,0.0027111660731626,2062.031958236629,0.0093221247577998,0.9998347197146396,0.9997713961160254,3.8234041157516936e-05,0.9997299304577968,0.9998167319023554,0.8112384305402138,0.0115615929172956,5.509875645685392,27.0,23.0,4.0,2.6866152046042157e-07,0.0002066049545037,0.0001020539329839,0.4666282413122704,107.25395182874796,57.39521541597787,7.99419,4776.0,,104.0,342.033222531647,-58.2691649810326,,,0.8962665928600263
TIC_101935408,Success,6.8693437784699665,4.65853377287881,0.01192477,1.2788869682723745,0.0038301287094417,1354.4348636767195,0.0677577401584791,0.9998619299164616,0.9998812472036688,1.3533736682122374e-05,0.9998729900961112,0.999889660433008,0.4355870429144781,0.0105671273325148,8.596138084640783,22.0,20.0,2.0,1.835767490307245e-07,0.0001340455993632,6.673522493916284e-05,-4.135318663581934,14.756423806016503,120.8952466249466,8.94555,5038.0,,104.0,13.8085642648145,-43.0485654113266,,,0.8954272963559788
TIC_122557588,Success,7.503990518621001,4.999377713879366,0.004001601,5.8923592948019845,0.0785199375162046,4185.087843673646,0.1199309390246875,0.9960885855831898,0.9962895490858232,0.0005196050570658,0.9960143686530536,0.9966142224021842,0.4057984497207915,0.0562437232906503,8.206692389266165,4.0,4.0,0.0,6.207223681128801e-05,0.0035658685436155,-7.816490105660989e-05,2.044936904933521,8.305518106367424,30.985269416007213,0.966593,5692.0,1.01,104.0,39.612236472233,-34.6885574225108,0.0490577,0.127808,0.8948211475578359
TIC_469935154,Success,6.246301110089882,4.526354803667638,0.036894758,2.5300908105304196,0.0161132687830498,2088.2665404842883,0.0213909753048801,0.9998315311361832,0.9997753527979236,4.564773871548139e-05,0.99979807081177,0.9997466759607736,0.3915706935484987,0.0116725829880048,5.021402900778944,10.0,9.0,1.0,2.75985132462152e-07,0.0001429408818597,7.533351064958893e-05,-0.1653558659845687,46.740810874017455,72.05720766598824,15.4631,4491.0,,104.0,355.479207862738,-48.2876718542842,,,0.8925787129675025
