host,bucket,raw_var_oot_rms,raw_var_excess,raw_var_ls_amp,raw_var_ls_power,raw_var_ls_period,old_var_oot_rms,old_var_excess,old_var_ls_amp,old_var_ls_power,old_var_ls_period,new_var_oot_rms,new_var_excess,new_var_ls_amp,new_var_ls_power,new_var_ls_period
HD_109833,20-sec,0.004329830017087848,3.740667654191862,0.005083344067865858,0.8395275450830983,5.08120278876094,0.0015138797115011459,1.3065732580151739,5.584216065988289e-06,0.00023676665247812233,0.391090112358165,0.0015256567933592808,1.3167617622817778,4.966031430440821e-05,0.012405857268914014,0.3229537397425611
TIC_384549882,20-sec,0.0015356900338939412,1.2406965873279303,0.0008129589375385016,0.41210606074593537,1.9605832736694557,0.0013136288479861547,1.0612904810735744,4.008503075980985e-06,3.8959015763761455e-05,0.4038410729817484,0.001350642041796075,1.091204052161909,0.0003205345386796175,0.16990692431790122,0.3038904074187656
Kepler-480,20-sec,0.012404156482526909,1.0206435650238488,0.000884756815475516,0.046579776413187196,7.730525926188829,0.012288808732955313,1.0110589600544062,2.964163559515057e-05,0.0001019549151594378,0.36448752756269126,0.012310010132292333,1.0126321745899436,0.0002690648427638376,0.006803954292851715,0.36648872586288495
TIC_4672985,20-sec,0.0037994908101368174,1.023809932518389,0.00011643986488478037,0.011664344027569832,2.5942710493620544,0.0037807393853093504,1.0187214917284142,7.410337303582128e-06,6.390473436570985e-05,0.3972477544335646,0.0037986300560195266,1.023537509079363,9.568852347566162e-05,0.00884522495405306,0.28123734827155017
TIC_54364414,30-min,0.00041197132657256203,1.0125045685429597,0.00014003915309596283,0.048113074548388195,0.6901762637522347,0.0004087944162903721,1.0047280666856615,0.0001413867483909892,0.05059502962366062,0.6901762637522347,0.00037490922329794246,0.9214330612515678,7.731198153650444e-05,0.01965878666532801,0.22916532252744104
TIC_34085383,30-min,0.0006826661635192229,1.0891892161520633,0.00019078950636409656,0.03352760599075015,12.801856325825385,0.0006549934066002686,1.0450576224217856,0.00018636390405270614,0.03343801322612971,5.120742530330154,0.0005989313155396125,0.9556785654868113,0.0001575541320986224,0.029717189339878877,0.28963475850283676
WASP-159,20-sec,0.0065277076908113706,1.028235043124508,0.0006613613600452808,0.0675666743591433,3.8526600436601695,0.006388543560590116,1.0063487612572624,8.408336640808987e-06,2.824857807004888e-05,0.21260498568693245,0.006422276742590569,1.0116390351091373,0.0003180153760196786,0.028587896208947455,0.34927961934281754
TIC_237913194,20-sec,0.004978837229978655,1.025300151860703,0.00020380254297505513,0.017822427921078163,4.101729005868492,0.004939540638179466,1.0172062902653298,7.25294604605874e-06,3.57812309552281e-05,0.21895350565134303,0.004977624240993628,1.0250577083853032,0.00014779001644233701,0.010484543530284012,0.276521056575404
Kepler-1239,20-sec,0.10170404857974803,0.9881795474162413,0.009341050770030612,0.07034214960560324,4.722480131121552,0.0997612210948162,0.9681770560000018,0.00021797236900321197,8.058272047122913e-05,0.6871973982051359,0.10032005641835066,0.9750563661365406,0.002552890252687079,0.008932304163937518,0.25464274483308147
TIC_152714791,10-min,0.0009637174658216225,1.0102285752376392,0.00012257670542573437,0.02201446233490203,0.640646777439598,0.000954139615072172,1.0002092942206477,0.00010187438382718265,0.015930125777314962,0.317787847384286,0.0009503993007709153,0.9962852681084611,0.00010028089485541519,0.015968380814613353,0.317787847384286
Kepler-1982,20-sec,0.01043181878773177,1.1240853729344507,0.0020690697067273426,0.17860230852305767,4.722495179490507,0.010011029975686,1.079342493000946,3.0262469604787605e-05,0.00016498596469502548,0.32540095576896716,0.010038947705778636,1.0822171764409536,0.00021636949052124531,0.006520466383892,0.42480132020756906
HR_8799,20-sec,0.007191417703342366,27.972684696288074,0.007827503546962178,0.5273784366953322,0.5055596059517055,0.00042823079272885536,1.6665422462520638,7.421936266385855e-06,0.0019643798767841904,0.5055596059517055,0.0026306780133264576,10.23804566500182,0.002940192518581621,0.6309207602379446,0.5055519076886996
TIC_410528770,30-min,0.0004204098391535978,1.0029857348673064,0.00017869175822056142,0.06520663148453601,2.768919835907767,0.00042875891660721396,1.0228331390567857,0.00015907510072048255,0.05243380070389757,2.705989839637136,0.0003943729333952797,0.9407574888082173,0.00012650420895042854,0.048275905712331646,0.2749735633811408
TIC_285674856,30-min,0.0009919216495639393,4.50730778536908,0.000295108337009129,0.048224469154135245,0.8779905270172722,0.0009855823513571307,4.478434400493072,0.0002898269904207962,0.047661654302348914,0.8779905270172722,0.0009099443781466294,4.1347643361988435,0.00016446450967749448,0.019875447968959344,0.290479452968401
