host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_428685938,1.0,1200,7,24.278089585145608,0.35,1.0,False,0.6234642843075201,24.278089585145608,1.3224762172046798,0.12451300420851266,12.136961435334563,True,4.462348441812737,13.102649455505443,7.895563886728743,False,,0.9485771128568892,True,ok,38.11995049985126
TIC_403308915,1.0,5000,1,22.91683436843823,1.75,1.0,False,2.919206936338974,22.91683436843823,13.497466371323174,,,,,,,False,,,False,error: ValueError: zero-size array to reduction operation minimum which has no identity,0.005920333322137594
TIC_372505528,1.0,5000,2,26.437424605750266,1.51,1.0,False,2.4601029230220144,26.437424605750266,11.646385268970281,,,,,,,False,,,False,error: ValueError: zero-size array to reduction operation minimum which has no identity,0.003920209128409624
TIC_334597566,1.0,2500,4,28.759726153255997,1.48,1.0,False,2.596518797091294,28.759726153255997,8.071624,1.0810307068560556,14.375696433796962,True,1.9976144775461064,11.24663877206942,20.9825793804512,True,double,0.4762408233917303,True,ok,8.10421729227528
TIC_230267547,1.0,5000,3,24.440696956433385,1.84,1.0,False,2.795322398680872,24.440696956433385,14.19162178470551,1.4953699746902405,12.218265108882175,True,2.006273105237646,7.694480204586863,33.41605871684121,True,double,0.5567843280539786,True,ok,2.3074738327413797
TIC_207084429,1.0,2500,9,27.40573581243052,1.77,1.0,False,3.211530583335545,27.40573581243052,9.653226,1.4099431536992892,13.698527622878022,True,1.9970307990869025,10.632722430833839,61.531769320491996,True,double,0.3827407425684231,True,ok,6.000069665722549
TIC_260849386,1.0,5000,4,27.771187511012613,2.28,1.0,False,3.4223210629174714,27.771187511012613,17.585270472352477,2.0707049183585275,13.880906221723977,True,2.9984512771116223,9.428041616701616,43.12192631120185,True,triple,0.38826552213406285,True,ok,3.6856436249800026
TIC_192372961,1.0,1200,3,27.71826209671235,4.77,1.0,False,3.4357696190476434,27.71826209671235,18.023461588760924,0.6015280452712081,13.8556588364895,True,1.0000447160335677,19.283048682332474,80.9079254426727,True,exact,0.149535856662587,False,ok,49.287883082870394
TIC_180987952,1.0,5000,7,24.31246316475699,1.84,1.0,False,3.2980096540365746,24.31246316475699,14.19162178470551,1.4986107290296578,12.15206495750816,True,1.9999642289281943,11.576967364389224,52.89987278249321,True,double,0.6065830105465075,True,ok,3.42111025005579
TIC_327011842,1.0,1200,6,27.71759965860656,5.3874698,1.0,False,3.6880547572322717,27.71759965860656,20.356573375452722,0.6014950222431936,13.855327691476749,True,0.9999929169485307,17.438787577128608,64.26072830687463,True,exact,0.15005312641953017,False,ok,49.10629958380014
TIC_425220920,3.0,700,0,24.18719148991636,1.59,1.0,False,4.0608176278931145,8.062397163305453,4.588548723090332,1.2020305774643865,12.04151361843605,True,3.010464134305618,9.307671656225217,14.769829881553488,True,exact,0.11681978428583886,False,ok,0.49246895825490355
TIC_219205407,1.0,5000,5,23.689297397618247,1.05,1.0,False,1.8712221541679908,23.689297397618247,8.098479822793905,0.6471980929604,11.842565328514404,True,1.0010653311221238,19.042699131127254,86.0241499865023,True,exact,0.7527810793100114,True,ok,8.523249958176166
TIC_131581522,1.0,5000,8,24.116713288976825,1.08,1.0,False,1.6347431953687084,24.116713288976825,8.329864960588017,0.6737909673442662,12.054884435605338,True,1.0014059717119932,12.969581461592076,12.6059956006558,True,exact,0.5556908300839927,True,ok,9.321373499929905
TIC_395773226,3.0,700,2,24.440272915486275,1.69,1.0,False,4.386517441601398,8.146757638495425,4.877136693096013,1.3189746034457823,12.217358678626837,True,2.9925737659492437,6.176303806573712,7.284659200974224,True,exact,0.2868276420136578,False,ok,4.709476542193443
TIC_173860688,1.0,5000,0,24.018423706334033,4.52,1.0,False,3.625892729343279,24.018423706334033,34.86202742764614,0.6011071404176407,12.004582255369758,True,0.9995941568291627,22.40607858818258,122.00146034753875,True,exact,0.4939628382698202,True,ok,19.379091125447303
TIC_312899686,3.0,700,1,27.697152767928856,1.03,1.0,False,2.630075712995792,9.232384255976285,2.972456091058517,0.628409457436252,13.844409690342207,True,4.414124268202592,13.820605571104606,8.859345184525887,False,,0.704755327023762,True,ok,9.24865537462756
TIC_48276576,3.0,700,4,24.2905667975092,1.3925,1.0,False,3.255466815863449,8.096855599169734,4.018587482329112,0.986355892614963,12.141116722341836,True,2.49614168462673,6.219905937003693,5.644511388111994,False,,0.5137318397260462,True,ok,4.7672520419582725
TIC_224418572,3.0,700,5,26.44738539674563,1.94,1.0,False,5.073567931606084,8.815795132248544,5.598606618110216,1.6170719689901427,13.220220461576886,True,2.843337160079095,6.123398353451275,6.077419934880873,False,,0.3419374396572371,True,ok,2.430389542132616
TIC_232967666,3.0,700,3,27.34585859957315,1.14,1.0,False,2.917707392335075,9.115286199857715,3.289902858064766,0.7316583962229487,13.670151528417238,True,2.997179401812524,13.582990955658811,13.180311663669894,True,exact,0.7879170705888731,True,ok,7.601899582892656
TIC_230267547,3.0,700,9,24.440696956433385,1.84,1.0,False,4.817180282567019,8.146898985477796,5.310018648104535,1.4953699746902405,12.218265108882175,True,3.014014479366412,6.347170293310954,8.919533775151338,True,exact,0.12315099509350916,False,ok,1.9066002080217004
TIC_123106490,3.0,700,6,24.002780360126962,1.30784,1.0,False,3.2075950640739084,8.000926786708987,3.774268906922301,0.8964691326600734,11.998612408143108,True,3.2996201184984972,11.850922243942493,13.407282374117978,False,,0.2878988706447262,False,ok,5.75356891611591
TIC_241174783,3.0,1200,0,26.58040682138153,2.68185,1.0,False,6.820864146954636,8.860135607127177,10.133379551743916,2.625043623914777,13.286731249138477,True,2.986672040355788,7.160530445905461,45.69846790330857,True,exact,0.03374849690349626,False,ok,2.0589584158733487
TIC_335489455,3.0,700,8,18.050405060709636,0.89,1.0,False,2.3296935498117946,6.016801686903212,2.568432933050563,0.5045115497701329,9.021730226538232,True,3.801435769408169,5.21172500058737,4.78827114267838,False,,0.9815174906326153,True,ok,5.918951875064522
TIC_119081096,1.0,5000,9,23.97220528983962,0.52,1.0,False,0.8939541445980541,23.97220528983962,4.010675721764601,0.22556499410528877,11.98401931659361,True,0.9993104318392051,23.750719796388942,23.1209170326317,True,exact,0.7690020882595137,True,ok,20.809139292221516
TIC_261141602,3.0,1200,1,26.56551735441508,1.06,1.0,False,2.7751494940966435,8.855172451471693,4.005213686391317,0.6563764121450006,13.27859204441187,True,1.4978136016779708,12.892267086860913,10.17402515079413,True,half,0.12183535252881281,False,ok,6.287674999795854
TIC_272828463,3.0,1200,5,23.500124522866372,2.91,1.0,False,7.590098324846207,7.833374840955457,10.995445120187481,0.6011457550850899,11.708395428676898,True,3.0003522328630945,17.81332915344631,21.744032770778823,True,exact,0.07580557924696002,False,ok,2.8544812076725066
TIC_241174783,3.0,1200,6,26.58040682138153,2.68185,1.0,False,6.820788198033954,8.860135607127177,10.133379551743916,2.625043623914777,13.286731249138477,True,2.986672040355788,7.090416570496424,43.66431308819483,True,exact,0.031517214354524876,False,ok,1.9932380421087146
TIC_428685938,1.0,2500,8,24.278089585145608,0.35,1.0,False,0.6029645626185969,24.278089585145608,1.9088299999999996,0.12451300420851266,12.136961435334563,True,4.462348441812737,13.177546281284693,7.887791832817119,False,,0.9492956180943549,True,ok,39.269380958750844
TIC_299876474,3.0,700,7,24.456575197919392,0.64,1.0,False,1.4131403009286343,8.152191732639798,1.84696300803636,0.30778757672046864,12.22550987078943,True,2.595330703302615,16.843968042092413,12.214573635826467,False,,0.45631618250615225,True,ok,16.209493041969836
TIC_462715015,3.0,1200,7,26.446919990175047,1.08,1.0,False,2.669403807942883,8.815639996725016,4.08078375594587,0.6740436980078122,13.219987816615674,True,1.7514649062336458,7.100906701915575,10.899604008536539,False,,0.3402912107006283,True,ok,5.905540083069354
TIC_463203560,3.0,1200,8,26.530832164636195,1.07,1.0,False,2.492681362110716,8.843610721545398,4.042998721168593,0.6654387949803608,13.26194383766823,True,1.9930562082675118,11.116490397466775,19.663070428229982,False,,0.09749945804327771,False,ok,11.379755000118166
