host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_300872489,14.0,250,4,76.54251049597951,60.3034,1.0,False,50.74878328400975,5.467322178284251,104.00183610141566,0.6015080043214042,38.266741198128756,True,25.840176002439463,20.717821838364756,10.633096169430646,False,,0.7300780432903725,True,ok,527.876626084093
TIC_346704136,14.0,700,8,75.98991466006737,0.839147,1.17,False,3.471427256564608,5.427851047147669,2.421677292663574,0.4275057443475577,37.991832210725036,True,36.417313621164055,13.645569488061039,18.867055473845905,False,,0.7373386601997007,True,ok,104.5463119582273
TIC_402948120,14.0,400,0,76.54269342359476,60.8715,1.0,False,49.286176464740095,5.4673352445424825,132.79239468,0.6015752507028449,38.26845306081619,True,27.991615178313836,17.179970659516332,44.16450619114594,True,double,0.6503159704596323,True,ok,502.01417450001463
TIC_447691425,14.0,700,7,76.32838987668401,0.793672,0.86,False,2.9428501956589814,5.4520278483345725,2.2904419133034906,0.45864646804711634,38.16118554319561,True,13.992161191817747,6.534651861381109,7.249934214370803,True,exact,0.9802454325361831,True,ok,175.98898854199797
TIC_362172901,14.0,700,9,76.26938785142738,0.936492,1.0,False,3.9733388641563465,5.4478134179590985,2.7026032520656047,0.5451876715221807,38.131221580234495,True,37.89386491441064,14.781797519360724,29.55078492542032,False,,0.8830279995754757,True,ok,86.78504979098216
TIC_270245472,14.0,400,3,76.4163440354987,19.4574,1.0,False,49.08495569299306,5.458310288249907,42.446707247999996,0.6016159462679502,38.205625626187576,True,27.992563964077526,22.84358069975981,49.74540764389069,True,double,0.678305914782778,True,ok,481.59331837529317
TIC_310051715,14.0,1200,0,76.16483753140528,0.699931,0.8,False,3.2082112849089897,5.44034553795752,2.6446917176693963,0.39386469218286596,38.0800977632593,True,13.989912180150899,25.45923532119125,13.018826941147026,True,exact,0.8025451281570529,True,ok,138.13038091687486
TIC_343681524,14.0,1200,3,76.35296559964445,1.80506,2.11,False,5.745018241040336,5.45378325711746,6.8204254875070855,1.0042429051037813,38.172315993171175,True,1.0474984024864855,15.914087980713454,34.961507530873206,False,,0.44637051637773,True,ok,63.40276908362284
TIC_374288012,14.0,1200,4,75.99098844717264,3.08962,1.67,False,9.731156589814356,5.427927746226617,11.674139914856923,2.522868806748376,37.99167458598774,True,6.164210619958038,4.656698580217905,9.13388875810976,False,,0.5894883096383395,True,ok,23.83588954200968
TIC_306518087,14.0,1200,5,76.36457834745124,2.23147,1.86,False,6.752128806584779,5.45461273910366,8.431617155444934,1.4686869429053921,38.17951126202658,True,26.243192196890252,8.69168887363734,52.17669166775519,False,,0.2806613754974471,False,ok,33.25560087477788
