host,raw_var_oot_rms,raw_var_excess,raw_var_ls_amp,raw_var_ls_power,raw_var_ls_period,savgol_var_oot_rms,savgol_var_excess,savgol_var_ls_amp,savgol_var_ls_power,savgol_var_ls_period,gp_protect_var_oot_rms,gp_protect_var_excess,gp_protect_var_ls_amp,gp_protect_var_ls_power,gp_protect_var_ls_period
TIC_277014266,0.0015247644342113102,1.0027197200412574,0.00015768700170417876,0.02364559033901635,2.7562484849395403,0.0015151376086657718,0.9963527594224467,0.00015420189204518164,0.025442014504640023,0.22987396008913621,0.0015036178425017496,0.9888037340885361,0.00010152967987328173,0.011822515226865468,0.22947709505296357
TIC_287329267,0.0028651295892241765,1.177970799411747,0.0006429631930342867,0.2448059448513361,3.966720824991471,0.00275021962547705,1.130444739329641,5.329631129995348e-06,6.683393214129445e-05,0.21441734189143088,0.0027636431579520985,1.135985315830016,6.932193569713233e-05,0.008810844394251973,0.22900656309229114
TIC_24364065,0.001416869114093577,0.9873653114734392,0.00013290387607591925,0.01794402775500203,5.454775569974425,0.0014015780364771662,0.9768526790074554,7.924243007897718e-05,0.00741327767223568,0.22489497441316494,0.001396709819415059,0.9734727522296477,5.891290785404565e-05,0.004254883413511127,0.22489497441316494
TIC_1101909431,0.008811600394485895,1.0648837608079522,0.0026551043925205544,0.17235549666185607,5.047788402217268,0.008294216497379861,1.0026618944319219,0.0006309256837217622,0.014511545952759239,0.24663389594029972,0.0082798229885413,1.0010458038848222,0.0004964139791360135,0.009001465138980038,0.24663389594029972
TIC_285233023,0.0061070705799796295,0.9399097693245582,0.0006679656343234547,0.0242281343432304,6.015329047078164,0.0060360110993367576,0.9290219326044596,0.00032017956521458425,0.006818737066845749,0.21794670460428123,0.006011755484153825,0.9253415845060274,0.00027189777807122843,0.00493344529322434,0.21794670460428123
TIC_26583436,0.006062665994583096,0.954866741912685,0.0003709495788397414,0.00863222223441945,1.5297330915351566,0.0059851494532508365,0.9425166624848798,0.00027684535707214064,0.005330089468231524,0.234508503682621,0.006003955835401184,0.9456368908899578,0.00020369286911925153,0.002914534853935758,0.234508503682621
TIC_67926921,0.0010384361293020146,1.066290522029317,0.0005146260635619331,0.17150352178055306,1.7899476792480835,0.0010121446345789686,1.039234280893963,0.0002102680027205925,0.06198820623333349,0.29705418792133675,0.000946050861960676,0.971389118640984,1.7452404925914104e-05,0.0008548395690691784,0.2097983251272167
TIC_151728428,0.02571122848734442,12.60680508537439,0.026096077974085474,0.9200071419750031,2.5046632552728174,0.002173393515416304,1.063615422517849,0.00026695006328428315,0.01636581409934349,0.5879491209560603,0.0019311516527138143,0.945094000887392,2.062392689177406e-05,0.0003106881808489964,0.20496425984229272
TIC_458857720,0.0011411716880459115,1.0422477371549819,0.00023430062525972293,0.06438772265666827,1.3134971087710234,0.0011210497649129156,1.0238305542183543,0.00023298151283408826,0.08196680439687254,0.2621356890894961,0.0010708435979608331,0.9779950297658275,4.77265304909776e-05,0.005104696608098873,0.21813434127804496
TIC_22020459,0.005114325109011601,0.9989435186121943,0.0011613377513787074,0.09981611930681608,0.667795614012293,0.004952567073824777,0.9673109500926442,0.000396337344456308,0.01500969267564219,0.22177256940296927,0.004936323153808993,0.9641396933269105,0.00027964827685526524,0.007809019383838302,0.22177256940296927
