host,in_skew,in_kurt,out_skew,out_kurt,skew_diff,kurt_diff,n_in,n_out,wavelet_e1,wavelet_e2,wavelet_e3,status
BD-13_2130,0.07818374558448982,0.023119586564707806,0.07371614380924084,0.16377818746212247,0.004467601775248978,-0.14065860089741467,676.0,14317.0,0.17777618720822672,0.3787942725657138,0.4434289628485665,ok
BD+63_1405,0.11534044724957741,-0.562333435629998,0.20870585595800942,0.37984508999684063,-0.093365408708432,-0.9421785256268387,133.0,18026.0,0.46430631479265694,0.4657354494794315,0.06995075291434429,ok
BD-11_4672,-0.03158032637202975,-0.5227266730238358,0.04748689117947769,0.0515278079321555,-0.07906721755150745,-0.5742544809559913,58.0,12775.0,0.6802583680004513,0.26769688448806017,0.052042822849493936,ok
BD-10_3166,0.2961595897440413,1.204965668406441,0.10800550102674468,0.4145857575624463,0.1881540887172966,0.7903799108439946,790.0,13407.0,0.3736368051565556,0.36513813658879024,0.26122389774682186,ok
CD-35_2722,0.07052773109058993,-0.20662325509041768,5.732394040997658,91.45778570034726,-5.661866309907068,-91.66440895543768,128.0,14275.0,0.6805659781296106,0.2830443775510701,0.03638961569818111,ok
BD-08_2823,0.275118485346327,-0.3642877068850936,0.17692355889846906,0.3630475134741662,0.09819492644785793,-0.7273352203592598,77.0,12825.0,0.6037123071414953,0.247554944842045,0.1487306647042089,ok
BEBOP-4_A,0.2167632734382307,0.07931669529632668,0.22767248316726305,0.5219046895937027,-0.010909209729032338,-0.44258799429737605,42.0,12819.0,0.6797701534163009,0.2561885621969207,0.06404038285265538,ok
BD+03_2562,0.06975618780966526,0.11513419766784816,0.04970117415833469,0.24635190201276114,0.02005501365133057,-0.13121770434491298,403.0,97510.0,0.842833815516673,0.07392612739051908,0.083229137438807,ok
BEBOP-3,-0.7382839830650361,3.7699689692899847,0.11857063433299034,1.0370190237472974,-0.8568546173980264,2.7329499455426873,188.0,15833.0,0.19980568288094255,0.7276010391249481,0.07259301728682216,ok
BD-210397,0.16796436742656795,0.37553930823899107,0.04457147884030464,0.16326833950742214,0.12339288858626331,0.21227096873156892,295.0,12198.0,0.4610331981634982,0.4318222969721574,0.10714334493903367,ok
BD+60_1417,-0.10793586355199657,0.04511204836648819,0.18842960065488915,0.7557805226562446,-0.2963654642068857,-0.7106684742897564,113.0,17453.0,0.7089351714919354,0.2126005222275935,0.07846200876558776,ok
AT2021ueyL,-0.09806752193609782,0.10572053789386482,0.012975945842302085,0.05284374139646841,-0.1110434677783999,0.052876796497396406,2571.0,96425.0,0.5149461418615,0.40608583731595804,0.07896801939670428,ok
BD-14_3065_A,0.8070962628222013,-0.13218213146645885,0.04491545996921412,0.047486876215027785,0.7621808028529872,-0.17966900768148664,330.0,14803.0,0.16981788244013984,0.6596002525419263,0.1705818316033922,ok
CD_Cet,-0.1030813052816567,-0.15632043251292593,0.04718548269766781,0.21043474545547225,-0.15026678797932452,-0.3667551779683982,85.0,14538.0,0.5325788932046849,0.24189564180103224,0.2255251030659305,ok
CoRoT-12,0.007812135644705192,-0.031569132846387404,0.025926330222508877,0.04537131034108777,-0.018114194577803687,-0.07694044318747517,464.0,13213.0,0.3150154397711622,0.4136457517260108,0.2713388082493608,ok
CoRoT-11,0.2763365418616896,-0.3163976581171615,0.033622842990596515,0.011217951286111472,0.2427136988710931,-0.32761560940327294,154.0,11471.0,0.23525329651452054,0.22694774306541005,0.5377989576818785,ok
CoRoT-10,-0.06853479106193362,-0.2245531271450476,0.007209185454936946,0.12771213750028698,-0.07574397651687056,-0.3522652646453346,104.0,9047.0,0.5168125304467797,0.23689109591901372,0.24629637131560647,ok
COCONUTS-2_A,-0.42556158424216733,-0.8326691199963423,6.682942677849304,87.44861845988619,-7.108504262091472,-88.28128757988253,129.0,12202.0,0.4471085120730409,0.4168491617081276,0.1360423064396005,ok
CI_Tau,-0.8220940895248364,-0.5903553261848371,0.9802163752199606,7.432742130327574,-1.8023104647447972,-8.02309745651241,106.0,14813.0,0.24938779327513352,0.5596403209720806,0.19097188544708577,ok
CoRoT-1,0.41441537230297115,-0.19232870412229364,0.011665538852225816,-0.02074111609430984,0.40274983345074533,-0.1715875880279838,763.0,12316.0,0.10784476295574286,0.37603004505158805,0.5161251908839939,ok
CoRoT-14,-0.0793033109095736,-0.204466797419264,-0.024947797949962325,-0.03797857596955856,-0.054355512959611274,-0.16648822144970543,373.0,13478.0,0.4861529625498643,0.24854586825249642,0.2653011687132628,ok
CoRoT-13,0.16146045695503797,-0.3165120803571342,0.0007854299576021352,-0.0230432341617246,0.16067502699743583,-0.2934688461954096,158.0,14156.0,0.5516633104335795,0.23848835663508028,0.2098483316621749,ok
CoRoT-21,-0.03498247675995549,-0.2655732779212907,0.024691468703640848,-0.04334989367779185,-0.05967394546359634,-0.22222338424349886,220.0,13955.0,0.6108401724355529,0.2025480928749913,0.18661173450372776,ok
CoRoT-3,-0.023047536030150223,-0.2434771557132005,-0.05383840388428728,0.005951681178175683,0.03079086785413706,-0.24942883689137618,245.0,8673.0,0.416047512273733,0.31103763116424127,0.27291484704099,ok
CoRoT-20,-0.15955875136345327,-0.5870647059889333,0.005840469463371978,0.027363135026419627,-0.16539922082682523,-0.614427841015353,84.0,14396.0,0.5762241403155957,0.40591362438793804,0.017862229030032088,ok
CoRoT-29,-0.10465668446591771,0.5395253109334313,-0.0025547122970844796,-0.07088692379840156,-0.10210197216883322,0.6104122347318328,168.0,11513.0,0.4039599095087951,0.32333531733939874,0.27270477281834676,ok
CoRoT-2,0.15310720344163692,0.025773933738405308,0.391372361126601,0.33461417100754565,-0.2382651576849641,-0.30884023726914034,181.0,8857.0,0.05387892671479001,0.22479385110114478,0.7213272217785236,ok
CoRoT-23,0.22123515900543564,0.7208644989926363,-0.01903002889932522,0.025406559123415384,0.24026518790476087,0.6954579398692209,113.0,11541.0,0.5790694153438969,0.1953682524487418,0.22556233160224848,ok
CoRoT-28,-0.26574711187541655,0.35990914849705735,-0.047430270059432476,-0.02694995150886781,-0.21831684181598407,0.38685910000592516,296.0,11035.0,0.5684175667742879,0.2615688092584565,0.1700136116451995,ok
BD+37_3172,0.07732395915975478,0.23966509347464982,0.05455336619633136,0.1625022019750757,0.022770592963423417,0.07716289149957412,2132.0,107215.0,0.6406881028583991,0.29461034393387026,0.06469120570161441,ok
CoRoT-19,0.08418780061172829,-0.28533710979515536,-0.005567714048204678,0.04348181101916859,0.08975551465993296,-0.32881892081432396,752.0,12406.0,0.3957406894677716,0.32958596589070377,0.2746733348127205,ok
CoRoT-31,0.09798028066413762,-0.27825965435652167,-0.00028612546824707114,-0.08954938192765871,0.09826640613238469,-0.18871027242886296,82.0,13208.0,0.6692404431416088,0.2766497585686877,0.054109797714432945,ok
CoRoT-18,-0.010102663383382199,-0.4427599248497236,0.01767490754537064,0.05727562464510605,-0.02777757092875284,-0.5000355494948296,661.0,12674.0,0.1955276981616567,0.3561432746912304,0.44832902630522203,ok
CoRoT-25,0.23726840724053067,-0.09854324878771692,-0.02277483216824707,-0.042014154580142016,0.2600432394087777,-0.056529094207574904,117.0,11642.0,0.5428679110917197,0.2806877591345208,0.17644432940061827,ok
