host,label,n_sectors,status,cadences,windows,peak_bytes,span_days,single_depth_mean,single_depth_mean_odd,single_depth_mean_even,single_odd_even_mismatch,single_secondary_eclipse_depth,single_trap_vshape,single_depth_se,single_n_in_transit,multi_depth_mean,multi_depth_mean_odd,multi_depth_mean_even,multi_odd_even_mismatch,multi_secondary_eclipse_depth,multi_trap_vshape,multi_depth_se,multi_n_in_transit
HIP_948,1.0,3,ok,"[120.0, 20.0, 120.0]","[403, 2413, 403]",11122560,1845.1152915058647,5.5844365452806244e-05,-4.1810522384055915e-05,0.00011592267720694771,1.8757203816120651,-0.0001143614120784342,0.0886927918803666,4.173740491967193e-05,202,1.5771278201515138e-05,3.865695922700141e-05,5.11554681770221e-06,0.6290588569611747,-5.934257188733305e-05,0.08186941080556023,2.652941229514807e-05,1840
TOI-1408,1.0,29,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 20.0, 20.0, 20.0, 120.0, 120.0, 120.0, 120.0, 20.0, 120.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 2413, 2413, 2413, 403, 403, 403, 403, 2413, 403, 2413, 2413, 2413, 2413, 2413, 2413, 2413, 403, 403, 403, 403, 403, 403, 403]",12458880,1924.1729586535823,0.0003465003037244063,0.00012900368849133592,0.0011169266091333174,9.774833630725244,0.00017571637083479974,0.8445677392843411,5.45130753241793e-05,272,-3.3166858041111524e-06,-9.313397184684824e-06,3.635374126509383e-06,0.9047425083984822,-1.5523483629764634e-05,0.6985558490167157,7.148433827646745e-06,25750
TIC_331034236,0.0,10,ok,"[20.0, 20.0, 120.0, 120.0, 20.0, 20.0, 20.0, 120.0, 120.0, 120.0]","[2413, 2413, 403, 403, 2413, 2413, 2413, 403, 403, 403]",12458880,759.1187248598562,4.3061323064974566e-05,0.00022537390533516888,-8.268760160801136e-05,1.3181930109527056,-0.0003392489863336401,0.9395443379356769,0.00010471237346241676,448,-4.290744339807695e-05,5.4601924358577136e-05,-0.00011784847213203165,1.9215214429327203,-5.284713559294829e-05,0.01706228110949992,4.248574008317249e-05,1946
TIC_47484268,0.0,2,ok,"[120.0, 120.0]","[403, 403]",2004480,758.4825171495531,0.003826835461768874,0.0008104438531857383,0.006870528330246928,8.021083905122708,0.00014442032365014068,0.42436116692991693,0.0004378618698907813,115,0.001648106726013232,0.0007730352708127386,0.0018993407109274552,1.5964560027893984,-8.074625520537726e-05,0.49238768746110395,0.0003640473324413884,234
TIC_330468175,0.0,1,ok,[120.0],[403],1987200,27.162872930217873,0.00016451162152486543,9.555584607179313e-05,0.00021646439425115904,1.599048983995735,0.00015296416804932988,0.1962298710799404,3.782754643840907e-05,921,0.00016451162152486543,9.555584607179313e-05,0.00021646439425115904,1.599048983995735,0.00015296416804932988,0.1962298710799404,3.782754643840907e-05,921
TIC_373729723,0.0,6,ok,"[1800.0, 600.0, 1800.0, 600.0, 1800.0, 600.0]","[27, 81, 27, 81, 27, 81]",930240,735.0899869791824,-0.00014831382099422807,,-0.00014831382099422807,,-6.61415570989421e-05,0.4662051538443922,0.00016475089270513284,19,-6.571561330526166e-05,-6.159516393533515e-05,-6.98360626754102e-05,0.03674286519825874,5.066427777977722e-06,0.7150571425550882,0.00011032107344211669,444
TIC_41227743,0.0,37,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 20.0, 20.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 2413, 2413, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403]",10941120,2662.9881690631537,0.0003474140421293459,0.00019793595674943987,0.0004921592570140687,1.8310913222626246,-5.438608225083463e-05,0.5345280949643906,8.023400036286355e-05,339,8.305049816192955e-06,7.808286679678034e-06,8.739229332754839e-06,0.024757326747014148,-3.5477744840362035e-05,0.502221483451696,1.8800244590007085e-05,13933
TIC_233569098,0.0,11,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403]",2062080,433.60989207605826,0.0006132871026188758,0.0009793689591566235,3.251357547706668e-05,2.5663449949443597,-4.0978879157993475e-05,0.07451927840590303,0.00018767480683434728,125,-6.321876362735956e-05,4.465313519319558e-05,-0.00014722395694910517,1.887929990556084,-3.918896160404195e-05,0.05906912857304142,5.087274241526389e-05,1007
TIC_312548415,0.0,2,ok,"[120.0, 120.0]","[403, 403]",2027520,753.1448498797586,-0.00014406579440007228,-0.00013321070493765852,-0.00039633793837090536,0.1997932069794713,0.0008030953582356393,0.192183832278614,0.0006549621261094658,122,-0.0002124824993683383,-0.0002124824993683383,-0.0003785380032719221,0.1759143326312618,0.00028590678021434,0.7268814853096291,0.00047203217762707494,214
TIC_456305193,0.0,1,ok,[120.0],[403],1952640,26.70380823715277,0.002075977604052648,0.0020910024439915187,0.002060952764113777,0.13369920034694724,0.00017498473390031855,0.6675779412886454,0.00010908006930507568,172,0.002075977604052648,0.0020910024439915187,0.002060952764113777,0.13369920034694724,0.00017498473390031855,0.6675779412886454,0.00010908006930507568,172
TIC_17416749,0.0,2,ok,"[120.0, 120.0]","[403, 403]",1800000,759.3645493055501,1.2810684204556111e-05,2.722593809978413e-05,-1.0005572012472541e-05,0.33714120929504326,5.2661831595912645e-05,0.19682727407942807,5.3515175229164036e-05,128,1.8016345955218505e-05,3.94834706680669e-05,-4.2503455882525465e-05,1.0954695452363807,2.593931323346954e-05,,3.732045211180198e-05,223
TIC_146244533,0.0,2,ok,"[120.0, 120.0]","[403, 403]",1837440,50.360942831977354,0.0012223403976345804,,0.0012223403976345804,,-9.16113182003464e-05,0.7770950210228662,0.00015557340580774483,116,-2.3022449552323465e-05,-0.0007581584646587647,0.0005126992513189155,6.192434071473521,-0.00019262789050622509,0.7904952886555965,0.00011105299139214957,288
TIC_316937670,0.0,4,ok,"[120.0, 120.0, 20.0, 120.0]","[403, 403, 2413, 403]",10941120,757.2799559085759,0.0007877049771267686,0.0008607611266442383,0.0006550659873783005,0.5969868021546798,1.9240279657939396e-05,0.9936790661300331,0.00017204769887382176,756,0.00039647229525385796,0.00033552636476974484,0.00046842057472706866,0.5230237551199193,6.85419411006194e-07,0.0763745310721655,0.0001270497191172683,4744
TIC_30329585,0.0,6,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403]",2062080,1142.522763528339,0.00036007707725027593,0.00013029834994582323,0.000587747364302782,2.7482898108644735,0.00011543905461353088,0.523951195560025,8.421225668502801e-05,297,5.2220173197059516e-05,5.511438799388202e-05,5.2220173197059516e-05,0.038792096608235196,1.0990078905148692e-05,0.6172442955188591,3.629576097767409e-05,1325
TIC_434100688,0.0,9,ok,"[1800.0, 200.0, 1800.0, 200.0, 200.0, 1800.0, 1800.0, 1800.0, 1800.0]","[27, 241, 27, 241, 241, 27, 27, 27, 27]",1143360,2579.3078930935767,3.532185411325717e-05,4.181034873762535e-05,,,3.4923934377761867e-06,,9.428805220864958e-05,11,-8.57937868676828e-05,-6.12975587150899e-05,-0.00016277392276276004,0.001513497955499171,-2.457363015118119e-05,0.9288639012592596,0.03448357609200692,338
