host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1244,219850915,0.720551,0.0534824,0.728,0.0836433,4599.0,4.58487,0.0932913,1.94598,0.549764,0.2092558,DWARF,0.007138687,0.009321362,54
TOI-1246,230127302,0.876154,0.051,0.868,0.105417,5141.0,4.49143,0.0842768,1.29056,0.305093,0.483110219,DWARF,0.004758511,0.05373519,59
TOI-1248,232612416,0.874131,0.0475929,0.891,0.112337,5227.0,4.50479,0.0814786,1.33398,0.309651,0.513875,DWARF,0.00496038143,0.0455552675,73
TOI-1249,232976128,0.999576,0.0506532,0.952,0.124441,5453.0,4.41707,0.0794538,0.953213,0.209767,0.795917332,DWARF,0.00292006414,0.00424458,25
TOI-125,52368076,0.852266,0.0497186,0.91,0.110203,5280.0,4.53596,0.083038,1.46999,0.344956,0.508605659,DWARF,0.00384133076,0.0008560611,67
TOI-1259_A,288735205,0.765001,0.0542789,0.751,0.0862556,4699.0,4.54638,0.0920064,1.67747,0.45632,0.257063359,DWARF,0.00472304551,0.008691662,85
TOI-1260,355867695,0.693431,0.0690804,0.66,0.0825376,4225.0,4.5756,0.1122,1.9794,0.688061,0.138041124,DWARF,0.002727847,0.04246701,38
TOI-1266,467179528,0.435666,0.0129388,0.431082,0.0202618,3618.0,4.79432,0.00537588,5.21313,0.219513,0.0293005854,DWARF,0.00572592765,0.00761899026,20
TOI-1268,142394656,0.901802,0.0535628,0.87,0.105344,5150.0,4.46736,0.0830147,1.18628,0.282696,0.515402,DWARF,0.003328208,0.000408090244,39
TOI-1269,198241702,0.848906,0.0452839,0.969,0.128979,5517.0,4.56667,0.0843794,1.58396,0.360851,0.601486146,DWARF,0.00570454542,0.0247454662,44
TOI-1272,417948359,0.809032,0.0501784,0.825,0.0987782,4987.0,4.53859,0.0876981,1.55796,0.401907,0.364740163,DWARF,0.00189827429,0.020494841,32
TOI-1273,445859771,1.06597,0.0499146,1.015,0.12369,5698.0,4.38904,0.0741047,0.837966,0.172407,1.07913959,DWARF,0.00234390679,0.00298626954,29
TOI-1278,163539739,0.55035,0.0160576,0.545569,0.0200982,3841.0,4.69364,0.00934387,3.2729,0.166108,0.059395,DWARF,0.00182900147,0.326394856,648
TOI-1279,224297258,0.840608,0.0419095,0.959,0.1255,5477.0,4.5707,0.0797127,1.6145,0.353601,0.572866142,DWARF,0.00351852947,0.00119916419,28
TOI-128,391949880,1.12777,0.0495226,1.13,0.151237,6059.0,4.3867,0.0809629,0.787793,0.175315,1.5443399,DWARF,0.010948794,0.137439355,116
TOI-1288,365733349,0.923371,0.048206,1.181,0.199742,6180.0,4.57956,0.106778,1.5001,0.406077,1.12047327,DWARF,0.004895804,0.0286656488,282
TOI-1291,198186769,1.8109,0.0823618,1.2,0.181195,6229.0,4.00146,0.0849854,0.202068,0.0473725,4.447928,DWARF,0.001991954,0.007078682,41
