host,crowd_ok,crowd_note,crowd_contratio,crowd_numcont,crowd_flux_ratio_max,crowd_nearest_arcsec,crowd_target_sep_arcsec,crowd_target_tmag,crowd_n_nb_21,crowd_n_nb_42,crowd_n_nb_63
CI_Tau,1,,,,0.0398290547901716,26.448480753601828,0.2985181265487591,11.1809,0.0,2.0,6.0
COCONUTS-2_A,1,,0.0225441046,158.0,0.0221468518257329,18.769145878632315,3.3870812293758616,8.94488,1.0,7.0,15.0
CT_Cha,1,,,,0.0303976492857371,7.533489340994048,0.3442663213176667,10.9363,5.0,16.0,35.0
CoRoT-1,1,,,,2.2721657022931265,8.634604550330579,0.093708824057791,13.0501,4.0,25.0,49.0
CoRoT-10,1,,,,3.779201079618792,4.709644869674587,0.3559251223446553,13.8215,24.0,77.0,170.0
CoRoT-12,1,,,,0.66154592711835,8.37672872370703,0.0597530971797896,14.7971,4.0,33.0,67.0
CoRoT-11,1,,1.47939312,2577.0,0.5832839147039705,2.6139316641424153,0.086518448556649,12.419,30.0,119.0,262.0
CoRoT-13,1,,,,1.3748015085165648,6.621616703490167,0.0564136164482004,14.4266,7.0,27.0,58.0
CoRoT-17,1,,,,1.271393538732691,5.490721457058394,0.1433485849461792,14.4756,21.0,87.0,182.0
CoRoT-14,1,,,,0.8057494170914506,2.4219068785278757,0.0557389766850406,15.2135,4.0,27.0,45.0
CoRoT-18,1,,,,0.4311218160437414,11.332959800154494,0.0622798668647581,14.2465,5.0,19.0,42.0
CoRoT-16,1,,,,5.847362254675907,5.75843035060753,0.1254254614674319,14.7587,7.0,47.0,104.0
CoRoT-19,1,,,,0.4753352259428048,7.688785670664478,0.1192297854462373,13.1861,1.0,21.0,44.0
CoRoT-2,1,,0.6827474,1800.0,0.0843024118982906,3.9125380399689975,0.1773662620569468,11.6659,25.0,96.0,187.0
CoRoT-20,1,,,,0.0807978863683088,10.57171823549741,0.0434932501221752,13.8786,3.0,16.0,42.0
CoRoT-21,1,,,,2.0848748958758008,0.8508137974207752,0.1814927443403984,15.2756,6.0,24.0,56.0
CoRoT-22,1,,,,0.2090836148428045,3.514305195735703,0.0358864660574047,13.2006,33.0,114.0,246.0
CoRoT-23,1,,,,2.9335939412141245,3.671116605392031,0.1341570856881439,14.1956,25.0,80.0,190.0
CoRoT-24,1,,,,0.5485800377031476,8.19314050542121,0.0471351536340582,14.5115,8.0,21.0,46.0
CoRoT-25,1,,,,0.4348305011162464,5.593296220768792,0.0410947023307017,14.1354,25.0,99.0,251.0
CoRoT-26,1,,,,1.2747939684819565,6.705970404905856,0.1568378984824971,14.8162,32.0,105.0,229.0
CoRoT-28,1,,,,0.715813689911473,3.050529187070804,0.1382334747890028,12.671,18.0,101.0,211.0
CoRoT-29,1,,,,1.3556887745615576,7.986960620795994,0.230093198344895,14.5448,29.0,98.0,207.0
CoRoT-3,1,,0.8557685,1824.0,2.4369128610927664,2.550672226735003,0.054232453832319,12.7127,16.0,74.0,188.0
CoRoT-30,1,,,,0.7554400405676184,4.813802205500746,0.0199129661014579,14.8279,32.0,105.0,188.0
CoRoT-31,1,,,,2.568502542745922,5.143359563106979,0.1202233308771855,14.8468,1.0,14.0,35.0
CoRoT-32,1,,,,0.1283866893366511,27.935425191797854,0.0721640867114141,13.1395,0.0,5.0,14.0
CoRoT-4,1,,,,0.2417463914016888,2.9121604754345416,0.0827866174670189,13.1573,5.0,19.0,51.0
CoRoT-5,1,,,,0.5814066569259023,7.218626166653712,0.1368137226656351,13.4831,7.0,32.0,49.0
CoRoT-6,1,,,,1.0072099327956614,6.08571001290965,0.0898927206519314,13.2491,21.0,92.0,202.0
CoRoT-7,1,,0.2257022,550.0,0.1344621341534486,5.002578842050357,0.1698820881027442,10.9996,10.0,23.0,58.0
CoRoT-8,1,,,,0.0733364697188905,4.46593437474421,0.5501098180388803,13.4202,11.0,60.0,165.0
CoRoT-9,1,,0.447697639,2040.0,0.9329964687265296,4.591648837802282,0.3220501666361599,12.9497,17.0,76.0,173.0
DE_CVn,1,,0.00383752352,25.0,0.0045570101929794,14.18457840130472,4.156502832854382,10.857,1.0,2.0,2.0
DENIS-P_J082303.1-491201,1,,,,38.91885009280161,8.214598063066779,4.47383558683775e-05,17.0963,5.0,25.0,55.0
DH_Tau,1,,,,1.678958648807707,11.393362050822352,0.3390571779340194,11.4555,2.0,10.0,16.0
DMPP-1,1,,0.00135109841,73.0,0.0009348027901901,27.10187745695408,0.3325279740562137,7.4742,0.0,5.0,10.0
DMPP-2,1,,1.1191798e-05,24.0,0.0,59.97122047397072,0.4404964140933379,8.1311,0.0,0.0,2.0
DMPP-3_A,1,,,,6620.945301483051,5.94634607520519,4.624475714344364,17.8633,5.0,24.0,68.0
DMPP-4,1,,0.00185108581,336.0,7.544665679369034e-05,16.712800741407825,2.9601809029073514,5.2609,2.0,12.0,33.0
DMPP-6,1,,0.0124275405,198.0,0.007693429882442,17.59441769987186,1.6382166205942386,7.1647,1.0,10.0,22.0
DMPP-7,1,,0.00425625127,37.0,0.0046945287166146,18.983076824385588,1.0438111444939395,8.25428,1.0,1.0,2.0
DMPP-8,1,,0.0007482386,127.0,0.0003249076971358,14.917122813478294,3.150667329727875,8.073,1.0,9.0,15.0
DMPP-9,1,,0.0244762562,114.0,0.0245470891568502,5.934218427966426,1.3437907621018663,8.69,1.0,4.0,6.0
DP_Leo,1,,,,0.0,,0.4453807159790611,18.417,0.0,0.0,0.0
EPIC_201170410,1,,,,0.0,43.83554682077998,0.3387692415917235,15.3176,0.0,0.0,4.0
DS_Tuc_A,1,,0.425872922,66.0,0.4354316568221878,6.688506060086753,1.6155656428343497,7.8541,2.0,4.0,7.0
EPIC_201238110,1,,0.000130854954,45.0,0.0058775996368059,41.67795775778333,0.4341522318158093,14.1497,0.0,1.0,3.0
EPIC_201427007,1,,,,0.1254295892302318,26.308077551133447,0.2757669289580501,13.6514,0.0,2.0,3.0
EPIC_201497682,1,,,,0.0,48.12109269223506,0.2544103613785023,13.0708,0.0,0.0,3.0
EPIC_201595106,1,,0.00661622873,40.0,0.0059205220103048,12.994544809942957,0.3873315038372407,11.2023,1.0,1.0,4.0
EPIC_201757695,1,,,,1.0,0.3038689840159548,0.0672911049701661,13.9058,1.0,2.0,4.0
EPIC_201841433,1,,,,0.0096756466555221,28.862097468457545,0.1232303927545529,13.957,0.0,1.0,3.0
EPIC_206024342,1,,0.1272349,55.0,0.3207450775395515,26.95721393949796,0.5524080223190175,12.516,0.0,2.0,4.0
EPIC_206032309,1,,0.002204947,43.0,0.035010635984652,31.728349024510315,1.2810983112425347,14.8945,0.0,2.0,4.0
