host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_631807856,main,0.986,0.0,18.459564,45.9,4.942622525714089e+18,0.0,0.0
TIC_87260967,main,0.831,0.0,5.744811,29.1,6.707446410383996e+18,0.0,0.0
TIC_365558320,main,0.938,0.0,9.897105,133.02,6.630955619815985e+18,0.0,0.0
TIC_1989237861,main,0.991,0.0,17.095207,49.26,6.468315481871525e+18,0.0,0.0
TIC_280794907,main,1.055,0.0,8.68279,11.58,6.488195614172614e+18,0.0,0.0
TIC_631716307,main,0.981,0.0,19.156609,24.479999999999997,4.931282957354172e+18,0.0,0.0
TIC_79020913,main,,,,,,,
TIC_86141703,main,1.062,0.0,13.453639,20.1,6.724092123091016e+18,0.0,0.0
TIC_180723732,main,1.32,0.0,10.381327,31.860000000000003,4.989809136668241e+18,0.0,0.0
TIC_320056471,main,1.084,0.0,6.538346,32.04,6.639425707634504e+18,0.0,0.0
TIC_1988642897,main,0.94,0.0,18.707409,31.68,6.431009769599863e+18,0.0,0.0
TIC_79152524,main,19.858,3.0,9.14351,70.5,6.47728911166196e+18,1.0,1.0
TIC_351249089,main,13.125,0.0,12.344298,69.54,6.442905351539933e+18,0.0,1.0
TIC_305938209,main,0.982,0.0,12.497007,15.3,5.912340860279729e+18,0.0,0.0
TIC_63863822,main,3.334,0.0,14.07801,15.78,4.044629599613544e+18,0.0,1.0
TIC_253668790,main,1.114,0.0,6.004342,26.34,6.728836034709121e+18,0.0,0.0
TIC_404265471,main,0.958,0.0,8.749215,16.32,6.373522942309548e+18,0.0,0.0
TIC_467960339,main,0.892,0.0,8.470648,6.3,6.63216391436996e+18,0.0,0.0
TIC_1990245477,main,0.989,0.0,19.145794,51.12,6.6688881825571e+18,0.0,0.0
TIC_651283988,main,1.016,0.0,19.235077,13.38,5.0494736154568e+18,0.0,0.0
TIC_246444228,main,0.947,0.0,13.633725,0.42,4.036587114359348e+18,0.0,0.0
TIC_1329038173,main,1.061,0.0,18.280863,1.26,5.938122350717045e+18,0.0,0.0
TIC_376672630,main,1.059,0.0,13.817346,24.42,6.41748791117995e+18,0.0,0.0
TIC_2055103803,main,,,,,,,
TIC_2055145474,main,1.047,0.0,18.390053,21.42,6.490945728977869e+18,0.0,0.0
TIC_219319398,main,1.208,0.0,13.700529,106.86,6.458517493237902e+18,0.0,0.0
TIC_246601547,main,0.924,0.0,15.514816,26.04,4.040344351750574e+18,0.0,0.0
TIC_59816984,main,0.726,0.0,9.202281,1.3199999999999998,5.939268862116767e+18,0.0,0.0
TIC_291416779,main,1.237,0.0,8.702132,10.74,5.923014648598459e+18,0.0,0.0
TIC_79005592,main,3.143,0.0,8.619629,25.98,6.476283573918343e+18,0.0,1.0
TIC_17499007,main,1.032,0.0,13.899634,89.88,5.949230819762391e+18,0.0,0.0
TIC_2026480285,main,1.01,0.0,18.953728,31.26,6.404432615051494e+18,0.0,0.0
TIC_112584039,main,0.837,0.0,6.498664,27.48,4.03650238763291e+18,0.0,0.0
TIC_324140620,main,0.872,0.0,11.169226,17.279999999999998,6.726662128441599e+18,0.0,0.0
TIC_363014577,main,0.842,0.0,9.469089,14.58,5.946441732383118e+18,0.0,0.0
TIC_324497887,main,,,,,,,
TIC_2026344500,main,1.054,0.0,19.261078,22.44,6.399633693472094e+18,0.0,0.0
TIC_616630946,main,0.997,0.0,18.945335,26.22,5.02777715866428e+18,0.0,0.0
TIC_166606391,main,0.889,0.0,8.652154,51.06,6.481251098731589e+18,0.0,0.0
TIC_328153490,main,0.893,0.0,14.04225,30.72,4.036295164051106e+18,0.0,0.0
TIC_23592170,main,1.011,0.0,18.824484,12.78,5.956185844949115e+18,0.0,0.0
TIC_319606825,main,1.066,0.0,15.527294,5.279999999999999,6.640487526629273e+18,0.0,0.0
TIC_213207249,main,2.717,0.0,8.929772,11.34,5.926114786038289e+18,0.0,1.0
TIC_393483292,main,1.058,0.0,13.728441,43.44,4.943520727930958e+18,0.0,0.0
TIC_101277769,main,1.289,0.0,12.450284,65.16000000000001,6.666936862950849e+18,0.0,0.0
TIC_118826494,main,1.23,0.0,9.09999,10.92,5.001112803395493e+18,0.0,0.0
TIC_469505700,main,0.844,0.0,13.455764,2.1,4.0353352172894474e+18,0.0,0.0
TIC_396170579,main,1.014,0.0,6.344852,15.42,6.422415887934964e+18,0.0,0.0
TIC_166425461,main,0.948,0.0,6.920424,18.48,6.670257250627473e+18,0.0,0.0
TIC_229142860,main,1.621,0.0,4.579866,43.86,4.916676976173287e+18,0.0,1.0
