host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
K2-390,9030119,4.0,"42,70,92,29",-5.233287811279297e-05,18.214708385270946,1.6719276075550784,ok
K2-384,399702475,5.0,"30,42,43,70,97",-0.0035606443881988524,2.5999156646926957,11.935565995548583,ok
K2-393,279046938,2.0,"42,92",0.0002995729446411133,2.993596914064337,4.33737596680281,ok
K2-392,8963531,3.0,"42,70,92",0.00022807717323303223,2.5045939465492273,5.076022882180329,ok
K2-391,9054633,3.0,"42,70,92",9.964903195699056e-05,3.720298457628118,2.314251032059227,ok
K2-394,436575927,4.0,"43,44,70,71",-2.68593430519104e-05,14.860438811593923,2.819591856481439,ok
K2-395,245946724,4.0,"43,70,71,44",-0.0020764991641044617,1.7894714887265275,0.21415864893940129,ok
K2-396,59088823,3.0,"43,44,71",3.4769376118977866e-06,50.70529207980129,0.26670742268553205,ok
K2-398,281660552,3.0,"45,46,72",0.0004667341709136963,1.2485712125303001,2.3121037860931644,ok
K2-397,6139066,4.0,"43,44,45,71",1.6711652278900146e-05,17.87426946704302,3.9658737603828733,ok
K2-4,49462779,2.0,"46,72",0.0005032718181610107,1.146227336306067,1.2252287557896118,ok
K2-402,393548451,3.0,"45,46,72",-0.00014073650042215982,2.3912547457669313,0.9129235422843013,ok
K2-400,345034874,5.0,"8,45,46,72,35",8.459687232971191e-05,7.226101483552994,1.6747702205230133,ok
K2-403,365007485,3.0,"45,46,72",0.0005460878213246664,2.6951029226901464,7.465717221507892,ok
K2-401,345063080,5.0,"45,46,72,8,1751",-8.437633514404296e-05,4.596644602099451,0.6327757358835189,ok
K2-407,422685031,1.0,91,0.0037866830825805664,,,ok
K2-404,61312205,3.0,"45,46,72",0.0008707245190938314,1.9001670376749524,7.760824512625369,ok
K2-408,432247186,1.0,91,0.00022161006927490234,,,ok
K2-405,149496868,3.0,"45,46,72",0.0007440646489461263,1.270168485653205,18.84279983353182,ok
K2-409,432261603,1.0,91,0.0006867647171020508,,,ok
K2-411,440701570,1.0,42,-7.480382919311523e-05,,,ok
K2-413,423610130,2.0,"42,92",-0.00033770501613616943,2.5516748347084777,0.6227021116201055,ok
K2-416,301132473,2.0,"42,92",0.0007063299417495728,1.0400217415405522,1.202473383288274,ok
K2-406,292202337,3.0,"11,38,91",0.00024299820264180502,3.0233582593618222,65.57996166455858,ok
K2-414,301288279,2.0,"92,42",0.0001232922077178955,0.24783776473785207,0.004208869028418162,ok
K2-417,49592509,3.0,"42,92,70",0.00036336978276570636,2.9327045741243727,2.652160570914328,ok
K2-44,49427836,3.0,"45,46,72",2.9206275939941406e-06,27.80713160497908,0.196279040972475,ok
K2-42,82054726,4.0,"36,46,72,9",6.043165922164917e-05,20.197499689084964,1.6960172908805153,ok
K2-46,49430892,3.0,"45,46,72",0.0008464554945627848,1.5596823300221008,14.76748837021287,ok
K2-45,38087018,3.0,"45,46,72",0.0017044742902119954,2.0705843331725444,4.893913755088949,ok
K2-43,443616612,5.0,"36,45,46,63,72",6.079673767089844e-05,13.29168238131499,1.115939238306584,ok
K2-49,325335564,2.0,"46,72",-8.518993854522705e-05,11.333250718930094,0.34328537561209527,ok
K2-47,301603728,3.0,"45,46,72",0.0007264912128448486,1.1215789249126258,3.701026192112651,ok
K2-5,38064757,4.0,"45,46,72,9",-0.0003255903720855713,1.765445548188017,0.17425063413992425,ok
K2-50,363444743,2.0,"45,72",0.0009061247110366821,1.1855076771854252,1.2585863588412742,ok
K2-48,397022282,3.0,"45,46,72",0.0009987950325012207,1.1288918338776803,1.1733162620859627,ok
K2-55,437704321,3.0,"42,92,28",0.000812917947769165,3.1024453623825625,41.90947937494212,ok
K2-58,437703489,2.0,"42,92",5.1856040954589844e-05,8.236574851200544,2.9131931868345395,ok
K2-59,188570847,2.0,"42,92",0.0005174577236175537,4.064102639044538,3.5122126112732106,ok
K2-6,446672575,2.0,"72,46",0.0001323223114013672,4.4891725108302705,1.1498817379631139,ok
K2-60,206284139,2.0,"42,92",0.0019380450248718262,1.7283720910835632,140.39941513040566,ok
K2-54,12822545,5.0,"2,42,92,96,69",3.343820571899414e-06,339.7289025669797,2.4154364121820944,ok
K2-57,146799150,4.0,"2,29,70,92",0.0012543126940727234,0.6477405914567921,0.6117662451391153,ok
K2-61,402314147,2.0,"42,92",-0.0007190704345703125,1.7408049901558738,3.585829779388378,ok
K2-65,2024141042,1.0,92,-0.00029784440994262695,,,ok
K2-66,50183101,1.0,42,0.002697378396987915,,,ok
K2-64,38129680,2.0,"42,92",0.0006545484066009521,0.9059131543517314,0.2098544829423384,ok
K2-63,437699592,2.0,"42,92",0.004191398620605469,0.9191382599706708,34.570525708867,ok
K2-62,434094657,2.0,"42,92",0.00014869868755340576,0.2756433889984638,0.03620399781842196,ok
K2-69,39928614,2.0,"42,92",-0.00036400556564331055,0.23898287151940953,0.00233753301814832,ok
K2-70,250979498,2.0,"42,92",0.012043505907058716,1.4077953880669176,175.16446417287776,ok
K2-68,38258419,1.0,92,0.0005903244018554688,,,ok
K2-72,38337202,1.0,42,0.0038130879402160645,,,ok
K2-71,402287746,3.0,"42,70,92",0.0019170641899108887,0.6914539463677654,0.0631858629885711,ok
K2-74,251018878,1.0,92,0.0010585188865661621,,,ok
K2-73,38354061,2.0,"42,92",0.0004212707281112671,0.38152901702166875,0.1516300938791292,ok
K2-75,250996363,3.0,"42,70,92",-1.4513731002807617e-05,27.11168249581031,0.4938125238664094,ok
K2-7,53210555,5.0,"9,36,45,46,72",-0.00021814703941345215,3.070524618502392,1.7338523759270035,ok
K2-8,38114658,3.0,"45,46,72",0.0010531644026438396,0.9883404404590422,0.9983580352189894,ok
K2-79,435339558,5.0,"42,43,44,70,71",0.00018711090087890624,1.7240989461280176,1.2229900586471596,ok
K2-77,435339847,5.0,"5,42,43,44,70",0.0017420113086700439,1.4767604302612527,116.72310804722562,ok
K2-81,59040029,5.0,"42,43,44,70,71",0.0006113886833190918,0.5281259061278153,0.18906593696605445,ok
K2-83,242988068,5.0,"42,43,44,70,71",-3.790855407714844e-06,37.64813139251151,0.2773768580071644,ok
K2-80,242961495,5.0,"5,32,42,43,44",-9.34600830078125e-06,50.35114303021001,1.3127379344114625,ok
K2-85,14160842,5.0,"42,43,44,70,71",-3.790855407714844e-05,5.918565438901119,0.5206219479903416,ok
K2-86,25958378,4.0,"42,43,70,71",0.0002857819199562073,0.9937506284630022,0.5794628671714478,ok
K2-84,434133930,5.0,"42,43,44,70,71",-0.00016156435012817382,1.612760438353662,0.30112627130046327,ok
K2-88,113979956,3.0,"42,43,44",-0.00046819448471069336,0.6245959358611322,0.1862253362687502,ok
K2-89,440687723,2.0,"70,71",5.081295967102051e-05,2.1872616797524054,0.5026700030684675,ok
K2-9,82050863,2.0,"46,72",0.000624343752861023,0.2454849814826015,0.07750240728243489,ok
K2-87,17409453,4.0,"43,44,70,71",0.0005610212683677673,0.7517457585151024,0.9666733783689269,ok
K2-95,195193025,1.0,72,-0.006764590740203857,,,ok
K2-90,14111411,4.0,"42,43,44,71",0.00015817582607269287,2.2897768994587633,2.7921068506793,ok
K2-99,176966903,1.0,91,0.0006128549575805664,,,ok
KELT-11,55092869,,,,,,error: TypeError
