host,period,depth_ppm,repeat,flux_source,n_raw,baseline_d,duration_d,t0,n_after_clip,savgol_status,savgol_recovered,savgol_alias,savgol_SDE,savgol_snr,savgol_period,savgol_scatter,savgol_tls_s,savgol_window_pts,savgol_window_hours,gp_protect_status,gp_protect_recovered,gp_protect_alias,gp_protect_SDE,gp_protect_snr,gp_protect_period,gp_protect_scatter,gp_protect_tls_s,gp_protect_rho_days,gp_protect_rho_floor,gp_protect_n_fit,gp_tight_status,gp_tight_recovered,gp_tight_alias,gp_tight_SDE,gp_tight_snr,gp_tight_period,gp_tight_scatter,gp_tight_tls_s,gp_tight_rho_days,gp_tight_rho_floor,gp_tight_n_fit,status
TIC_173860688,6.0,700,1,pdcsap_flux,9397,24.018423706334033,0.5926195801588185,2967.445719204334,9397,ok,False,,11.587958772423061,8.304583199501835,0.8445589897317405,0.0014111242975909661,95.3,401,22.277689022266713,ok,False,,11.458656426441502,7.665116200408135,0.8445589897317405,0.0014092560712390268,106.3,0.6783720816987273,0.5,9397,ok,False,,11.452371214007544,7.659852145300237,0.8445589897317405,0.001409057454874903,108.5,0.6772201938855167,0.1,9397,ok
TIC_447283466,6.0,2500,1,pdcsap_flux,16519,24.590697577749552,0.08915515807699041,1544.0657667867163,16519,ok,True,exact,26.383687292944614,57.17705599414572,5.998760352406659,0.00043282195952721144,109.2,401,13.366887493140894,ok,True,exact,20.234951421575513,7.384307426843722,5.998760352406659,0.00039761993999584184,76.3,1.648298444899837,0.5,16519,ok,True,exact,20.392125202175244,7.442302336884938,5.998760352406659,0.00039755816717334863,76.1,1.7293914999399385,0.1,16519,ok
TIC_452803785,10.0,84,2,pdcsap_flux,902,22.77104055337827,0.1694391026759963,1747.4524060899855,902,ok,False,,4.941315763791991,14.618967102361747,2.6043002589316098,0.0020090785868005284,2.5,401,200.5015813668033,ok,False,,4.6443825177236455,3.045308173324897,0.7301880411733519,0.00044272131881411457,2.1,1.9143031601730331,0.5,902,ok,False,,4.644787937156238,3.044753665984393,0.7301880411733519,0.0004426969289294717,2.7,1.9149195949935611,0.1,902,ok
TIC_260271203,10.0,84,0,pdcsap_flux,18277,27.88075554563875,0.18813181102167387,1330.028340211399,18208,ok,False,,12.733489599031955,32.67129669354827,5.663229191990716,0.009673442267170294,68.3,401,13.366755977473076,ok,False,,6.9741246823797605,5.36416583566475,2.8221472766970646,0.009147694086968102,68.8,0.501,0.5,18208,ok,False,,6.665667184856852,4.6578981088657745,2.8221472766970646,0.009137212053255283,74.3,0.3201372074884241,0.1,18208,ok
TIC_169532369,10.0,84,3,pdcsap_flux,17142,25.546149676266168,0.2518269232432238,1447.9879508366844,17133,ok,False,,10.229355304333899,22.894786927621148,3.6151203365186477,0.0026435940510962544,32.8,401,13.366833767368007,ok,False,,6.325090657900692,5.3136664071838835,2.111818631407973,0.002527957161713567,68.6,0.501,0.5,17133,ok,False,,6.668106536095342,5.200921275825509,2.111818631407973,0.0025183796448299545,48.5,0.3533137856373044,0.1,17133,ok
TIC_237751146,6.0,700,3,pdcsap_flux,14653,21.77257683706989,0.056837986600400396,1468.9554473451635,14653,ok,False,,16.307056366968318,11.75900429981072,1.671291811225083,0.021977894514736484,144.1,401,13.366894327027694,ok,False,,14.063148283176256,11.87255394082171,0.8349648732405105,0.0221718510796065,163.9,30.464508286636732,0.5,14653,ok,False,,13.683022302539117,7.477041975554918,1.671291811225083,0.021756477500845264,164.4,0.26683351170073444,0.1,14653,ok
TIC_131581522,10.0,84,1,pdcsap_flux,15870,24.116713288976825,0.16788461549548256,2967.081133446143,15870,ok,False,,9.285146157071217,6.307768350776011,3.0583539130788684,0.011957800902009572,55.4,401,13.366691844410525,ok,False,,4.890767926771518,3.7206243753475623,3.0583539130788684,0.011850443290618351,91.0,0.6925980535052273,0.5,15870,ok,False,,4.898427633394961,3.7219779149799876,3.0583539130788684,0.011852459964774293,63.9,0.6941210453870327,0.1,15870,ok
TIC_11111899,10.0,84,4,pdcsap_flux,18321,26.589014666714775,0.2782532053119572,2428.3560633585826,18320,ok,False,,7.93619903378867,11.493550906849988,2.473428947232156,0.001102347098351502,22.7,401,13.366691494291445,ok,False,,5.5748706513139625,5.847808662792355,2.473428947232156,0.0010758663168864105,23.0,0.7116780104809889,0.5,18320,ok,False,,5.575460879572759,5.848401919399481,2.473428947232156,0.0010758673435276567,35.6,0.7117798526461898,0.1,18320,ok
TIC_459850897,10.0,250,2,pdcsap_flux,17338,25.324942426695543,0.27792520851686875,2307.37953522983,17338,ok,False,,7.565012823246644,14.871707028945309,2.376692512922471,0.003229635372478381,31.4,401,13.366622612738865,ok,False,,5.724626145732686,2.3173768734203675,1.5450950248682922,0.0019324414440383651,39.0,0.5032463683454369,0.5,17338,ok,False,,5.62710083840852,2.2039603499736597,1.5450950248682922,0.001921033280144688,26.8,0.101,0.1,17338,ok
TIC_437156845,10.0,250,0,pdcsap_flux,17845,25.70423288036727,0.1834294873006198,3701.922866981425,17845,ok,False,,11.49125427965636,7.1626834391079255,3.486377894163962,0.005507886626828364,49.2,401,13.366664924629731,ok,False,,12.70986060428695,7.656401849570615,3.486377894163962,0.005488752356839645,66.8,1.146407907408122,0.5,17845,ok,False,,12.709407657557563,7.655354102656458,3.486377894163962,0.005488468218209352,43.0,1.147612737654039,0.1,17845,ok
