host,label,ls_period_match,trend_slope_ppm_day,trend_amp_frac,straylight_frac,flagged_frac,ls_matched_harmonic,raw_status
TIC_274942910,0.0,1.2135566488585503,29.144523576090286,0.0007891721363171974,0.2356898817345598,0.2356898817345598,3.0,ok
TIC_275111900,0.0,0.11019591306349139,16.017937370699055,0.0004350953021886722,0.0,0.17133626396906942,1.0,ok
TIC_275248683,0.0,0.9027763683750295,4.417845580630536,0.00010653826721537438,0.026790391379181322,0.026790391379181322,3.0,ok
TIC_275384718,0.0,0.7720650542081595,8.67875533318425,0.00021008529744897408,0.10331102907245039,0.10769497000461467,0.3333333333333333,ok
TIC_275501623,0.0,0.2909344880644451,0.3810594073773765,1.0624247156948464e-05,0.0,0.0,0.3333333333333333,ok
TIC_276380902,0.0,0.035352934144150194,1.678792154257722,4.4638069490928164e-05,0.0,0.0,1.0,ok
TIC_27677846,0.0,0.15636731511452942,1.3567095967455276,3.3945629344993296e-05,0.00980392156862745,0.00980392156862745,1.0,ok
TIC_277014266,0.0,0.00014680778924888773,0.0635276442050791,1.6891560785168171e-06,0.0,0.0,1.0,ok
TIC_277103955,0.0,0.4929620110930128,3.849324286125095,0.00010732150361339864,0.0,0.0,3.0,ok
TIC_277871306,0.0,0.0156429668786972,38.23295159894616,0.0009237592804295835,0.01996279336004579,0.0206067544361763,0.5,ok
TIC_277987172,0.0,0.012679716656838407,9.535247246584522,0.0002538642562901135,0.1521569935512564,0.16166333110962863,0.5,ok
TIC_278199349,0.0,0.8609615530093996,6.3438869239211835,0.00015456368426157799,0.014209820763616503,0.039799414130380815,3.0,ok
TIC_27844066,0.0,0.00437152244384371,17.118933879839407,0.0004490213010558936,0.0,0.0,1.0,ok
TIC_278726770,0.0,0.23374351259927575,0.2105357635014776,5.085340261436645e-06,0.14854239101364,0.22171703664081305,0.3333333333333333,ok
TIC_278866211,0.0,0.2351823552981383,6.137415812562184,0.0001711155325508074,0.0,0.0,3.0,ok
TIC_278968371,0.0,1.022363039821585,48.40069275513006,0.0012695033921989811,0.026874511118560734,0.2156665549223377,3.0,ok
TIC_279177746,0.0,0.07477924957491187,5.819967054742295,0.00015808669009080743,0.0,0.0,2.0,ok
TIC_279212407,0.0,0.28142825204833677,1.887861952214023,4.6140550146923916e-05,0.0,0.0,2.0,ok
TIC_279251651,0.0,1.8078875040742426,2.273357698025895,6.230307583195452e-05,0.04420765027322404,0.04420765027322404,3.0,ok
TIC_279605855,0.0,0.2682758242332564,7.262488925702632,0.00017750032044869718,0.01850967279675185,0.01850967279675185,0.5,ok
TIC_279740441,0.0,0.9708262758455198,1.5685210721743856,4.373184978945068e-05,0.0,0.0,3.0,ok
TIC_279982557,0.0,1.3693371891330866,19.692164352303106,0.0005128766704665365,0.27897672846114835,0.31024961965402603,3.0,ok
TIC_279989567,0.0,0.9264976365473596,1.9439119489945416,4.4105227262927266e-05,0.26492434662998626,0.26492434662998626,3.0,ok
TIC_279999655,0.0,0.9923217354813667,0.9963566056294384,2.484615424032854e-05,0.029265471370734528,0.029265471370734528,3.0,ok
TIC_280212554,0.0,0.2483495007004105,3.3534244248418825,7.679814262715673e-05,0.2355433287482806,0.2355433287482806,1.0,ok
TIC_281979481,0.0,0.9959349485449815,2.575077635554222,5.2183750503810545e-05,0.07545078332840674,0.07611587348507243,3.0,ok
TIC_282498590,0.0,0.20112430996442135,19.804161512468113,0.0005117504263366928,0.0,0.04165034724544091,1.0,ok
TIC_283015592,0.0,0.006027100642488979,16.9101179219474,0.0004863384770728583,0.0,0.0,0.5,ok
TIC_284050395,0.0,0.5325898534419177,22.417038055095947,0.0004046297994745866,0.12172609656042915,0.12172609656042915,3.0,ok
TIC_284288080,0.0,0.06215827769212679,0.26357832803500475,6.810659318234185e-06,0.0,0.0,2.0,ok
TIC_284305328,0.0,0.11006083009800445,18.953367307939526,0.0005229787544752551,0.027522464698331195,0.027522464698331195,2.0,ok
TIC_284450803,0.0,0.027672855465611247,3.4945857431050635,9.854865926249237e-05,0.0,0.0,1.0,ok
TIC_284528889,0.0,0.5686085152222964,3.0837841550999694,8.38610357790404e-05,0.04626444159178434,0.04626444159178434,3.0,ok
TIC_284564230,0.0,0.040750789300686825,1.184912622699396,3.34150133707976e-05,0.0,0.0,0.3333333333333333,ok
TIC_284747017,0.0,0.006899060604585911,0.03955020609489352,9.616528883238012e-07,0.03947523933341213,0.03947523933341213,0.5,ok
TIC_285233023,0.0,0.052722317438919794,2.1771316621937173,3.929756138322606e-05,0.0,0.0,2.0,ok
