host,var_status,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period
CoRoT-11,ok,0.007915792603152547,1.0739411520544073,0.001856386929397689,0.08488640889004666,1.5523656369052747
CoRoT-12,ok,0.04324343783318333,0.941976720786304,0.002298946143901141,0.006648964587962053,0.23758435747452805
CoRoT-13,ok,0.02470248067026645,0.9509017887345802,0.0011043607202932074,0.004784169863988551,0.2841913245643564
CoRoT-14,ok,0.04624204227449201,0.9360170925960344,0.0023435887792204162,0.006237574824240648,0.36772098526011465
CoRoT-16,ok,0.04060667551241775,0.9659735681290608,0.006934270687807822,0.06274787882832417,4.866223675404584
CoRoT-17,ok,0.05171412337880329,0.9635133308440125,0.0047955653758024784,0.02006686719997631,5.0521663835628745
CoRoT-18,ok,0.02219209966403164,1.0488267025651077,0.012584337766805181,0.43770860377800713,5.41687133446885
CoRoT-19,ok,0.007485812025605417,0.9363607672727159,0.0008019091687006749,0.02623547484491094,0.22395919180844392
CoRoT-2,ok,0.015010003542844116,4.743174097590693,0.014752944489909381,0.7243833482874716,4.358080022325506
CoRoT-20,ok,0.01217798797010425,0.9208427749689543,0.0007281526961335189,0.008292226964965378,0.23817132570028157
CoRoT-21,ok,0.06925349186270366,0.9310309765092717,0.0027739300813221976,0.0038006358649516937,0.3915285421866552
CoRoT-22,ok,0.01024358639324288,0.952157600427684,0.0005160446858977676,0.006019018883396568,0.2675507214089227
CoRoT-23,ok,0.03516083985638734,0.96548298846644,0.002491303116607897,0.011477087870615143,6.554917856721366
CoRoT-24,ok,0.024846807567404997,0.9508548241498745,0.002019543809313938,0.014275421979635473,2.7211279976795595
CoRoT-25,ok,0.043495768987184984,0.9697835716102132,0.0063358728875122835,0.047402884070780096,6.245296973685962
CoRoT-26,ok,0.05191137047371735,0.9606730958444174,0.004176786196855747,0.015140085082693504,3.3753904883573087
CoRoT-28,ok,0.007248107560745559,0.9838607011144886,0.0006131362284462747,0.01673798566866781,0.23108258943593615
CoRoT-29,ok,0.04477691543226138,1.00208791264679,0.004579591367806498,0.023703910154582845,13.0
CoRoT-3,ok,0.0070925792010582,0.996136258639395,0.0012807169130029056,0.05826126961200348,0.6424588357114726
CoRoT-30,ok,0.06687926532498388,0.9554090306862251,0.007456136748681275,0.027183385747080558,4.241761250992246
CoRoT-31,ok,0.037550525054682427,0.9525812839223045,0.003309335434276913,0.017410294303604603,6.683148058566263
CoRoT-32,ok,0.00811987863335702,0.9892780080538864,0.002319122330762536,0.13464406910814197,9.89497219812506
CoRoT-4,ok,0.008801565372922695,0.9454828873429053,0.0005232122998337469,0.008472094060369998,4.535214752109672
CoRoT-5,ok,0.012652547596210189,0.9477476041598429,0.0006701340487323634,0.006866228805822314,2.0931724977632133
CoRoT-6,ok,0.011882486764302369,0.9673885195953893,0.001436367716584257,0.031606351911022325,8.71535240805577
CoRoT-7,ok,0.0018089934115780347,0.9623377594128592,0.000242082828137894,0.03959037539900115,5.442246064759615
CoRoT-8,ok,0.013094802999383216,0.9651610817396978,0.0017908976461941948,0.038039321811544284,6.527799372532101
CoRoT-9,ok,0.00949886413798419,0.9972374568732045,0.001112855715076513,0.028371669344109677,1.08222321048564
DENIS-P_J082303.1-491201,ok,0.3125761825988676,0.9768459895453173,0.10175917263061737,0.20377935895897126,0.5336242074550663
DE_CVn,ok,0.014041340835910155,7.779976926139692,0.004499298601050087,0.08103893158866322,0.3635995133380888
DH_Tau,ok,0.06962051361322981,19.412041355742954,0.07203170637743761,0.4866467013525891,4.019795483898028
DMPP-1,ok,0.0002956620861132221,1.0716372315036735,5.416694679310089e-05,0.06214010919989275,6.046987573815841
DMPP-2,ok,0.0008560297369386072,1.0310628164663502,5.97874186496756e-05,0.043202720026046665,4.282815101443376
DMPP-3_A,ok,0.0004383343878392675,1.0453860420805496,5.1862128128414724e-05,0.027634410878734045,6.134125005125111
DMPP-4,ok,0.00013287144194795285,1.3896224631508294,1.4497178469750084e-05,0.02138477131372246,6.294373244718247
DMPP-6,ok,0.00026763963601755515,1.116431258607939,3.470894532925449e-05,0.029203458805272683,2.258104236350982
DMPP-7,ok,0.000437013903428291,1.0323930848999705,5.807253322340439e-05,0.02999604540259635,5.229973176537517
DMPP-8,ok,0.0003958554410438295,1.0690326252900066,1.9891169944421874e-05,0.0051104731032431605,0.4556091705885003
DMPP-9,ok,0.0005627030675032571,1.0430368637846736,0.00010153372585307695,0.059716014667025905,4.367515971237693
DP_Leo,ok,1.601939988912669,0.7833042724001682,0.06044037708378166,0.002704295701691992,0.5629512049389445
DS_Tuc_A,ok,0.01321566321489983,33.78788166157938,0.015597877045240223,0.6206669480396342,2.8607117933977966
EPIC_201170410,ok,0.052360017194614805,0.8890445713958083,0.002737398453654022,0.0064271163817351444,5.476659929782955
EPIC_201238110,ok,0.016760448826706333,0.9087547143215994,0.0006510942416687483,0.003542571232579003,0.5459664890025433
EPIC_201427007,ok,0.011735061282822238,0.9331833835271394,0.001030288099941916,0.017289342570935843,7.358834006272161
EPIC_201497682,ok,0.007580892860574595,0.9433193449111673,0.00033330947043640495,0.00456793962061431,0.41390103307699805
EPIC_201595106,ok,0.0020490649925680505,0.968218028401512,8.962359779302628e-05,0.004612581724865001,0.4330207122856278
EPIC_201757695,ok,0.0173066586106501,0.9214480271713714,0.0008240241892121094,0.005322835934559466,4.4660697560497855
EPIC_201841433,ok,0.019984702969685256,0.9007515543985635,0.0007972124921929506,0.0036232670864528088,1.62960490472132
EPIC_206024342,ok,0.005156105998746626,0.9681267301164121,0.00048389149005729956,0.019954131181802368,2.605059280272041
EPIC_206032309,ok,0.027129656059648746,0.9268810376081366,0.0018743479124459722,0.010458271161311197,1.43810785388562
EPIC_206042996,ok,0.03607111398264341,0.9294988526603638,0.002176037216601353,0.008287681400057584,0.2349985686171676
EPIC_206317286,ok,0.006742762726400984,0.9782123181888442,0.0006868724081007815,0.02084157696249081,4.986376833219706
EPIC_211822797,ok,0.010353065893600905,0.9172749235076113,0.0006202310496999795,0.008223501853862366,3.5395643542165085
EPIC_211945201,ok,0.0009382573568849616,1.031890485303776,7.073052135528052e-05,0.012065628891308737,5.232392316827174
EPIC_212297394,ok,0.02462322814049216,1.0196096267604762,0.0010261866912744824,0.0225360784231748,3.589229424136754
EPIC_212424622,ok,0.005167704247181849,0.9386833968457616,0.00039611455096549283,0.013007888348325449,1.3648907920479287
EPIC_212499991,ok,0.009091215619681715,1.4186267289703143,0.004629755526865795,0.2706974908801165,6.2486615528484295
EPIC_212587672,ok,0.007235611331348024,1.05932415059688,0.0006138328575091713,0.07800896199525227,3.5038592760261453
EPIC_212624936,ok,0.008476202642708555,0.9849085089535428,0.002025060031665293,0.07998375527674303,6.984897057337575
EPIC_212737443,ok,0.016594842667386825,1.0200374123992886,0.005762247425872285,0.15763791238539915,5.38046894339738
EPIC_220492298,ok,0.008701062796021281,0.9598772093835165,0.0005928160103900887,0.011472947278771961,1.9818295320926986
EPIC_220674823,ok,0.00525753842704377,1.005042272110303,0.00020128111174806432,0.017180809221352327,3.837021281278574
EPIC_228836835,ok,0.018179673827146442,0.9134849946046459,0.00070410455443296,0.0034507350568605782,0.6650318141754616
EPIC_229004835,ok,0.0008995018114593536,1.048416266453576,5.510365192977102e-05,0.008759888199788304,9.719972563554201
EPIC_246851721,ok,0.0038476987261156117,1.0480892463880496,0.00045157287455950334,0.055079815705334455,5.407473052011084
EPIC_248847494,ok,0.0026220215540458617,0.9800787080633226,0.0003124755793361854,0.029291945994969086,5.697982756673809
EPIC_249893012,ok,0.0017471838728129467,0.9714636273407904,0.00013653684438002403,0.013921413922392552,1.9268144803398473
FU_Tau,ok,0.025056620013541826,2.5509665676438704,0.025657714526027966,0.6452301841470757,3.9202523132001024
GJ_1002,ok,0.002839296311853339,1.0227149414703656,0.00010116151539088062,0.01482953884894153,5.046647353483027
GJ_1061,ok,0.0008478463906640409,1.0187982716689743,9.207246976362185e-05,0.025940042749158804,1.7171281161110057
GJ_1132,ok,0.0018744552377120268,0.981810480170099,0.00011589468051245693,0.009214584614000331,3.8954241211911635
GJ_1148,ok,0.0008241061955659517,0.9569684216228241,9.773018696211793e-05,0.024660334555313898,6.195461373333086
GJ_1151,ok,0.001353324181440022,0.9717471582538436,0.0001886026245097677,0.040283575938867215,5.331903535003102
GJ_1252,ok,0.001245241626275235,1.0157187588843086,0.00015103421650681855,0.030877495326858205,7.036568318564743
GJ_1265,ok,0.0074307095636025715,1.0299642852124744,0.0004831784242196411,0.03614041781382335,2.7272083534180207
GJ_1289,ok,0.001068065869756435,1.0418349060933614,0.0001952235310377062,0.05376924328466808,5.217538436291007
GJ_143,ok,0.0005045516044887533,2.166499965158462,0.0002723742452106898,0.2471761955085164,8.335297042170227
GJ_15_A,ok,0.0004879684381116489,2.9637949171676423,0.0001000633944733679,0.06855633303291549,10.593709792789344
GJ_160.2,ok,0.00047456528958935497,1.0601170152061452,4.945769820697909e-05,0.024616960883611004,6.396074110378264
GJ_163,ok,0.0007771615429064882,0.9920949845760948,8.732966010443185e-05,0.02690551107089237,5.628335277253692
