host,st_rad,st_teff,crowd_flux_ratio_max,crowd_nearest_arcsec,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period,st_mass
TIC_276977013,38.342,4006.0,0.0193250221334765,13.19829107835194,0.0249288067061529,38.008127384538994,0.0044195673916895,0.0357646169036117,7.13780155889623,
TIC_277715787,2.44218,7794.0,7.451436417414726e-06,14.770299858986885,0.0113934670050859,33.18093215323783,0.0031300186732501,0.0504432926641985,7.274808257352902,1.85
TIC_277748932,2.18056,8634.0,9.69259351921685e-05,37.16812658108205,0.0217736961097988,22.664171960342085,0.0057081205738991,0.0480011350406442,7.274801799643228,2.16
TIC_277800037,3.08791,8264.0,0.0531471523774918,5.783353195093332,0.0227396698174421,72.74537835252683,0.0147152871944315,0.2114717834416213,1.7902139913999104,2.03
TIC_293901590,16.3273,4605.0,0.0006948963011692,7.914597311155552,0.007671332644369,9.768357769970311,0.0025841115184933,0.0330892980785914,7.0299063776998505,
TIC_294292672,10.5376,4861.0,0.0003270092217072,11.985567503217734,0.0048411180089034,19.52783972275675,0.0021208718717318,0.0406137897040441,6.903105764231575,
TIC_294769703,0.550273,3798.0,1.4303423580695904,4.726970271570205,0.0159730708691796,2.641842931041736,0.0054429845950785,0.041952709307747,6.888511071388349,0.5455
TIC_294769705,0.601578,3971.0,0.9202800342916068,5.831646873560873,0.0168166458182517,3.8249140340290704,0.0081915069292874,0.04037507862623,7.015358069350712,0.589375
TIC_295253681,2.32032,7508.0,0.000283269620028,19.31103867960891,0.0192535910164326,39.90617339741166,0.0044792237355733,0.0434061278277631,7.274483869456638,1.73
TIC_295376786,1.00367,4702.0,0.0408846232403913,10.49080960128078,0.012453474012958,6.4478740373785195,0.0114107825611063,0.3746406181674437,3.8644305437058977,0.75
TIC_299878316,1.69513,8245.0,0.0056608285295417,6.0621857790316565,0.0089112053515478,9.856587692283236,0.0019015068041925,0.0322938458590502,7.022361256390143,2.02
TIC_300316029,1.92921,8535.0,0.0816808032580865,4.5923857029595085,0.0034267421347091,4.365355443054307,0.0007572377525939,0.049925486608012,6.89323540504849,2.13
TIC_300441785,1.23694,5768.0,0.0032794423443213,6.680839435575295,0.0027231571610014,2.1205086606207355,0.0016094892851461,0.0517042161828828,7.298026880350985,1.03
TIC_300872489,60.3034,3748.0,0.0113909514281506,8.68178877692399,0.0075652051431773,8.67402975308376,0.0028093920027497,0.0219696489794561,6.903097601209536,
TIC_301153917,0.957836,5683.0,0.3659316719753481,6.594752442006866,0.0066679573659784,2.7833925706306473,0.0037089093264883,0.1748010684505323,4.1300291407788245,1.01
TIC_301687690,0.56025,3811.0,5.103169576237591,7.816557329736011,0.0570027398507135,2.7135436295301267,0.0280674034347493,0.0536340296009953,6.887862983708348,0.554381
TIC_303555469,0.811418,4983.0,3.0380855564655422,4.740762658896139,0.0263163680077191,2.0427649655598725,0.0083137592509768,0.0799434175023838,3.3082559925847703,0.82
TIC_304341456,0.258841,3217.0,0.5448036392863558,20.920544368641767,0.0632039430881061,1.357061178333758,0.0133836097151292,0.0442209650783529,6.875694186928339,0.230491
TIC_304907445,2.49647,9552.0,0.0174405429082705,7.817005757461103,0.0087496014925877,15.15271126536106,0.0031860727021941,0.050196043659999,7.290566646832755,2.43
TIC_306518087,2.23147,7815.0,0.1284813230053433,4.995917760666799,0.0081977073503769,17.19609074580998,0.002238258662813,0.0390083439473264,7.022371670824994,1.86
TIC_310051715,0.699931,4884.0,0.0086928062511787,10.427691526823908,0.0200730807417108,4.8398279623690765,0.0066200638087082,0.0571830510016898,6.886988168298479,0.8
TIC_310515887,1.28255,6496.19,0.0004295759903537,12.472298054401776,0.0273382189163481,53.23228013769795,0.0049382151145925,0.03408559411607,7.161442919795508,1.33
TIC_310952994,1.72324,7355.0,0.003941667622461,11.036774287808408,0.0080759348234555,9.62471215259402,0.0033662350263173,0.0466963970812805,7.017106927174561,1.67
TIC_311175008,3.29641,9075.0,0.0035540210848116,16.920106168011827,0.006160718819097,7.163177453393416,0.0042316440014993,0.0530688987966302,6.890264796554071,2.29
TIC_311697391,2.30827,9143.0,0.0019677050490279,9.048517750666312,0.0061580847772346,9.138894210888266,0.004008925606688,0.0512474617099988,6.890263845584596,2.31
TIC_311893428,0.627686,4060.0,0.1682209185273263,7.722957889658723,0.0222069680432147,1.9727150305687744,0.0057791577952278,0.0522201120568214,7.013571096403073,0.64
TIC_324608514,2.10702,7362.0,0.0023713737056616,10.100127416222026,0.023435705818061,40.5796331338883,0.0057296372497889,0.0362225243578724,7.006481248768408,1.67
TIC_325280344,4.75786,4828.0,0.0004233309293491,29.276274038926815,0.0153243108570683,25.45365804212228,0.0041859420784867,0.0501607606692585,7.274801573181713,
TIC_327710325,0.629669,4046.0,0.1626896781543085,12.41820345002975,0.0089069378024965,10.422525884966172,0.0038389309645033,0.0504083626290257,7.006499745695963,0.63
TIC_331634064,0.845916,4944.0,0.3453663334761762,9.604366453187485,0.0052110359048666,2.8411301036044727,0.0027342493422844,0.0602691461751228,7.004394719208847,0.81
TIC_331753560,1.99881,5980.8,0.0035819539647589,6.29271869633446,0.0040859635768763,8.378660767415495,0.0030010700442288,0.0501716918116065,6.8796211106035985,1.1
TIC_331774813,0.858712,5058.9,0.0204136187727926,19.500685732534365,0.0091263726143571,2.0913094789439897,0.0024232581841584,0.0588226872229986,7.005321884343736,0.84
TIC_339276534,46.3263,3988.0,0.0001000184223774,7.285160192067935,0.0075562072134397,49.73240249549555,0.0020988523881513,0.045687034600489,6.898524676845211,
TIC_339603121,2.36634,8034.0,0.0291688965357922,3.287499025065807,0.0121816889127635,13.114765665272706,0.0036246362363359,0.0561376188921157,6.877312936028442,1.94
TIC_340389150,1.80784,7322.0,0.0180418056416553,6.1570737730434955,0.0094697441314532,10.96410037441359,0.0037719377085897,0.0407299044226585,6.8966684420303705,
TIC_341029467,2.14291,7118.0,0.1205257936641207,4.624391007766719,0.0054465303672519,20.82990288592128,0.0021589507456861,0.0647477003590214,13.0,1.58
TIC_341293863,24.3802,4364.0,0.0021464461629467,16.687394249826447,0.0068549700122792,12.46058509373249,0.0028430903625541,0.0575233673558287,7.274824517362876,
TIC_341311287,19.2143,4468.0,0.0012589254117941,14.630312482953684,0.0057238294576823,7.169625802162904,0.0019613018474449,0.0435602334419627,7.292500224311801,
TIC_343681524,1.80506,8497.0,0.0061984057226555,6.504559158239737,0.0060881142072122,5.293534238105308,0.0028402846827401,0.0446550388692786,6.894992613083103,2.11
TIC_344002749,0.721669,4665.0,0.9243575652875746,3.8906773228384655,0.0149238487891605,4.067346714488283,0.0041972171555036,0.0612403078672527,9.936148982457995,0.74
TIC_346704136,0.839147,6162.0,0.0611448663420376,2.932064883379943,0.0142592658064235,10.091030793022163,0.0131633346623461,0.445689669107672,2.007811661015785,1.17
TIC_349964152,2.64946,7783.0,0.0026140867752778,9.925586598234576,0.0067936805010093,11.266946913596126,0.0014860298029905,0.0441826091036311,7.290549824692779,1.84
TIC_350172725,0.587479,3273.0,2.184539993644017,4.033266374722312,0.0742357490618649,2.8339174447098907,0.0410041286763284,0.0525323609090703,0.5222427098300872,0.577751
TIC_350462060,0.744484,5027.0,1.886253245351066,5.791946717946797,0.1131677295277606,19.892409165503924,0.0280987744616161,0.0316041107773269,6.895503114653951,0.84
TIC_350463976,2.85435,8263.0,0.0186466148299848,5.932067427475955,0.004031492845757,5.245438870879314,0.0014952856204757,0.0404262477444581,6.895531514923768,2.03
TIC_350572362,4.24823,7836.0,0.0030024791484028,5.406303061061707,0.0158053651977148,19.933658335548127,0.0036140755668163,0.0506412312238741,6.895527206710013,1.86
TIC_350852989,0.852167,5425.0,0.1064339058667798,1.8242642494643804,0.0348070105056334,3.042146549685877,0.006889983639235,0.0347793765796247,6.893125463544197,0.94
TIC_350856279,2.39416,6073.0,0.0058076441752131,6.603899354883183,0.008336271054893,13.832762637250044,0.0033146331989286,0.0481713709583542,6.895529257180584,1.14
TIC_351181774,2.36165,7571.49,0.0110153930954141,7.025600614371853,0.0136320561974067,11.74783476921061,0.003451437446761,0.0740472377330154,6.219943288765914,1.76
TIC_352435054,1.9891,7737.0,0.0034106723465996,7.445172232694447,0.0129448838670146,15.758286544928584,0.0060086337437931,0.0552801086750581,6.879632762552884,1.82
TIC_360453362,0.86493,5835.0,0.0468727031482288,8.173637421230005,0.019640049888063,12.49766322210709,0.0059482410486535,0.0471536021508581,7.288540816474053,1.05
TIC_360550353,2.82237,9211.0,0.0124451461177138,8.400745326804541,0.0111638665539426,13.118646448430052,0.0022939039235407,0.0345606232768858,7.022370142498772,2.33
TIC_360696800,0.507597,3664.0,0.1402296984083331,6.174911701278541,0.1021555112077724,7.643497739856485,0.0380837397712105,0.0485225909421971,7.289066793058928,0.505513
TIC_361336345,3.79989,7372.27,0.1766688572929329,6.2715270639235685,0.0168759473554652,17.216507580570003,0.0041118872264442,0.048395683383292,6.8955403301110705,1.68
TIC_361861044,1.57036,8266.0,0.0001936957091035,8.781267035207172,0.0155224419988719,55.365068078686186,0.0027153350519321,0.0409165775952632,6.903085161957391,2.03
TIC_361966174,0.603275,3447.0,0.8167328052452786,4.239686330840629,0.2081941669534741,6.268250355768525,0.0371687852552702,0.0352653374522661,7.1499370479415125,0.43
TIC_362172901,0.936492,5658.0,0.0324698288914697,5.010941225484106,0.0471165741373009,13.963853734942106,0.0160859736469774,0.0814350053106786,4.221322220512819,1.0
TIC_362374242,0.705067,4598.0,0.242929356634136,5.292812574128175,0.0705237260166098,4.325968318170511,0.0296425184761498,0.1072757503931708,0.289182791472414,0.73
TIC_362553116,3.83814,7682.22,0.0565509623650249,8.798576740056015,0.0167291326954109,18.881820253738905,0.0036564265902269,0.0377431708872908,7.153948229671746,1.8
TIC_363275408,0.804078,5147.0,1.6100523606894366,7.033501064105576,0.0288963730656987,3.3458602027993396,0.0105294441565085,0.0720177558636674,6.891308519191278,0.87
TIC_363592740,1.90396,7189.52,0.0080508178346592,5.137412167683208,0.0057978359610218,10.9164654236049,0.0016367166436069,0.0349071628630038,7.022352971872005,1.61
TIC_363600442,1.18301,6049.16,0.0408018636304415,8.313670993409287,0.0078902965131485,8.873200746873279,0.0046097359823719,0.0486669728408594,6.89551661178155,1.13
TIC_363873149,0.679334,4522.0,5.410034068634678,4.163659086988962,0.0317293564646298,1.256566851644738,0.0067853321337196,0.065539411656623,7.152403454839673,0.71
TIC_364420518,40.5861,4017.0,0.4596634792873977,8.291410392096758,0.0183616685414023,27.07800691790916,0.0029536979256699,0.0333043004935421,6.903095850513881,
TIC_364486973,40.0053,3998.0,0.0031191768576696,7.950087608068891,0.0070120441346823,8.73284039618673,0.0022067327333461,0.045349498293564,6.903096039085364,
TIC_371836310,12.5713,4629.75,0.000490501116187,18.42615485258819,0.0023091415456651,2.8855796820946744,0.0005158530387679,0.0370405509657064,6.897513655791628,
TIC_371837199,2.59819,9263.0,1.9450017660557995e-05,25.799464141117124,0.0106176583217715,23.015929019203053,0.0037568345208326,0.0550476106548507,6.8796276875262645,2.35
TIC_371928668,20.5992,4417.0,3.1183151163129576e-05,17.98847474774359,0.0017131971280392,4.383376866403125,0.0006136367062765,0.0726252388734587,1.4770329164040934,
TIC_371930761,2.69328,7817.0,0.000258892816362,19.738722003370768,0.0099407643692603,19.719210877484652,0.0037804440573684,0.0402841883005201,7.006494315972683,1.86
TIC_372301002,8.76143,4977.0,0.0025824980365404,23.84110691455941,0.0052086682541088,11.34564900420138,0.0031075458875311,0.0516411648805938,6.879617532537682,
TIC_372442214,84.7803,3781.0,1.7153786482401408e-05,32.980344911895294,0.0161242989449153,192.32342649683127,0.0038130066258357,0.0261300970742883,7.02525604991734,
TIC_374288012,3.08962,7353.0,0.0070003539620996,11.916556465958598,0.0179449054499886,40.91304294298085,0.0045753237606937,0.0517182119668077,6.879631563858204,1.67
TIC_381242179,3.53416,9376.0,0.1094460267815078,5.166966442189165,0.0156745383139025,25.554672184020284,0.0035334280978219,0.0456033831512416,7.290516736968299,2.38
TIC_381293626,0.848274,5361.0,2.343365328577869,9.86376054138876,0.0245967928352066,3.085251656740562,0.0078816715190096,0.0471280838202028,7.020280427569248,0.93
TIC_382150493,0.277564,3210.0,2.1125159662408515,15.0665185380789,0.0478609099828661,1.417505757743702,0.0111895735047275,0.0399899519573875,6.87215628180974,0.251241
TIC_392762103,0.976033,5696.13,0.0223583628518598,12.883309930578662,0.0206678429972921,2.556463654543334,0.0113333891163799,0.0559841267511619,7.005854929356938,1.01
TIC_39276230,0.928401,5498.0,0.3185664236573115,4.8833676775185735,0.0177872104678196,11.47251565079192,0.0046005105395762,0.0410618810309485,6.897621754162724,0.96
TIC_396211656,79.3964,3824.0,0.0002848918333351,7.4600889036243405,0.0124596791250568,48.38423288739866,0.0026160504337321,0.0364089496530912,7.293499508685029,
TIC_396212145,10.5176,4936.0,0.0005580588502538,11.327438558380909,0.0153984341315725,60.06730883551037,0.0030229882693754,0.0271721105740214,7.156901516653416,
TIC_402593209,0.686265,4463.0,1.9417798944097495,6.960605454079229,0.0350609633335937,2.7857321314547634,0.0114690289179289,0.0268484989400159,7.577985352322929,0.7
TIC_402705956,3.71818,9030.0,0.0081125988199075,6.080737464768281,0.0060301219484991,7.598882999410289,0.0016527323842077,0.0496193906002337,6.895535163327864,2.28
TIC_402885783,4.71984,8345.0,0.0040768055729913,4.298200868677286,0.0153887249680406,22.335142776021527,0.0037854149026922,0.0379442419820676,0.2453154885098466,2.06
TIC_402948120,60.8715,3967.0,0.0243601523457553,3.2002089335586703,0.0098668819949048,10.994577230136477,0.002651318609647,0.0405508499337476,6.780789118879678,
