host,injected_period,injected_depth_ppm,repeat,injected_duration_days,duty_cycle_pct,true_secondary_depth,fold_period,fitted_duration_days,old_depth,new_depth,new_half_phase,new_n_in_window,new_truedur_depth,new_truedur_half_phase,new_truedur_n_in_window,fitted_over_true_duration,old_n_in_window,status
TIC_137284119,5.0,5000,2,0.17815048126603258,3.563009625320652,0.0015110727545659675,4.996974370683379,0.14559504212237626,0.0004293212339283592,0.003269485772706804,0.01456831987938182,628,0.0028957668886488985,0.01781504812660326,769,0.8172587639825615,2151,ok
TIC_131581522,5.0,5000,7,0.06088687334408708,1.2177374668817416,0.0015769616611770454,3.057240658512166,0.10929022316792276,-1.6350964231914844e-05,0.003458788726497408,0.017873997400831024,550,0.004920103737924397,0.006088687334408708,187,1.7949718414722358,1540,ok
TIC_187532854,5.0,5000,8,0.08287379982945185,1.6574759965890369,0.0014376601634757957,1.6496382177400082,0.02066082423913925,0.00021334245378801242,0.0031306915046982464,0.006262228898723146,133,0.0028649442324025776,0.008287379982945185,177,0.2493046569803448,1069,ok
TIC_80478272,5.0,5000,6,0.08343756717523043,1.6687513435046086,0.0014273633686232579,5.084598738136328,0.07473938290054474,-0.00022118628340406232,0.0038967252158191856,0.007349585163915922,263,0.0036345348109658726,0.008343756717523044,300,0.895752182510088,1782,ok
TIC_285233023,5.0,10000,1,0.0817462651378947,1.6349253027578938,0.0032557663266731263,5.006034296793346,0.07422511416802431,0.0007259392949939825,0.007314805307612748,0.007413564287361133,214,0.006782855968894053,0.00817462651378947,235,0.9079939498497792,1442,ok
TIC_394509844,5.0,5000,10,0.07949119575478035,1.5898239150956068,0.0016131828383446623,4.9975147353770435,0.05509608601479594,0.00012320555689249169,0.004353569503452892,0.005512348530438015,156,0.003757429440182647,0.007949119575478034,225,0.6931092870304776,1432,ok
TIC_56231866,5.0,5000,9,0.311763342215557,6.23526684431114,0.001670647448896001,5.0013346438491695,0.2735376550245351,0.0021500801605287556,0.004135932900025563,0.027346465943939788,985,0.0039946491153147745,0.0311763342215557,1124,0.8773887689316847,1801,ok
TIC_65347776,5.0,10000,2,0.045101387662286725,0.9020277532457346,0.0030184288907063594,4.999128633947457,0.03270738800520045,0.00013067010574707716,0.005966068351136666,0.003271308902024966,71,0.005131687569283949,0.004510138766228673,96,0.7251969329659894,1064,ok
TIC_232967666,5.0,10000,0,0.06426947741875857,1.2853895483751716,0.0031211753482911497,2.500034433937619,0.04399369498450447,0.0004170060733799108,0.005181008590870562,0.008798617808478194,308,0.006017586881070125,0.006426947741875857,228,0.6845192578407968,1782,ok
TIC_69997672,5.0,5000,11,0.1240288160712885,2.48057632142577,0.0016131127897802688,2.499234369984516,0.08847785089791364,0.000577536093937181,0.0021733473556886374,0.01770099114363208,628,0.0022585827264388625,0.01240288160712885,444,0.7133652783322458,1790,ok
TIC_365639282,5.0,10000,4,0.027511846473994902,0.5502369294798981,0.003279618278604235,7.147825096215239,0.042633294351091956,1.0407728648909043e-05,0.008345751164146153,0.0029822564050753153,93,0.009092539889971607,0.00275118464739949,84,1.5496340600544694,1544,ok
TIC_101395259,5.0,10000,5,0.08391958261819768,1.6783916523639537,0.0029859396279302564,5.002021947906518,0.05501706366766642,0.000262802736733847,0.006237225968497295,0.005499482433368026,160,0.00508333228222746,0.008391958261819769,240,0.6555926751682408,1439,ok
TIC_256349966,5.0,10000,6,0.09358537939924495,1.8717075879848992,0.0022231455820627133,5.003489582656825,0.03714126397249368,0.0004136867578979908,0.0056108802298144855,0.0037115360548799097,80,0.0037910619287880865,0.009358537939924496,203,0.3968703681164254,1205,ok
TIC_128501004,5.0,10000,3,0.06201440803564425,1.240288160712885,0.0030837938051845315,2.500688022533058,0.049217588758728635,0.0003314512750050014,0.0037232446493443705,0.009840809472281543,386,0.004522875269243887,0.006201440803564425,244,0.7936476428258359,1990,ok
TIC_97158538,5.0,10000,9,0.12639720269090432,2.5279440538180866,0.0031293610612879164,4.998921776362075,0.09427645840327604,0.0002307155142236006,0.007157612615105835,0.009429679300951671,333,0.005996362582765036,0.012639720269090432,448,0.7458745636469712,1793,ok
