host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
EPIC_249893012,1,Success,22.540069818496704,0.4979087410884926,5,0.6278765809014872,-0.1876572010474079
FU_Tau,1,Success,11.690057277679443,67.42164661551222,3,0.5604724069786184,
EPIC_212587672,1,Success,154.83104991912842,1.4159554694861551,8,-0.042131621673374475,-0.17164036841005942
EPIC_248847494,1,Success,119.5414206981659,2.4047200132949267,30,,0.6565944263543724
EPIC_246851721,1,Success,152.38462209701538,0.18059003819129804,5,0.052368456186217785,0.44664716264790977
EPIC_228836835,1,Success,170.28692078590393,3.1407083445176607,16,,0.7860121905985231
EPIC_220674823,1,Success,188.96541285514832,0.5007058440680324,23,,-0.02942948590082319
GJ_1061,1,Success,138.56105709075928,0.9290252724916706,12,0.2002852441082339,0.10330627520911324
GJ_1148,1,Success,91.10365009307861,0.13285082293679756,6,0.22848783896802,0.6521374839560758
GJ_1252,1,Success,103.00609397888184,0.6190477273680567,45,0.6124667782830256,0.6311226259173482
EPIC_212297394,1,Success,374.5866687297821,0.5560804661046226,31,,0.02584160628406384
GJ_1132,1,Success,160.24023294448853,0.6853205186483984,14,0.513098340765784,0.37268555753502003
GJ_1151,1,Success,145.89879298210144,0.013886204654243884,2,0.20176643192314445,
GJ_143,1,Success,78.9133288860321,98.99077025017476,2,0.5184195420145129,
GJ_160.2,1,Success,57.37207913398743,0.2246038156888181,3,0.37647528123849694,
GJ_15_A,1,Success,70.63808989524841,0.25372116207457013,5,0.20994203422273688,0.07024331730040634
GJ_163,1,Success,53.922810792922974,0.2523706299875878,14,0.3155828954213769,0.6468921225748976
GJ_1289,1,Success,112.91510009765625,3.8064915813871174,4,0.22091312989770032,0.23029923134796018
GJ_2126,1,Success,3.506627082824707,5.556266311334924,2,-0.1648473715650414,
GJ_2030,1,Success,20.689385175704956,2.314412814395147,8,,-0.42990785231038886
GJ_2056,1,Success,41.618243932724,1.15148489605715,20,0.17586530645032963,0.06167505963687864
GJ_229,1,Success,63.2650420665741,5.879896623559298,4,0.8153518865870703,
GJ_180,1,Success,90.70709109306335,1.0154043224028533,20,0.15732854035251626,0.10888100951067128
GJ_179,1,Success,104.04537320137024,0.302739196182733,2,0.3726457727162406,
GJ_251,1,Success,76.5461151599884,1.6418971128511621,70,,0.6938484906914373
GJ_238,1,Success,117.92606496810913,,0,,-0.03389423319731437
GJ_3021,1,Success,50.98890805244446,91.49110605338159,3,0.5922400927484641,
GJ_27.1,1,Success,96.51743817329407,0.9433019602884231,4,0.3436057272596615,
GJ_273,1,Success,94.34832978248596,8.885415451425894,3,0.12633184387948918,
GJ_3082,1,Success,90.5818932056427,1.516710063088164,7,0.2963421726111884,0.2146595128587221
GJ_3222,1,Success,25.981031894683838,8.160458780118114,4,0.48838627198666595,0.24811047778562312
GJ_3138,1,Success,64.13916993141174,0.11944336637355661,4,0.10598168173270281,
GJ_3090,1,Success,90.56899785995483,1.663920789474134,8,0.27477334139188697,0.6025382189242007
GJ_317,1,Success,73.791344165802,11.751519747319891,4,-0.16921402056309223,
GJ_328,1,Success,36.421594858169556,13.68918321426787,41,,0.31259456953564174
