host,bucket,cadence_min,period,depth_ppm,repeat,duration_h,n_points,window_old_pts,window_new_pts,protected_old_h,protected_new_h,transit_pts,old_status,old_recovered,old_SDE,old_snr,old_period,old_scatter,new_status,new_recovered,new_SDE,new_snr,new_period,new_scatter,status
HIP_34222,10-min,10.000945762731137,6.0,700,2,2.2827664928274336,3133,401,79,66.83965418091977,13.16791192092933,13.695303706180914,ok,True,12.958106168916968,16.120837775831387,5.992735121973214,0.0003025692427320913,ok,True,14.817406936390269,9.69785174384582,5.992735121973214,0.0002858047082800772,ok
HIP_114933,10-min,3.3333190499979537,2.0,2500,2,7.28755868710282,7696,401,241,22.277682317486324,13.38883151749178,131.17661845974138,ok,True,25.762105159491497,19.636430726366378,2.000049716203616,0.00023632905150365718,ok,True,28.452077812716503,20.096344455666138,2.000049716203616,0.00022456373437237942,ok
TIC_18942729,10-min,10.000993189241854,6.0,2500,1,2.9947149334879226,3024,401,79,66.83997114809972,13.167974365835107,17.966505186960994,ok,True,12.65520607705698,12.027976752814608,5.99304854073793,0.0010533474289795063,ok,True,9.049804395023282,7.434299140291686,5.99304854073793,0.001016680252885504,ok
CT_Cha,10-min,3.333396521047689,6.0,2500,0,5.2854135561519655,11273,401,241,22.27820008233539,13.389142692874884,95.1356405896306,ok,False,3.6213601956105874,13.215591118943697,4.223567079400109,0.004235248491121365,ok,False,5.073064652928685,10.976727239349469,2.9695044952925977,0.003279549562690818,ok
TIC_383666033,30-min,30.00063482591941,2.0,250,0,2.2472200955213006,816,401,27,200.50424275322806,13.500285671663734,4.494345086817539,ok,True,6.281753405103789,5.034982989670118,3.9617110717088253,0.0005875576998986701,ok,False,7.067733814152152,5.0942310809643905,1.2650717299576801,0.0005135442581444428,ok
TIC_185405474,30-min,30.000457938294858,2.0,250,2,4.996246620139591,1220,401,27,200.50306055427063,13.500206072232686,9.992340711096954,ok,False,4.367529914743475,14.806071719320592,2.245934652151062,0.00259997726913951,ok,False,5.971662045969617,12.164449387564321,3.1263591510508277,0.00038259182214400543,ok
TIC_373729723,30-min,29.99949080254737,2.0,250,1,1.810866678915223,821,401,27,200.4965968636916,13.499770861146317,3.62179483145385,ok,False,4.003618444966335,4.3311165537544305,4.9529498455573355,0.0010927106386336859,ok,False,5.7262213581366135,4.17559273052203,1.2749032975426582,0.0008055071374323564,ok
TIC_348135793,30-min,30.000052724517445,2.0,700,0,4.603528545194121,971,401,27,200.50035237552493,13.50002372603285,9.20704090916194,ok,True,7.614380159898433,29.078919207282965,1.982504650819473,0.0005571510798263445,ok,False,5.919409552232843,6.958716236758125,1.9655872172702142,0.00038048400454308,ok
TIC_445839811,30-min,29.99944748415146,2.0,700,1,1.8865734730677652,980,401,27,200.49630735241226,13.499751367868157,3.7732164381982662,ok,True,9.43322842259692,6.366088631853681,4.000056133912373,0.0007239900935368675,ok,True,8.811442629697613,5.153606412265186,4.000056133912373,0.0006800317093908771,ok
HD_125136,10-min,3.3333723543182714,2.0,250,2,7.28755868710282,11656,401,241,22.278038568027114,13.38904562317839,131.17452080015065,ok,False,4.135079528752829,12.567291954939964,5.62399768061016,0.00025240974287728723,ok,False,6.166144175259104,7.98786810984407,1.606725954057428,0.00023813317782866688,ok
TIC_387603144,30-min,30.000567727802263,2.0,2500,0,2.530849816315251,898,401,27,200.50379431414513,13.500255477511018,5.061603845522931,ok,True,16.26445934546745,13.968267317734886,2.0021724208588365,0.0006114717004806504,ok,True,17.017589514935207,9.136490826075615,2.0021724208588365,0.0005659235011220992,ok
TIC_156678143,30-min,29.999807701678947,2.0,2500,1,4.839966643982125,1088,401,27,200.49871480622096,13.499913465755526,9.679995336192615,ok,True,8.863801408096135,27.93986377640407,2.006864721865504,0.0006514645965306117,ok,True,8.66800224273161,11.997094007916134,2.006864721865504,0.0005649700487684569,ok
TIC_78672342,30-min,30.00046133001888,2.0,700,2,7.28755868710282,973,401,27,200.50308322229284,13.500207598508496,14.574893246346424,ok,False,9.18523651284374,6.156328022724356,2.9776380321590987,0.0005170274388265418,ok,False,12.035243522904578,8.086352974914236,2.9776380321590987,0.00034389427862594423,ok
TIC_376838000,30-min,30.000283030403807,6.0,250,0,6.293305276022853,945,401,27,200.5018915865321,13.500127363681713,12.586491806717085,ok,False,6.433285075670968,6.946869872476399,9.95908356471853,0.0002814398732442732,ok,False,4.191763722520431,3.8847033775187896,2.5964861193590187,0.000264995171794298,ok
TIC_470852531,30-min,30.000318569509545,2.0,2500,2,3.119926928733456,951,401,27,200.50212910622213,13.500143356279295,6.239787597264428,ok,True,10.326248100373325,9.33842442011306,1.99652259511008,0.0004525783509736387,ok,True,11.40643153577089,7.231629512719102,1.99652259511008,0.0003949883742925865,ok
TIC_329145325,30-min,30.000320097733493,6.0,700,0,4.971711168058054,1015,401,27,200.50213931985218,13.500144043980072,9.943316241683029,ok,False,9.090093709174631,18.395189167166407,2.155950802064894,0.0015383421876360179,ok,False,9.74019887773491,9.258446295151867,2.155950802064894,0.0013212807675109354,ok
TIC_423703298,30-min,30.000129306790768,6.0,250,1,2.5976154390008737,822,401,27,200.50086420038497,13.500058188055846,5.195208485477194,ok,False,4.9411474247068625,2.472468118162505,3.6654444663936436,0.0008090755745660533,ok,False,4.750184961719512,4.567229982846937,1.4571631848636901,0.0007085179535542125,ok
TIC_449197624,30-min,30.000594312350582,6.0,700,2,6.041573064981938,1145,401,27,200.50397198754305,13.500267440557762,12.082906762606545,ok,False,9.683152809213226,10.247594702309655,3.4005157183013814,0.001116928327051407,ok,False,9.905953111860155,9.163180734776843,3.4005157183013814,0.0009860684565896555,ok
TIC_124702477,30-min,29.999428259470733,6.0,2500,0,6.167439170502395,1054,401,27,200.49617886746273,13.49974271676183,12.335113423814041,ok,True,8.176277019255947,10.014460672136664,6.022855932635871,0.0005133128894378419,ok,True,7.54777145292326,8.010895546929321,6.022855932635871,0.00048587627597826004,ok
TIC_139285736,30-min,29.99947587359202,6.0,700,1,2.7375877950699405,1181,401,27,200.49649708850666,13.499764143116408,5.475271247948278,ok,False,16.87686323307362,11.598370441776154,1.5510788730888105,0.001104748708830476,ok,False,18.244205155396443,11.651521846085828,1.5510788730888105,0.0009080403143543042,ok
TIC_141405814,10-min,3.3333022829174297,6.0,250,1,21.86267606130846,9588,401,241,22.277570257498155,13.388764169718343,393.5318349016958,ok,False,9.107368073986459,10.74215429885046,1.1362601234750145,0.000758463921792034,ok,False,10.927341169976096,7.760403457823566,1.1362601234750145,0.0007491632788739127,ok
TIC_403256331,30-min,30.000221172776943,6.0,250,2,14.537535187612791,859,401,27,200.50147817139256,13.500099527749624,29.074856023004052,ok,False,8.355594829571714,11.142630590860929,11.461299423556186,0.0006594520513286287,ok,False,6.130824308375702,4.558040226872923,0.7722991500663609,0.00028514118665503115,ok
TIC_9102327,30-min,30.00013368420696,6.0,2500,1,3.5557174809529113,1190,401,27,200.50089345611653,13.500060157893133,7.111403272495593,ok,True,12.608558304441829,16.78310241490049,5.99777389570278,0.0005466737678374006,ok,False,12.598942496988103,11.33579985623696,3.2617422628078208,0.0005270120525460388,ok
HD_13189,10-min,3.333280140941497,6.0,250,0,21.86267606130846,11273,401,241,22.277422275292338,13.38867523278168,393.53444901513626,ok,False,6.539456219805869,22.598698182202433,12.553294277913398,0.0001733004898116083,ok,False,5.651055400461707,12.525384914204507,6.318109501290956,0.00016743381020314314,ok
TIC_175476629,30-min,29.99971794197336,6.0,2500,2,2.643188215929598,1196,401,27,200.4981149121886,13.499873073888011,5.286426134489979,ok,True,14.16438282889719,8.22340033526532,5.9937502070553474,0.0013828635195917496,ok,True,9.846621175597337,5.95575029541552,5.9937502070553474,0.0013051612990816984,ok
TIC_173860688,10-min,3.3333200532069895,6.0,700,0,14.222869923811645,9397,401,241,22.277689022266713,13.388835547048075,256.0126785928248,ok,False,11.928996708321222,8.342990560410167,0.8445589897317405,0.0014130436380707916,ok,False,11.904491765289682,7.941757966376612,0.8445589897317405,0.001402226051325615,ok
TIC_129432342,10-min,3.333372032138868,6.0,2500,2,14.789267398653703,7780,401,241,22.278036414794766,13.389044329091119,266.2037226459381,ok,False,16.294640243434145,20.158846700887253,1.7921604690213917,0.0013593575812577963,ok,False,17.50700351170201,17.76806496331408,1.7921604690213917,0.0013380615158273164,ok
