host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
CoRoT-32,-0.0005674149803052142,-0.5219816890557779,0.0010870400096440573,50,ok
CoRoT-7,0.00014337727781510434,1.4905650972355557,9.618987998646682e-05,343,ok
BD+37_3172,1.2898538533701043e-05,0.6686215445856998,1.9291239772558344e-05,2105,ok
DENIS-P_J082303.1-491201,-0.04050998506998593,-1.1254288158682808,0.035995155356611366,68,ok
CoRoT-9,0.0012484188821337838,3.4418449600076726,0.0003627179308306208,769,ok
DMPP-1,2.521162961721668e-05,1.0418796425303571,2.4198216941821177e-05,142,ok
DE_CVn,0.018700972140888394,47.47249505151554,0.0003939327840383097,833,ok
DH_Tau,0.005777148698792756,4.776948700469233,0.001209380519038288,100,ok
CoRoT-5,0.0005952910398532296,0.7921312633448507,0.0007515055488904146,283,ok
DMPP-8,8.115791353180413e-06,0.2621866763464828,3.095424781408533e-05,159,ok
CoRoT-8,-9.515193213882611e-05,-0.05947256463825307,0.0015999298620733079,64,ok
DP_Leo,,,,0,no ephemeris
DMPP-9,-2.429770839595946e-05,-0.3985397183639969,6.096684289260154e-05,82,ok
DMPP-7,-7.163960868661334e-05,-2.5961729333345662,2.759431306241926e-05,238,ok
Barnard's_star,2.407004043081251e-06,0.29688898611769404,8.107421142686161e-06,4016,ok
DMPP-3_A,-1.944596000402754e-05,-0.6175285949379014,3.1489974979997524e-05,190,ok
DMPP-4,-1.4276925302869614e-05,-1.6776400139752852,8.510124450977682e-06,234,ok
DMPP-6,2.395366634355689e-05,1.5883298108862747,1.5081040587024522e-05,300,ok
DS_Tuc_A,2.118207908041736e-05,0.4116860846184071,5.1452016164333274e-05,122,ok
EPIC_201595106,0.00043014711925859483,2.3901418661224145,0.00017996719163638307,129,ok
EPIC_201427007,0.0005692296670474217,0.30779131188735837,0.0018494013478058838,40,ok
EPIC_201497682,-0.0006229329292806174,-1.2449825259538227,0.0005003547570303187,227,ok
EPIC_201757695,-0.0004993000883296572,-0.2696702718465878,0.0018515206919571135,87,ok
EPIC_201841433,0.00391499152454311,2.732644917435544,0.0014326748051177983,196,ok
EPIC_206032309,0.004221182337316942,2.3490056591041824,0.0017970081600087477,223,ok
EPIC_201170410,0.005536411671773878,1.447525114553827,0.003824743084668603,185,ok
EPIC_206317286,0.00010085394542413972,0.14444864091165965,0.0006981993377550634,92,ok
EPIC_206024342,0.0003826050139359438,0.3653318516971374,0.0010472807453239144,24,ok
EPIC_206042996,0.004971662708478486,1.553066779664673,0.003201190556372554,126,ok
EPIC_201238110,-0.0041585727246890025,-2.123026641987641,0.0019587944128650323,73,ok
EPIC_211822797,-0.002242431996391958,-2.764985733638571,0.0008110103314858841,160,ok
EPIC_211945201,-7.144981950124585e-05,-0.9298445495733448,7.68406068885711e-05,146,ok
EPIC_212624936,1.991263497647111e-06,0.004011907429915423,0.0004963383458947581,269,ok
EPIC_212737443,-8.401802821245141e-05,-0.0341369553288275,0.0024612045041257982,39,ok
EPIC_212424622,-1.9985179194881297e-05,-0.0347128412261301,0.0005757287069845913,80,ok
EPIC_212499991,-0.002923252218907324,-2.3388355427135883,0.0012498750619787818,40,ok
EPIC_220492298,-0.00042340748122637883,-0.673305813229102,0.0006288486938732376,189,ok
EPIC_229004835,-7.261430743465969e-05,-1.8356174888322292,3.955851797906707e-05,514,ok
EPIC_228836835,-0.0018672345672833268,-1.186068890052262,0.001574305323193369,132,ok
EPIC_248847494,0.000183838455655283,0.9158451661661565,0.00020073093405608504,166,ok
FU_Tau,-0.0005181255307116217,-0.831876021205793,0.0006228398433225733,239,ok
EPIC_249893012,0.00011512832252769112,0.4889682344433533,0.00023545153737594926,54,ok
EPIC_212587672,-2.146543361214448e-05,-0.11287491194818862,0.00019017010283026804,1421,ok
GJ_1132,0.0001685847537759022,1.5748292882214074,0.00010704954183719794,302,ok
GJ_1151,0.00038096691991662546,2.002050755752968,0.00019028834250175864,50,ok
EPIC_220674823,-9.44546403269797e-05,-0.6308669282549876,0.0001497219716180818,1217,ok
GJ_1061,-8.66691859394697e-05,-1.5022599604999323,5.769253539222822e-05,211,ok
GJ_1148,4.4630471198292554e-05,0.7198935226370999,6.199593383588601e-05,164,ok
DMPP-2,-3.82684676073497e-05,-2.2872947036322437,1.673088629400446e-05,2538,ok
GJ_143,1.5712472069662198e-05,0.5376039383225142,2.9226854473369062e-05,157,ok
EPIC_246851721,-1.6182726703117822e-07,-0.0010012903686110759,0.00016161871930881985,532,ok
GJ_15_A,-8.301421464596004e-05,-1.6067925718940943,5.1664549673703376e-05,79,ok
GJ_163,2.09643628221734e-05,0.6350398191235334,3.301267446678841e-05,540,ok
GJ_1289,-9.308489214943094e-05,-0.6500497185113406,0.0001431965732753517,54,ok
GJ_179,0.00030195058265269914,1.992185116122065,0.0001515675326600513,74,ok
EPIC_212297394,-0.0008432112953751236,-1.858249208679757,0.00045376653004157913,2925,ok
GJ_180,6.011786226423066e-05,1.1627717802071418,5.1702202691504064e-05,149,ok
GJ_2126,0.0004755846328554636,6.177293228743292,7.698916260645385e-05,64,ok
GJ_160.2,-3.7588690109946477e-05,-0.6727573571800086,5.58725812639295e-05,70,ok
GJ_1002,0.0001059646796566227,1.0257804080284842,0.00010330152421246112,746,ok
GJ_2030,-1.9855023601023092e-05,-1.078978879113894,1.840167957442219e-05,79,ok
GJ_229,0.00010897208014448712,3.455035631062706,3.1540074193379386e-05,46,ok
GJ_238,-1.0178503639601821e-05,-0.10959059573912927,9.28775281396485e-05,75,ok
GJ_1265,-4.03709115692763e-06,-0.025983647339844054,0.00015537045681562347,2243,ok
GJ_2056,2.4383763659097113e-05,0.8935374337807082,2.7289023086503808e-05,496,ok
GJ_1252,8.470019112705174e-05,1.8985897558748557,4.4612160612876866e-05,759,ok
GJ_273,7.915535173319554e-06,0.34705533869675276,2.2807703241343675e-05,247,ok
GJ_3082,6.39989535591301e-05,1.2352859782348706,5.180901806282924e-05,181,ok
GJ_317,-0.0001428156498113342,-2.613671722684958,5.4641770262037097e-05,264,ok
GJ_3222,8.497480862823537e-05,1.1924547405027432,7.126040573448487e-05,162,ok
GJ_27.1,7.633360737568928e-05,1.1276166126287295,6.769464596458753e-05,146,ok
GJ_3021,3.081133433524563e-05,2.4592312832733474,1.2528847752064362e-05,189,ok
GJ_3138,-4.6410237704686e-05,-0.46805744174896247,9.91550044184056e-05,68,ok
GJ_328,-6.31528001691084e-05,-1.4817293188529574,4.262101003575776e-05,112,ok
GJ_3293,0.0003246107190622016,3.2898701688245686,9.866976579753029e-05,110,ok
GJ_3341,-0.00020478429699810619,-1.4846332432160962,0.0001379359501303439,80,ok
GJ_3323,0.00016906630455115756,1.1342356030299867,0.0001490574833830955,105,ok
GJ_3378,-6.617303167644195e-07,-0.015832889550279533,4.179466512811848e-05,303,ok
GJ_251,0.00021563153132753143,23.608759140672067,9.133539380138429e-06,1733,ok
GJ_3090,-1.065910509923107e-05,-0.22530146287923633,4.731041229388044e-05,304,ok
GJ_341,4.585230630627102e-05,1.209635035179803,3.790590134441288e-05,104,ok
GJ_338_B,-0.00012145355273807112,-0.4229832050651713,0.00028713563868181983,98,ok
GJ_357,5.052910911906849e-06,0.1086854256143801,4.6491154479486175e-05,142,ok
GJ_367,-6.845555427203998e-05,-1.2485424696725562,5.4828374632697264e-05,71,ok
GJ_3779,-0.00011544927130002769,-0.6885722271380075,0.00016766472237761152,60,ok
GJ_3634,3.7206996632677125e-05,0.5592140284508991,6.653444788526801e-05,213,ok
GJ_3929,6.04282299189185e-05,0.7354390891573239,8.216619270014324e-05,243,ok
GJ_3512,0.00027730624004040916,0.9916046989126699,0.0002796540197363782,89,ok
GJ_3988,-2.1842117200021605e-05,-0.21475531898504818,0.00010170699055673824,238,ok
GJ_3942,-3.1272446231245254e-05,-0.8025659595475051,3.896557766900178e-05,185,ok
GJ_3473,0.00018043150918833906,2.1390043245902706,8.435303618327232e-05,554,ok
GJ_411,5.284364868363145e-05,0.34789669175094196,0.00015189465705371536,89,ok
GJ_4276,0.000254855710497659,1.6700666255992171,0.00015260212173045322,77,ok
GJ_433,-2.9287822417511933e-05,-1.3110342163396436,2.2339479818675054e-05,275,ok
GJ_436,7.375131435438664e-05,1.754021075688155,4.204699440424443e-05,169,ok
GJ_463,-0.00012470258846719595,-1.3987099452527147,8.915543132473049e-05,80,ok
GJ_504,-0.00021660328235406645,-12.563961647507133,1.7240046446420312e-05,182,ok
