host,in_frozen_test,matched,methods,n_planets,any_transit,min_incl,min_imppar
Kepler-1677,False,True,Transit,1,1,86.73,0.195
Kepler-1678,False,True,Transit,1,1,89.99,0.0235
Kepler-1700,False,True,Transit,1,1,89.02,0.944
Kepler-1714,True,True,Transit,1,1,88.49,0.742
Kepler-1738,False,True,Transit,1,1,85.69,0.0562
Kepler-1741,False,True,Transit,1,1,89.77,0.093
Kepler-176,False,True,Transit,4,1,86.69,0.07
Kepler-1770,False,True,Transit,1,1,88.95,0.0299
Kepler-1780,False,True,Transit,1,1,89.96,0.149
Kepler-1782,False,True,Transit,1,1,87.61,0.9274
Kepler-1787,False,True,Transit,1,1,89.99,0.936
Kepler-1788,False,True,Transit,1,1,86.54,0.0237
Kepler-18,False,True,Transit,3,1,84.92,0.593
Kepler-1807,False,True,Transit,1,1,89.58,0.987
Kepler-1838,False,True,Transit,1,1,86.45,0.891
Kepler-1853,False,True,Transit,1,1,86.81,0.2675
Kepler-187,False,True,Transit,2,1,84.67,0.09
Kepler-1874,False,True,Transit,1,1,88.76,0.927
Kepler-1896,True,True,Transit,1,1,89.67,0.2951
Kepler-1914,False,True,Transit,1,1,89.98,0.173
Kepler-1921,False,True,Transit,2,1,89.53,0.001
Kepler-1925,False,True,Transit,1,1,89.68,0.159
Kepler-193,True,True,Transit,2,1,89.4,0.06
Kepler-1930,False,True,Transit,1,1,89.01,0.3879
Kepler-1952,False,True,Transit,1,1,80.02,0.1219
Kepler-1958,False,True,Transit,1,1,89.96,0.035
Kepler-1964,True,True,Transit,1,1,75.89,1.1473
Kepler-1987,False,True,Transit,4,1,88.57,0.025
Kepler-1990,False,True,Transit,2,1,86.61,0.045
Kepler-1998,False,True,Transit,1,1,88.93,0.238
Kepler-205,False,True,Transit,2,1,85.06,0.81
Kepler-212,False,True,Transit,2,1,86.65,0.15
Kepler-216,False,True,Transit,2,1,88.11,0.09
Kepler-221,False,True,Transit,4,1,85.58,0.04
Kepler-235,True,True,Transit,4,1,89.16,0.11
Kepler-25,False,True,Radial Velocity|Transit,3,1,92.764,0.54
Kepler-264,False,True,Transit,2,1,89.96,0.44
Kepler-274,False,True,Transit,2,1,88.53,0.14
Kepler-28,True,True,Transit,2,1,89.51,0.008
Kepler-284,False,True,Transit,2,1,88.51,0.24
Kepler-295,False,True,Transit,3,1,77.82,0.02
Kepler-30,False,True,Transit,3,1,89.8406,0.38
Kepler-303,False,True,Transit,2,1,88.38,0.45
Kepler-305,True,True,Transit,4,1,83.45,0.806
Kepler-313,False,True,Transit,2,1,88.5,0.02
Kepler-324,False,True,Transit,4,1,88.5,0.319
Kepler-326,False,True,Transit,3,1,88.43,0.22
Kepler-329,False,True,Transit,2,1,88.86,0.64
Kepler-338,True,True,Transit|Transit Timing Variations,4,1,87.49,0.03
Kepler-340,False,True,Transit,2,1,89.38,0.12
Kepler-342,False,True,Transit,4,1,58.94,0.01
Kepler-345,False,True,Transit,2,1,86.89,0.15
Kepler-352,False,True,Transit,3,1,88.19,0.12
Kepler-370,False,True,Transit,2,1,88.73,0.35
Kepler-377,False,True,Transit,2,1,88.36,0.06
Kepler-396,False,True,Transit,2,1,89.34,0.48
Kepler-401,False,True,Transit,3,1,85.84,0.0687
Kepler-402,False,True,Transit,4,1,84.71,0.06
Kepler-411,False,True,Transit|Transit Timing Variations,4,1,87.4,0.574
Kepler-417,False,True,Transit Timing Variations,2,1,89.96,0.42
Kepler-42,False,True,Transit,3,1,81.11,0.52
Kepler-424,False,True,Radial Velocity|Transit,2,1,84.68,0.934
Kepler-427,False,True,Transit,1,1,89.5,0.09
Kepler-445,False,True,Transit,3,1,89.61,0.0
Kepler-453,False,True,Transit,1,1,89.4429,
Kepler-465,False,True,Transit,1,1,89.94,0.754
Kepler-472,False,True,Transit,1,1,83.75,0.596
Kepler-475,False,True,Transit,1,1,84.85,0.8
Kepler-481,False,True,Transit,1,1,87.02,0.05
Kepler-483,True,True,Transit,1,1,88.1,0.708
Kepler-49,False,True,Transit,4,1,88.68,0.06
Kepler-495,False,True,Transit,2,1,89.75,0.046
Kepler-496,False,True,Transit,1,1,88.99,0.0993
Kepler-523,False,True,Transit,1,1,89.66,0.129
Kepler-532,False,True,Transit,1,1,88.26,0.5981
Kepler-557,False,True,Transit,1,1,82.05,0.601
Kepler-560,False,True,Transit,1,1,89.606,0.506
Kepler-603,False,True,Transit,3,1,88.14,0.8731
Kepler-62,False,True,Transit,5,1,89.2,0.06
Kepler-635,False,True,Transit,1,1,89.46,0.8
Kepler-643,False,True,Transit,1,1,88.91,0.8108
Kepler-65,False,True,Radial Velocity|Transit,4,1,92.2,0.16
Kepler-652,False,True,Transit,1,1,89.94,0.0601
