injected_period,injected_depth_ppm,repeat,source_file,recovered_period,recovered_sde,recovered,alias,elapsed_s,sigma_point,n_points,baseline_days,n_in_transit,expected_snr,snr_bin
3.0,500,0,TIC_328167090.csv,0.7124033600714255,12.26164828787526,False,,5.566807833034545,0.00032460577805250236,909,22.833479687770478,45.45000000000001,10.384383107288468,10-20
1.0,8000,3,TIC_256886630.csv,1.0003163206813086,27.472438433348792,True,exact,83.08845595794264,0.00047461905681375765,12632,26.044897444858407,631.6,423.60968000964846,>80
3.0,500,1,TIC_399613138.csv,8.183521224843945,8.425897058153847,False,,15.63446800003294,0.0016467670796898662,2623,27.152409608019752,131.15000000000003,3.477138385022413,<5
3.0,200,0,TIC_458856474.csv,6.088793338383917,14.010809638639,False,,90.54410474991892,0.00043675303928897296,15975,24.43660019398385,798.7500000000001,12.941943377491096,10-20
1.0,8000,2,TIC_49967354.csv,0.9991880509436258,20.78119226707065,True,exact,134.80325491703115,0.0017183660790976302,19611,28.199707949247568,980.5500000000001,145.78376697020866,>80
3.0,200,2,TIC_46772529.csv,10.669251573357242,17.749861571588976,False,,110.8287087500794,0.005452311376338826,19078,27.330140990252403,953.9000000000002,1.1329239817372905,<5
3.0,500,2,TIC_353586703.csv,3.0048947175123772,19.34316398063499,True,exact,60.910979499924,0.003931893613043772,12468,26.850287555598698,623.4000000000001,3.1750578666363363,<5
3.0,1000,0,TIC_339538183.csv,2.604749134400609,11.282068035265196,False,,51.353613708983175,0.0007138262793088249,9834,25.08608095115369,491.7000000000001,31.06401389542957,20-40
3.0,500,3,TIC_352924930.csv,2.9913026704901116,10.17349293580195,True,exact,64.15880404191557,0.0012841512594164728,13890,24.440618681099295,694.5000000000001,10.261006136529442,10-20
3.0,1000,1,TIC_327017634.csv,3.004366507892097,11.354831197140934,True,exact,48.881518041016534,0.0005437261773143144,11700,22.54745071511752,585.0000000000001,44.48337095771993,40-80
3.0,3000,0,TIC_284050395.csv,3.010456170050548,10.96751900700712,True,exact,41.69429695792496,0.00110689955440205,11133,18.0501009312693,556.6500000000001,63.94464031196583,40-80
3.0,3000,1,TIC_344926234.csv,2.997478158189683,16.771353007690404,True,exact,65.87492674996611,0.0006709438693737956,13033,24.15721886352594,651.6500000000001,114.14115570273218,>80
3.0,1000,2,TIC_267527924.csv,2.9972253617408064,11.853392561504396,True,exact,88.9985573340673,0.0011484585985226837,16906,25.027920357097628,845.3000000000002,25.315708762899185,20-40
3.0,3000,2,TIC_347442932.csv,1.3288727463142609,13.90419521888201,False,,99.67284825001845,0.0076952928671765435,16073,23.82955308443934,803.6500000000002,11.05171244325335,10-20
3.0,3000,3,TIC_178959058.csv,2.9986646821918286,14.350963350328533,True,exact,115.17758170794696,0.0009054338037698876,17318,24.724150822774845,865.9000000000002,97.4986090591741,>80
3.0,8000,1,TIC_273774284.csv,3.000019939746394,12.4972360645974,True,exact,114.3678610830102,0.01306679067094171,18603,26.703698159481064,930.1500000000002,18.672288478303635,10-20
3.0,8000,0,TIC_268439377.csv,2.9946015755337503,12.413098477668644,True,exact,126.49544633401092,0.007225050477833139,19097,27.77106354022044,954.8500000000001,34.2150104968453,20-40
5.0,200,1,TIC_470852531.csv,1.4965640860513798,6.297382122217447,False,,5.614526457968168,0.0003800466188817487,986,23.500200241021503,49.300000000000004,3.6950182023861067,<5
3.0,8000,3,TIC_31268146.csv,2.994166587271292,16.234053036882557,True,exact,74.63294487504754,0.0011327802632237816,14664,25.508161749497276,733.2000000000002,191.22978711978405,>80
3.0,8000,2,TIC_289125016.csv,3.0016105288304744,15.269449701173263,True,exact,104.5031608750578,0.0023669196021846163,18137,25.85248274503556,906.8500000000001,101.78275672011642,>80
5.0,200,0,TIC_237235093.csv,0.9882427341155596,5.877694404949926,False,,48.82765087496955,0.0027053931802591045,12786,22.07807014119612,639.3000000000001,1.8691835786393025,<5
1.0,8000,1,TIC_95010343.csv,1.0002973372377408,22.451683668470316,True,exact,436.7223725829972,0.0014921520240427535,86206,23.815473480985474,4310.3,351.99027431198044,>80
1.0,8000,0,TIC_360286627.csv,1.000430535371471,18.03242566116934,True,exact,480.90912879107054,0.005807209502796466,91137,24.172649825359258,4556.85,92.99398517050658,>80
5.0,200,2,TIC_406855039.csv,9.038268450835744,5.801338913030401,False,,80.86756154103205,0.0009122721262131234,19607,28.200126354674467,980.35,6.8642985916666905,5-10
5.0,200,3,TIC_373424049.csv,0.963723708962854,8.820074085880014,False,,56.63378991605714,0.0005863451298399749,16516,24.590351766734557,825.8000000000001,9.801986785016462,5-10
5.0,1000,1,TIC_71854745.csv,2.5876781075269535,7.099614481955306,False,,5.162550542037934,0.00036428253530065965,990,23.499805237677037,49.5,19.31364520104789,10-20
5.0,500,2,TIC_1101909431.csv,2.7095899226831737,5.957540693631681,False,,49.51877829199657,0.008410712736372637,10573,28.062184188143874,528.65,1.3668514646786216,<5
5.0,500,0,TIC_220435095.csv,3.4194106577337915,14.762191970512688,False,,80.8343688340392,0.0029068199147340695,16101,25.335142066777962,805.0500000000001,4.8804886217654175,<5
5.0,3000,0,TIC_361034196.csv,5.008305612697898,12.695115839231145,True,exact,3.476758374948986,0.0003358050022431767,824,23.68752130092389,41.2,57.34330255483479,40-80
5.0,1000,0,TIC_389525208.csv,5.00459836175571,9.175416268555727,True,exact,68.09073570801411,0.0011506755886841376,16780,24.36283469571208,839.0,25.17260034085207,20-40
5.0,500,3,TIC_154927364.csv,6.991350182567892,14.326019299140173,False,,101.71045387501364,0.0013034149223325588,19611,28.200031934019535,980.5500000000001,12.012189851849607,10-20
5.0,1000,2,TIC_258777134.csv,5.939786442402024,15.391690628612656,False,,82.42442212498281,0.0013789436537497554,18424,26.85033621409525,921.2,22.010527160856956,20-40
5.0,8000,0,TIC_372505528.csv,4.994757979273093,19.705668664227304,True,exact,4.06669587502256,0.0006206848960000623,962,26.437424605750266,48.1,89.39049618838072,>80
5.0,1000,3,TIC_141663464.csv,1.7661553158397143,13.08675051250486,False,,82.73480366601143,0.00031516897922312154,18049,26.33916300365354,902.45,95.31650499294375,>80
3.0,1000,3,TIC_50365310.csv,2.9975150314343852,11.984508887148822,True,exact,413.6959393749712,0.0018565316823882306,98742,25.09129776607324,4937.100000000001,37.84718620717098,20-40
5.0,3000,1,TIC_233569098.csv,5.004099349406138,13.039556746630955,True,exact,91.32347033300904,0.0020093444844960016,19611,28.200198232477305,980.5500000000001,46.75216506756333,40-80
5.0,3000,3,TIC_294090620.csv,4.996958248297583,19.190147226855277,True,exact,55.785901165916584,0.00035594445479706873,16457,25.01851265053847,822.85,241.76830177446564,>80
1.0,3000,2,TIC_343648136.csv,1.0012931324761565,14.864319204635445,True,exact,691.3684947079746,0.003440719491659948,111579,27.948243086760158,5578.950000000001,65.12507276678264,40-80
8.0,200,0,TIC_141405814.csv,1.136260123475015,9.134638759731516,False,,27.368195415940136,0.0007422179579230794,9588,24.27986656102121,479.40000000000003,5.899939423664323,5-10
5.0,3000,2,TIC_233569098.csv,5.004099349406138,12.393275996065844,True,exact,89.65891387499869,0.0020093444844960016,19611,28.200198232477305,980.5500000000001,46.75216506756333,40-80
