host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
CoRoT-16,1.1005611882372957,-0.012018079963917965,-0.010589827652574652,117,11738,ok
CoRoT-17,0.914079540272312,-0.016462875628750713,-0.004109376009162819,34,12195,ok
CoRoT-18,1.3881189720102114,0.006296258518673483,-0.007566887911773305,661,11971,ok
CoRoT-19,1.0569543456618165,-0.013450750741397973,-0.010752486907269985,752,11825,ok
CoRoT-2,0.6674474588301124,0.06634616262706104,0.025416334242475126,181,8633,ok
CoRoT-20,0.9829125504793608,-0.003667735044633198,-0.02129831383328521,84,14368,ok
CoRoT-21,0.9905930133488868,-0.011620449369393264,-0.0032221506964692378,220,13713,ok
CoRoT-22,0.9130478698704699,-0.024426988464142665,-0.010040953169098393,37,11801,ok
CoRoT-23,1.115853753034422,-0.00861177229247898,0.0003054421413212593,113,11403,ok
CoRoT-24,1.1446441766606505,0.013837637094350853,-0.012154417579574705,102,14205,ok
CoRoT-25,0.9168031808668156,0.0010013805151206426,0.015774796113600203,117,11501,ok
CoRoT-26,1.254508941562762,-0.01467362894125142,-0.019697295552458707,111,11486,ok
CoRoT-28,1.034934732255477,-0.004056666811640462,0.0001118707557600278,296,10741,ok
CoRoT-29,1.0838668437181587,-0.013501918518542008,0.0009318116384833877,168,11342,ok
CoRoT-3,0.9435408605480656,-0.008798495408871702,0.01148127828374283,245,8472,ok
CoRoT-30,0.9529118064487915,0.001088735214816426,-0.027234787966854333,52,11531,ok
CoRoT-31,1.1953671738562206,-0.007701994968423117,-0.0019057359100804992,82,13238,ok
CoRoT-32,1.1082738373271606,-0.0026048901719932086,-0.014082626003678055,71,14397,ok
CoRoT-4,1.3329497088200217,-0.008118651704198433,-0.006818942831949177,216,13568,ok
CoRoT-5,1.066667900041167,-0.004793654801599047,-0.005203773284156507,235,13622,ok
CoRoT-6,1.3280218072780585,-0.007431428961384507,-0.014388895100425021,76,11702,ok
CoRoT-7,0.9509452722199103,-0.00789103024830546,-0.016980914729918164,337,13264,ok
CoRoT-8,0.9485632123853,-0.015256670903036599,-0.00497911189226805,68,9133,ok
CoRoT-9,1.021816074721,0.03476566189384591,0.030979075343258534,684,9011,ok
DENIS-P_J082303.1-491201,1.010714964455514,-0.006031877095700042,0.004287563690904956,100,12748,ok
DE_CVn,1.5376902061442834,0.6186012306667648,0.008264005031134348,830,10535,ok
DH_Tau,1.2274190591057175,0.27922911079059626,0.041220017101947885,50,15111,ok
DMPP-1,0.9972518718922849,0.008035620023662258,-0.0007129403186579637,149,14023,ok
DMPP-2,1.0301732033316326,-0.0030512183722634814,0.0032053162089603214,2710,172626,ok
DMPP-3_A,0.9295797966404442,0.0003014225279770412,0.005040466091641158,186,17516,ok
DMPP-4,0.8506267709220793,0.04435088719714615,-0.004103457269236831,236,17459,ok
DMPP-6,1.10540512036543,0.011595201696248203,-0.0036206897304772614,278,17125,ok
DMPP-7,1.0587565148051177,0.012203886230733589,-0.004646341456000163,211,12536,ok
DMPP-8,1.096088587211905,0.0002858737681981787,-0.012903289955751497,156,16578,ok
DMPP-9,0.7781205431679065,-0.0072366192714074535,-0.004928083874281058,85,16881,ok
DP_Leo,,,,0,0,no usable ephemeris
DS_Tuc_A,13.645158332611736,0.5968121017213213,0.17978038982467512,155,17752,ok
EPIC_201170410,1.113288568874914,-0.004214240519017231,-0.005613016726957,168,15508,ok
EPIC_201238110,0.861448142502079,-0.006863122983997564,-0.008096015119412022,73,15692,ok
EPIC_201427007,0.9044581231260426,-0.012693901137035123,-0.0029808153208157363,81,9845,ok
