host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
Kepler-1672,170236331,27.274404048919678,failed,,,,"Depth measured at the target's own pixel in this sector (-378 ppm) doesn't match the known transit depth (902 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1670,159375845,38.43397307395935,completed,80.0,2.772162261732117,"Photocenter shifted 2.77 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1673,377782148,32.726168155670166,completed,40.0,0.5516639812250239,"Photocenter shifted 0.55 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1669,169457234,47.90943193435669,failed,,,,"Depth measured at the target's own pixel in this sector (167 ppm) doesn't match the known transit depth (11695 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1675,350987771,26.738683223724365,completed,40.0,1.5791618895367632,"Photocenter shifted 1.58 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1671,137337090,48.693161964416504,failed,,,,"Depth measured at the target's own pixel in this sector (-3190 ppm) doesn't match the known transit depth (2525 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1665,122442334,67.33621096611023,completed,74.0,0.559852535151823,"Photocenter shifted 0.56 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1674,271256817,43.75376296043396,completed,81.0,0.6237172788930404,"Photocenter shifted 0.62 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1677,274198958,26.372419118881226,failed,,,,"Depth measured at the target's own pixel in this sector (-10 ppm) doesn't match the known transit depth (4954 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1678,137687119,25.84178614616394,failed,,,,"Depth measured at the target's own pixel in this sector (395 ppm) doesn't match the known transit depth (14339 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1683,274126997,26.706976890563965,failed,,,,"Depth measured at the target's own pixel in this sector (-2319 ppm) doesn't match the known transit depth (14995 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1676,1716650499,47.022944927215576,completed,74.0,0.9363548763057447,"Photocenter shifted 0.94 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1681,272602477,29.236384630203247,completed,74.0,0.7629386757835429,"Photocenter shifted 0.76 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1686,63005636,27.15745997428894,failed,,,,"Depth measured at the target's own pixel in this sector (48 ppm) doesn't match the known transit depth (3622 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1687,416281238,30.0135281085968,completed,80.0,1.905635564079207,"Photocenter shifted 1.91 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1679,27006340,54.04523301124573,failed,,,,"Depth measured at the target's own pixel in this sector (2046 ppm) doesn't match the known transit depth (21114 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1689,137218786,21.738791942596436,completed,40.0,1.4781421845467002,"Photocenter shifted 1.48 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-169,120689253,28.60692024230957,completed,40.0,1.4104889453045064,"Photocenter shifted 1.41 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1690,121462999,30.700551748275757,completed,74.0,0.3103562402877029,Borderline: photocenter 0.31 px from target -- weak evidence of a nearby contaminant,
Kepler-1688,122068161,47.33053994178772,failed,,,,"Depth measured at the target's own pixel in this sector (-514 ppm) doesn't match the known transit depth (4269 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1691,120819731,33.39300990104675,failed,,,,"Depth measured at the target's own pixel in this sector (182 ppm) doesn't match the known transit depth (6449 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1697,158551360,23.83040690422058,completed,40.0,1.1371141936099236,"Photocenter shifted 1.14 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1694,138425797,31.057772159576416,completed,40.0,1.007575224758772,"Photocenter shifted 1.01 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1693,406948151,34.64639616012573,failed,,,,"Depth measured at the target's own pixel in this sector (-400 ppm) doesn't match the known transit depth (8210 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-17,273874849,25.63873600959778,completed,41.0,2.87836528941393,"Photocenter shifted 2.88 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1698,138105005,34.172476053237915,failed,,,,"Depth measured at the target's own pixel in this sector (-9 ppm) doesn't match the known transit depth (1601 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-170,120253745,26.740402936935425,completed,40.0,2.290897378738951,"Photocenter shifted 2.29 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1699,26584080,45.58784890174866,failed,,,,"Depth measured at the target's own pixel in this sector (-2530 ppm) doesn't match the known transit depth (8472 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
