host,oe_timing_offset_frac,oe_timing_significance,oe_n_epochs_odd,oe_n_epochs_even,oe_status
Kepler-1404,0.04423516107427364,2.2008511794659387,24,22,ok
Kepler-1405,0.04272654378369749,0.6006760007903891,4,4,ok
Kepler-1406,,,2,1,"too few epochs (odd=2, even=1)"
Kepler-1407,,,1,0,"too few epochs (odd=1, even=0)"
Kepler-1408,0.007114216539103357,0.08936130474292567,3,3,ok
Kepler-1409,0.0145565836806838,0.32093454597470517,14,15,ok
Kepler-141,0.08095541418773824,0.8136979529923637,23,23,ok
Kepler-1410,0.01646105419437695,0.3303046534062531,11,13,ok
Kepler-1411,0.04818537742252893,0.5877517163150976,9,10,ok
Kepler-1412,0.03849287190768491,0.38592875944953225,13,15,ok
Kepler-1414,0.07848935449887368,1.2291913144562714,5,6,ok
Kepler-1415,,,2,1,"too few epochs (odd=2, even=1)"
Kepler-1416,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1417,0.008451986842610514,0.231337881234152,16,17,ok
Kepler-1418,0.005334142653262154,0.08754519191667055,10,12,ok
Kepler-1419,0.06288802683127112,0.9609236313564389,7,8,ok
Kepler-142,0.0001443446679572935,0.00191251131599508,3,3,ok
Kepler-1421,0.09268974753794236,1.0122594607680315,13,15,ok
Kepler-1422,0.05356442715655552,0.8505553920026723,4,4,ok
Kepler-1423,0.11835077602133044,1.6606980345660463,7,8,ok
Kepler-1424,0.061404530990571395,1.2394089540119673,14,12,ok
Kepler-1425,0.03354250443016708,0.9970312888853683,14,14,ok
Kepler-1426,0.017095706552917863,0.18517211667919864,14,13,ok
Kepler-1428,0.02570663307722644,0.2972089191260094,2,3,ok
Kepler-1429,,,1,1,"too few epochs (odd=1, even=1)"
Kepler-143,0.06877487521867197,0.7674606553221343,2,3,ok
Kepler-1430,0.11134135134884626,1.142887894052116,5,6,ok
Kepler-1431,0.08922848413655791,1.1856473220702974,3,3,ok
Kepler-1432,0.029941408943463407,0.47208822929397376,11,10,ok
Kepler-1433,0.19138023109867786,1.3906686813201439,11,11,ok
Kepler-1434,0.11910906235344883,1.4344995658867736,2,3,ok
Kepler-1435,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1436,0.013767337362627708,0.2631060139817324,8,8,ok
Kepler-1437,0.04217363316172384,0.8307966313265605,12,12,ok
Kepler-1438,0.005445793731586607,0.07435321665033488,4,4,ok
Kepler-1439,0.007846043617006318,0.14662734150993043,5,6,ok
Kepler-144,0.01634719716649866,0.2753721419502135,7,7,ok
Kepler-1440,0.0405396371356808,0.4389228071448363,2,2,ok
Kepler-1441,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1442,0.03524733557842525,0.49159126078037385,11,10,ok
Kepler-1443,0.06448179398955156,0.854306315791048,15,16,ok
Kepler-1444,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1445,0.030757295884102885,0.2622729512759126,12,14,ok
Kepler-1446,0.11458084845801807,1.1044965843271788,5,5,ok
Kepler-1447,0.012471253103979946,0.22554909751846014,8,8,ok
Kepler-1448,0.12665900486112183,1.5847813835887437,4,4,ok
Kepler-1449,0.08411316332513225,0.5435451118216706,2,4,ok
Kepler-145,0.05919749581981358,1.2032526305801416,8,8,ok
Kepler-1450,0.011474479107380708,0.13624947508272642,4,5,ok
Kepler-1451,0.00611881524803249,0.2479776342682573,19,19,ok
Kepler-1452,0.05090876006749511,1.0293793741529806,4,5,ok
Kepler-1453,0.11250077929686825,0.989779121464734,2,3,ok
Kepler-1454,0.08020766384087673,1.2603390112437605,6,6,ok
Kepler-1455,0.02824073406027435,0.6235748557340899,21,22,ok
Kepler-1456,0.05623544897369052,0.8133315802998864,10,9,ok
Kepler-1457,0.04666608195469111,1.0896906356761824,13,12,ok
Kepler-1458,0.01300972324397897,0.15743431548007378,3,3,ok
Kepler-1459,0.1018431024233628,1.3641396337023106,23,21,ok
Kepler-146,0.056991783023659516,0.7737513508614444,3,3,ok
Kepler-1460,0.06185202393885338,0.811592890608782,11,13,ok
Kepler-1461,,,0,2,"too few epochs (odd=0, even=2)"
Kepler-1464,0.022651383964426456,0.2538688570570593,11,11,ok
Kepler-1465,0.0693693606154015,0.8555252715158974,7,6,ok
Kepler-1467,0.02406502980854253,0.46140851540595723,13,11,ok
Kepler-1468,0.011965049907261209,0.5590232708930218,14,14,ok
Kepler-147,0.05807784712878198,1.038650400534209,8,9,ok
Kepler-1470,0.00015034465829582728,0.0046756631451087185,21,20,ok
Kepler-1471,0.10376248589066368,0.8110987597502273,16,16,ok
Kepler-1472,0.07597553348587731,1.0051349228888526,4,8,ok
Kepler-1473,0.02614528497164485,0.6972230896509478,2,2,ok
Kepler-1474,0.052861796473302046,0.9749921970758513,12,12,ok
Kepler-1475,0.022372817040444883,0.3095176715088965,6,7,ok
Kepler-1476,0.01530140928447889,0.17161699936556218,2,2,ok
Kepler-1477,0.12349746908254143,1.474354203760375,4,3,ok
Kepler-1478,0.012222937507083545,0.2966984601135774,13,13,ok
Kepler-1479,0.006800909033543562,0.14098561045334992,16,16,ok
Kepler-148,0.0020855360662606326,0.0438907356533497,15,16,ok
Kepler-1480,0.023060672787161618,0.32440179654063966,5,5,ok
Kepler-1481,0.10676861616747614,1.301689576208533,2,3,ok
Kepler-1482,0.07276033800237626,1.2423066232552433,4,5,ok
Kepler-1483,0.04482847893045689,0.7751192364932247,13,13,ok
Kepler-1484,0.02347021960305355,0.8158223990787877,19,20,ok
Kepler-1485,0.051908592183127725,0.9139426863624815,12,11,ok
Kepler-1486,0.015769962273084335,0.1198008454762732,2,2,ok
Kepler-1487,0.04413037585602346,0.6574760384454246,5,6,ok
Kepler-1488,,,1,2,"too few epochs (odd=1, even=2)"
Kepler-1489,0.022802348918434395,0.3228684315652195,2,3,ok
Kepler-149,0.143376940801582,2.0022413602824174,5,5,ok
Kepler-1490,0.019865974920545797,0.508617379700172,10,10,ok
Kepler-1492,0.06273245753163595,1.1958041856665336,25,25,ok
Kepler-1493,0.01742229916460256,0.2482380097130489,2,2,ok
Kepler-1494,0.0017455718509404139,0.020948195851097712,2,2,ok
Kepler-1495,0.023174589475676872,0.24464819890240402,16,16,ok
Kepler-1496,,,2,1,"too few epochs (odd=2, even=1)"
Kepler-1497,0.013657880020219063,0.2341151427824195,7,9,ok
Kepler-1498,0.08236723145296206,1.08304104088633,9,7,ok
Kepler-1499,0.039100824828075094,1.0062486372616315,22,22,ok
Kepler-15,0.01490266528478834,0.4374647234613078,3,3,ok
Kepler-150,0.09321002758977126,1.5315011038943687,6,6,ok
Kepler-1500,0.020497425375750226,0.5118738486881249,4,4,ok
Kepler-1501,0.0334845035819384,0.6171966199692667,11,9,ok
Kepler-1502,0.08264331083350145,1.0384920690584991,2,3,ok
Kepler-1504,0.061249531190231014,1.081843921617098,7,6,ok
Kepler-1505,0.09921449891423582,1.136447212852042,21,22,ok
Kepler-1506,0.23845300078094017,2.7023680069487774,16,16,ok
