host,cadence_min,n_points,baseline_days
HATS-26,2.000040065468056,12890,23.954597290322454
HATS-27,2.0000373662333004,14696,24.165753693335773
HATS-28,1.9999850647946005,16632,25.334638006711884
HATS-29,1.9999857356742723,17162,25.33463163925944
HATS-3,1.9999851155444048,18067,27.742664142731428
HATS-30,2.0000273616460618,18251,27.880887470857715
HATS-31,1.9999796424235683,17367,24.79275839193042
HATS-32,1.9999925060255919,18299,27.40529392268627
HATS-33,2.000003841239959,16700,25.334857755067333
HATS-34,2.000015959965822,18274,27.88072663564003
HATS-35,1.9999910319893388,14018,24.194275008043405
HATS-36,2.0001522965321783,15242,24.821311206464543
HATS-37_A,9.999994868558133,3095,24.23619565689023
HATS-38,2.0000265830458375,15920,24.355919692161933
HATS-39,0.33333150764519814,98024,24.947768674230247
HATS-4,2.0000012058517314,14597,21.772224516342703
HATS-40,0.3333351963374298,101579,25.841111708277367
HATS-41,0.33333687206322793,101445,25.84122481903387
HATS-42,0.33333921899611596,102596,25.841414621876083
HATS-43,2.0000193097803276,17107,25.59052294569051
HATS-44,2.0000333789357683,17119,25.53792087622014
HATS-45,2.000027334797778,14560,21.772502856995516
HATS-46,2.000038760543248,18277,27.881038989590024
HATS-47,1.9999917703171377,16626,25.1083279329805
HATS-48_A,1.999991099437466,17223,25.33468793770885
HATS-49,2.000033604199416,14230,23.872605422025117
HATS-5,1.9999844292760827,17069,25.53452296306432
HATS-50,2.000166700963746,15541,25.01178385055755
HATS-51,0.33333653678710107,101521,25.84120025842776
HATS-52,0.3333351976471022,80052,24.154473602532107
HATS-53,2.000034643424442,15465,23.87545242934584
HATS-54,0.3333398895483697,92521,24.38423095070084
HATS-55,0.3333328487497056,98590,24.989307527310302
HATS-56,0.33333184488583356,91512,24.282323345455552
HATS-57,0.333338551063207,94795,25.431399329740998
HATS-59,2.0000017857091734,15271,23.752834904253177
HATS-6,1.9999810686567798,14502,21.772004334456824
HATS-60,0.3333291646413272,87078,24.334319555449838
HATS-61,0.3333378785464447,94886,25.431321961980757
HATS-62,2.000182794217835,15472,24.959204001017497
HATS-63,0.3333395562367514,96153,25.431476009486687
HATS-64,0.3333365394064458,79551,24.15389708990915
HATS-65,2.0001536376366857,15590,25.104682882677025
HATS-66,0.33333586623484734,102372,25.8411502524591
HATS-67,0.33333184488583356,91417,24.242285307362636
HATS-68,0.3333385504083708,88854,23.82116683166214
HATS-69,0.3333284862310393,87530,23.328971395809276
HATS-7,1.9999629395169904,11701,22.546741798427774
HATS-70,0.333339554927079,102242,25.841442739668764
HATS-71,2.0000297072692774,18261,27.880936182055393
HATS-72,1.999959506210871,9573,22.849757077857248
HATS-74_A,2.0000226468255278,15457,24.079475910226847
HATS-75,2.000027347567084,14601,25.468425622596442
HATS-76,1.9999884637218202,17160,25.574854247335452
HATS-77,1.999974368045514,15272,23.813606617367896
HATS-8,2.000157660950208,15647,25.1352925538813
HATS-9,2.0001519481593277,15001,24.67545796771128
HD_100508,2.0000343546416843,15660,24.803228962942285
HD_100546,2.0000356531818397,14998,25.321244152648433
HD_100655,2.000010548727005,16164,26.652891609431663
HD_100777,2.0000119189717225,16025,24.275190046019816
HD_10180,2.0000380904821213,18272,27.881068086668392
HD_101930,2.0000209429417737,15490,24.61278756256479
HD_102117,2.000022619649826,15488,24.614198038451377
HD_102195,2.0001741248415783,16232,24.12297332779417
HD_102272,2.0000293228804367,16164,26.653129144185414
HD_102329,2.0001741248415783,16231,24.122972931516415
HD_102843,2.0002014419878833,16945,25.694230584943853
HD_102888,1.9999676346924389,14598,24.04965764753706
HD_102956,2.000023272848921,18631,27.34619087590977
HD_103197,2.000010550036677,15483,24.61405935171433
HD_103720,2.000200603797566,15936,25.008046633120102
HD_103774,2.0000374009396182,16022,24.274118283749203
HD_103891,2.000034046213841,16020,24.27546049371381
HD_103949,1.999966963812767,14586,24.049651094751198
HD_104067,1.9999615997221554,14578,24.049589621407904
HD_10442,2.0000380001147278,16071,25.9421003701068
HD_104985,2.0000138988689287,18408,26.8501549670259
HD_105618,2.000198256864678,16961,25.701130436177664
HD_105779,1.9999649518285878,14883,24.276014612184554
HD_106252,2.000198256864678,16966,25.70113342944842
HD_106270,1.9999568999628536,14876,24.27590788168618
HD_106315,2.0001992626930587,16385,25.326122346173634
HD_10647,2.0000129585241666,18298,27.405708357972344
HD_106515_A,2.0001960775698535,15976,25.008006622367247
HD_106906,2.0000310012255795,15488,24.614309573177025
HD_10697,2.000010531046428,12708,23.030728789095065
HD_107148,2.000197585002752,15977,25.00802133385878
HD_108147,1.9999914376603556,11691,22.547120357538006
HD_108202,2.000197083398234,16384,25.281652649884563
HD_108236,2.000027984067856,15489,24.61427744650655
HD_108341,2.0000095442082966,11692,22.547325933492175
HD_108863,2.000023244690965,13508,24.214118042511473
HD_108874,2.0000219032590394,13507,24.214100983475873
HD_109246,2.0000031710151234,18416,26.850022807928553
HD_109271,1.999975675917085,14873,24.276128732261895
HD_109286,1.9999756646211608,13141,24.692737018586968
HD_109749,2.000018596663722,15407,24.57111565988248
HD_10975,2.0000333298230544,12778,23.151824124153336
HD_109833,0.33333553161355667,106350,26.698300401841152
HD_109988,2.0000098734271887,15091,24.419601405172443
HD_110014,2.000191216066014,16442,25.292701870206656
HD_110067,1.9999649354576832,13078,24.68287358878797
HD_110082,2.0000118914686027,14347,24.437678502159315
HD_110113,2.0000253002217505,15416,24.57119352357222
HD_11112,1.9999824248225195,12854,20.26508448630989
HD_111232,2.000007867172826,11700,22.547300949599958
HD_111591,1.9999696306331316,13079,24.68293134242913
HD_111998,2.0001898756163428,16610,25.380194177190788
HD_112570,1.999965938339301,15247,24.332934072523585
HD_112640,1.9999766842011013,18402,26.84829825584211
HD_113337,1.999964277674735,18414,26.849527360151797
HD_113538,1.9999803755126777,11699,22.54698397163338
HD_113996,1.999974993414071,13300,24.628841188270144
HD_114082,1.9999806705163792,18093,26.69565241648479
HD_114386,2.0000346841879946,15093,24.41988973379398
