host,cadence_min,n_points,baseline_days
BD+15_2375,2.0000279821033473,16148,26.62811388067348
BD+15_2940,2.0000379785051337,7803,19.086309360106043
BD+20_2457,2.0001991035678657,16506,24.33851093472458
BD+20_274,2.000010531046428,12712,23.03073064615205
BD+20_594,2.000190845428733,12201,22.29656028978843
BD+37_3172,0.33333385195874143,113600,28.201549658632757
BD+42_2315,3.333314279516344,6999,27.076257743467522
BD+45_564,1.999984405374562,15155,23.64978758219172
BD+48_738,3.333349209788139,11672,27.715420878541863
BD+49_828,3.3333673117522267,11591,27.715569183279968
BD+55_362,29.99980294429406,1000,23.6039717076726
BD+60_1417,2.0000051649913075,17746,26.04452201080062
BD+63_1405,1.9999941169226076,18416,26.84992700392513
BD-06_1339,1.9999790573274367,14674,21.771979159410648
BD-08_2823,2.0000400631761295,13055,24.18790488268678
BD-10_3166,1.9999911321792752,15774,24.092984020778204
BD-11_4672,1.999984971480444,12935,26.447142092448303
BD-13_2130,1.9999984967944329,16341,24.45414946980918
BD-14_3065_A,2.0000118315510917,15832,24.423807593119818
BD-210397,2.000034059965401,13023,20.265575734288177
BEBOP-3,2.000035035016481,16379,24.950419766296818
BEBOP-4_A,1.9999662768896087,12942,24.660660335975535
Barnard's_star,0.333328481647186,91147,26.44864821458623
CD-35_2722,1.999997518469172,14633,21.772186883693166
CD_Cet,2.0000226635238505,14782,25.58365689933885
CI_Tau,2.000171745166881,15129,23.81591303131063
COCONUTS-2_A,1.999965157774568,12578,20.264929395838863
CT_Cha,3.333396521047689,11273,26.91251384790985
CoRoT-1,2.0000273357800324,14628,21.772501604832314
CoRoT-10,1.9999635393469362,9366,26.228877034664038
CoRoT-11,1.99999770935392,11952,26.447298084322938
CoRoT-12,2.0000226419142564,14652,21.772449602573715
CoRoT-13,2.000029369701224,14638,21.772527770340048
CoRoT-14,2.0000320512554026,14619,21.77255464039331
CoRoT-16,1.9999876513975323,12217,26.447165572953054
CoRoT-17,1.9999876523797866,12320,26.44717149337066
CoRoT-18,2.0000132551649585,14620,21.772349067698997
CoRoT-19,2.000009231851436,14654,21.772305719289534
CoRoT-2,1.9999668901436962,9399,26.228913497339818
CoRoT-20,2.0000112654452096,14648,21.772331448938075
CoRoT-21,2.000023333421268,14615,21.772459245021764
CoRoT-22,1.9999973757148837,11967,26.44729800888581
CoRoT-23,1.9999936886597425,11878,26.447253168032148
CoRoT-24,2.000026666210033,14611,21.77249628604909
CoRoT-25,1.999997041421011,11989,26.4472972018948
CoRoT-26,1.9999943579023238,11954,26.447259555973687
CoRoT-28,1.9999903345888015,11924,26.447208174441585
CoRoT-29,1.9999910057958914,11991,26.44722044647915
CoRoT-3,1.9999668901436962,9410,26.228914396066102
CoRoT-30,1.999986310620443,11776,26.44716385652555
CoRoT-31,1.9999775954056531,13456,22.727564472474114
CoRoT-32,2.0000192881707335,14622,21.772411130103592
CoRoT-4,2.0000273564073723,14655,21.772503116368853
CoRoT-5,2.0000240036461037,14656,21.772466277904186
CoRoT-6,1.9999990511132637,11993,26.447317274225043
CoRoT-7,2.00002331246651,14619,21.77245655815659
CoRoT-8,1.9999662195914425,9400,26.22890573150653
CoRoT-9,1.9999977119732648,11921,26.44730326713261
DENIS-P_J082303.1-491201,2.00001357767178,13085,24.229316842383014
DE_CVn,2.0000111695117084,13872,23.055681333697976
DH_Tau,2.000176478322828,15409,24.124328938080453
DMPP-1,1.9999743844164186,14604,21.77193305754622
DMPP-2,0.3333284809923498,183114,52.37839281321203
DMPP-3_A,1.9999848658881092,18277,27.880327513974635
DMPP-4,2.000016748388589,18397,26.850139696711494
DMPP-6,1.9999629044832545,18265,27.880022689207408
DMPP-7,2.0000373564107576,13428,25.107343561930747
DMPP-8,1.99999143520472,17207,25.334647683153435
DMPP-9,2.000022951324354,17219,25.335064927308395
DP_Leo,1.9999991490112734,15965,26.366644134816397
DS_Tuc_A,1.9999928272227407,18268,27.880419946692427
EPIC_201170410,2.0001761371531757,16202,24.10216521427992
EPIC_201238110,2.000200101538212,15988,25.008043240020925
EPIC_201427007,1.9998944901453797,10084,23.55451857730577
