hostname,tic_id,disc_year,disc_facility
TOI-1873,TIC 328933398,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 160113658,TIC 160113658,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2407,TIC 153078576,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2431,TIC 258804746,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5126,TIC 27064468,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-912,TIC 406941612,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4427,TIC 207339000,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2583 A,TIC 7548817,2023,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,TIC 307210830,2019,Transiting Exoplanet Survey Satellite (TESS)
WASP-126,TIC 25155310,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-1130,TIC 254113311,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-2447,TIC 1167538,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4137,TIC 417646390,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-6034,TIC 388076422,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1260,TIC 355867695,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1062,TIC 299799658,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-4463 A,TIC 8599009,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2145,TIC 88992642,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2096,TIC 142748283,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-7510,TIC 118798035,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3135,TIC 448098793,2025,Transiting Exoplanet Survey Satellite (TESS)
AU Mic,TIC 441420236,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 213885,TIC 403224672,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-1232,TIC 364395234,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4773,TIC 415276070,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 260655,TIC 307809773,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1685,TIC 28900646,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1298,TIC 237104103,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5634 A,TIC 119585136,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-883,TIC 123846039,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 279401253,TIC 279401253,2023,Transiting Exoplanet Survey Satellite (TESS)
HD 15906,TIC 4646810,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-6109,TIC 384984325,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1839,TIC 381714186,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-871,TIC 219344917,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4311,TIC 122617317,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2986,TIC 148497855,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4638,TIC 58824746,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1054,TIC 366989877,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-5678,TIC 209464063,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 434398831,TIC 434398831,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2641,TIC 162802770,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2267 B,,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266,TIC 467179528,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4127,TIC 141488193,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1438,TIC 229650439,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1468,TIC 243185500,2022,Transiting Exoplanet Survey Satellite (TESS)
TIC 434398831,TIC 434398831,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3082,TIC 428699140,2023,Transiting Exoplanet Survey Satellite (TESS)
WD 1856+534,TIC 267574918,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-6303,TIC 186810676,2025,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780,TIC 36724087,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-3919,TIC 23769326,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 198190129,TIC 198190129,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2537,TIC 399967279,2024,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,TIC 307210830,2019,Transiting Exoplanet Survey Satellite (TESS)
LHS 1815,TIC 260004324,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-6223,TIC 288144647,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-7384,TIC 192833836,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1448,TIC 343628284,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5350,TIC 68808155,2025,Transiting Exoplanet Survey Satellite (TESS)
TIC 294329732,TIC 294329732,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1814,TIC 160440924,2026,Transiting Exoplanet Survey Satellite (TESS)
HD 63433,TIC 130181866,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-128,TIC 391949880,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2095,TIC 235678745,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2000,TIC 371188886,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5736,TIC 310380289,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 135694,TIC 232540264,2023,Transiting Exoplanet Survey Satellite (TESS)
TIC 237913194,TIC 237913194,2020,Transiting Exoplanet Survey Satellite (TESS)
WASP-84,TIC 350293646,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-776,TIC 306996324,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1789,TIC 172518755,2021,Transiting Exoplanet Survey Satellite (TESS)
HIP 8152,TIC 164767175,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-942,TIC 146520535,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-3474,TIC 274367763,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4329,TIC 256722647,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1680,TIC 259168516,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-5704,TIC 148673433,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2076,TIC 27491137,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 63433,TIC 130181866,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-682,TIC 429304876,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-512,TIC 119292328,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-5688 A,TIC 193634953,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-201,TIC 350618622,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-929,TIC 175532955,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1181,TIC 229510866,2022,Transiting Exoplanet Survey Satellite (TESS)
WASP-108,TIC 404340025,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1853,TIC 73540072,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2989,TIC 97825640,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-163,TIC 179317684,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-431,TIC 31374837,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1467,TIC 240968774,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5340,TIC 14156936,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-880,TIC 34077285,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1278,TIC 163539739,2021,Transiting Exoplanet Survey Satellite (TESS)
