host,label,cadence_min,n_points
HD_137388,1,2.0000058545338106,14347
HD_137496,1,2.000070174181019,12455
HD_13808,1,2.0000220090150833,18296
HD_13908,1,0.33333619561744854,112819
HD_13931,1,1.9999837335126358,14817
HD_139357,1,1.9999779778299853,15450
HD_1397,1,2.000007915630704,17814
HD_14067,1,2.0001670421333984,14126
HD_140901,1,0.33333854320517275,113649
HD_141004,1,0.33333921572193503,54860
HD_141399,1,2.0000229392098845,15250
HD_141937,1,0.33334927466057707,75060
HD_142,1,1.9999857998482184,18297
HD_142022_A,1,2.0000139014882734,14329
HD_142415,1,1.9999904328142293,14345
HD_143105,1,1.9999808738430147,17646
HD_143361,1,1.999979033753334,14342
HD_143811_A,1,1.9999703146095271,14346
HD_144899,1,1.9999837259820197,13817
HD_145377,1,0.3333519588341005,75184
HD_145457,1,2.000022244101274,16207
HD_145934,1,2.0000513875856996,7802
HD_1461,1,1.9999629784797435,12968
HD_147018,1,2.0000025034096325,14342
HD_147379,1,1.9999791974623804,17637
HD_147513,1,1.999990431831975,14320
HD_14787,1,2.0001630175102036,12970
HD_147873,1,1.9999890907274676,14334
HD_148156,1,1.9999971385004756,14337
HD_149026,1,2.0000182211151696,15193
HD_150010,1,1.999997136372258,17652
HD_1502,1,2.000084227620391,11099
HD_150706,1,2.000018928993086,18412
HD_151450,1,0.33335531028569676,75562
HD_152079,1,2.0000132302811835,14342
HD_152843,1,1.9999977496263455,17236
HD_15337,1,2.0000313787386403,13023
HD_153557,1,2.000017215286789,18112
HD_153950,1,2.0000199358037207,14336
HD_154088,1,0.3333573232521303,75588
HD_154345,1,2.000019898478058,18204
HD_154391,1,1.999969497701386,18410
HD_154672,1,2.0000232898746617,14346
HD_154857,1,2.000023959444661,14342
HD_155358,1,2.000000766784069,14075
HD_155918,1,2.0000242957030423,14228
HD_156098,1,2.0000279827581835,14329
HD_156279,1,1.9999791368900333,18406
HD_156411,1,2.0000293251723633,14334
HD_156668,1,2.0000091486872407,14066
HD_156846,1,0.33335866370180156,75537
HD_158038,1,2.0000067902947194,9353
HD_158259,1,1.9999647668373655,13516
HD_158996,1,2.000023958462407,18350
HD_15906,1,1.9999723724322394,14816
HD_159868,1,2.0000427345803473,14335
HD_1605,1,1.999962252593832,13027
HD_160691,1,2.000034629672882,18337
HD_161178,1,2.0000069420530053,18409
HD_16175,1,1.9999937908141874,14774
HD_162020,1,2.0000420044380007,18292
HD_163607,1,1.9999762641236885,14281
HD_16417,1,2.0000236677151406,12882
HD_164509,1,0.33332781109493226,85390
HD_164595,1,1.999969922035234,19593
HD_164604,1,2.0001710936048767,13377
HD_164922,1,1.9999695867591072,19586
HD_165131,1,0.33336235042952467,75876
HD_165155,1,1.9999515384915867,17223
HD_1666,1,2.0000373492075596,14074
HD_166724,1,1.9999589152212138,17214
HD_167042,1,1.9999800359801156,14286
HD_16760,1,1.9999924520016066,14830
HD_167677,1,1.9999708885734435,12934
HD_167768,1,1.999972229677951,11785
HD_168009,1,1.999968805375829,18403
HD_168443,1,0.33333183571812697,94939
HD_168746,1,0.3333311638562009,91419
HD_168863,1,2.0001777971629053,13481
HD_1690,1,1.9999649894816685,12969
HD_16905,1,2.000006248254067,18299
HD_169142,1,2.0001791297545424,13376
HD_169830,1,1.999967631418258,17218
HD_17092,1,3.3333525618945714,11673
HD_171238,1,0.3333539665618446,89199
HD_17156,1,2.0000333547068294,14676
HD_173416,1,2.0000369710396626,16925
HD_174205,1,2.000017179598217,18420
HD_175167,1,1.999982384222676,17210
HD_175541,1,2.000008439499652,12177
HD_175607,1,1.9999837240175111,17209
HD_17674,1,1.9999890982580837,14751
HD_176986,1,0.33333652827423066,87033
HD_177565,1,1.9999937832835712,17186
HD_177830,1,2.0000195429020096,19597
HD_178911_B,1,1.9999867424849072,11956
HD_179079,1,1.9999501269921893,9628
HD_179949,1,0.33335798725602217,95946
HD_180053,1,2.000026585010346,19601
HD_18015,1,1.9999911485501798,14814
HD_180314,1,1.9999880826071603,11786
HD_180617,1,1.9999608551734127,9624
HD_180902,1,2.000149277737364,15686
HD_181234,1,1.9999528092012042,9807
HD_181342,1,2.0001499502541265,15689
HD_18143,1,1.9999890969484113,14758
HD_181433,1,1.9999729313349235,14562
HD_181720,1,2.0000071933463914,17206
