host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
Kepler-1251,0.9665754749294999,0.3173458205899672,7116285.135345707,0.0021692364583631276,1.3582571907396096e-07,0.00668680397399694,60,ok
Kepler-1252,0.03955218525321874,0.6040525439778356,,1.0003063592921272e-07,,0.004012191933626948,60,ok
Kepler-1253,0.9861661716629533,0.5569051699588747,101123.97357195013,0.0012854855101578585,9.752045643661962e-06,0.0008443752117101749,60,ok
Kepler-1254,0.5306783244242267,2.041764361656451,0.20087445807883247,0.025343100836166105,6.010481394063799,0.011519281831297407,60,ok
Kepler-1255,0.7961733798239841,0.7459580640558184,0.5767158153590222,0.008429892577605128,2.1875378323858152,0.0050895528195726795,60,ok
Kepler-1256,0.9999999812900966,0.3000000000000205,566963345.1525247,1.0000000029791523e-07,1.6909742301584146e-09,0.002420866679939397,60,T14 hit bound
Kepler-1258,0.17830570887952923,0.9145979969080691,,0.00027933369831644123,,0.0014468072489794259,60,ok
Kepler-1259,0.003146736237567782,0.3588935381234348,,0.003735144820635773,,0.011678807131317744,60,ok
Kepler-126,0.34510640371279117,1.0956668927521336,1.1924409663335394,7.106449171144453e-05,0.7777097151882261,0.00022914556225137126,60,ok
Kepler-1260,0.7894446435381446,0.550718619984474,1.496069674559902,0.005872593966973925,1.0058871005312233,0.008252454367424293,60,ok
Kepler-1261,0.4134955669332342,0.9946117129124612,0.935320295057264,0.017299167081488025,2.4455947015677624,0.017312024818209322,55,ok
Kepler-1262,0.7937302311454572,0.3000000000000006,36749054.17826528,0.03429944015723846,2.1598658188398174e-08,0.016489444986104915,60,T14 hit bound
Kepler-1263,0.6436816198076105,1.0399749998005843,0.6181258030535108,0.005666699949476477,1.812473714276138,0.005725035046681115,60,ok
Kepler-1264,0.9488593113348844,0.8228182847455021,1.5424013755320582,0.0026529167478565314,0.7718057625843683,0.003385966253329725,60,ok
Kepler-1265,0.8242530759612439,0.534432962900304,1.9707355647977254,0.006772017141791008,0.5561170828088731,0.011826111180820309,60,ok
