host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
NGTS-21,1.0,311.2583112,-35.4278412,1.005,0.0,15.210128,0.48,6.779308394419726e+18,0.0,0.0
NGTS-23,1.0,70.4322947,-40.0445299,0.992,0.0,13.940592,0.36,4.81646209193813e+18,0.0,0.0
NGTS-24,1.0,168.5638892,-37.9101328,0.999,0.0,13.04104,0.06,5.397086969654628e+18,0.0,0.0
NGTS-26,1.0,217.6832961,-31.7324526,1.043,0.0,14.713964,0.42,6.21664448152382e+18,0.0,0.0
NGTS-27,1.0,206.0265266,-32.5229747,0.994,0.0,13.335699,0.6,6.171451912217279e+18,0.0,0.0
NGTS-30,1.0,173.714867,-24.6054801,0.996,0.0,12.164569,1.6199999999999999,3.533836281547279e+18,0.0,0.0
NGTS-31,1.0,80.4212533,-38.656827,6.834,0.0,13.336307,0.24,4.819647205326046e+18,0.0,1.0
NGTS-33,1.0,107.8333348,-35.8505185,0.856,0.0,11.394209,0.24,5.590415817155428e+18,0.0,0.0
NGTS-34,1.0,162.4997176,-44.5478575,1.028,0.0,9.140714,1.98,5.387844681072435e+18,0.0,0.0
NGTS-35,1.0,170.276336,-26.0666162,1.05,0.0,12.701563,1.38,3.531943236058702e+18,0.0,0.0
NGTS-3_A,1.0,94.4447595,-35.706364,1.056,0.0,14.473876,0.36,2.8853505468952663e+18,0.0,0.0
NGTS-4,1.0,89.5988945,-30.8117992,1.018,0.0,12.899195,0.5399999999999999,2.8912482929068923e+18,0.0,0.0
NGTS-5,1.0,221.0582692,5.6053735,1.049,0.0,13.516322,0.42,1.159042833731814e+18,0.0,0.0
NGTS-6,1.0,75.795382,-30.3994612,1.075,0.0,13.801971,0.72,4.87569302384484e+18,0.0,0.0
NGTS-8,1.0,328.9759206,-14.0684399,1.123,0.0,13.49443,0.72,6.840435777723109e+18,0.0,0.0
NGTS-9,1.0,141.9206435,-19.3476477,0.894,0.0,12.644056,0.18,5.678340222972505e+18,0.0,0.0
NN_Ser,1.0,238.2337015,12.9120871,0.986,0.0,16.531082,1.98,1.1915044714361925e+18,0.0,0.0
NSVS_14256825,1.0,305.001946,4.6323715,0.944,0.0,13.220149,0.24,4.245906369913936e+18,0.0,0.0
NY_Vir,1.0,204.7005847,-2.0303873,0.985,0.0,13.366823,0.42,3.637481302758519e+18,0.0,0.0
OGLE-2003-BLG-235L,1.0,271.318125,-28.895,1.61,0.0,18.055496,109.68,4.05041168646302e+18,0.0,1.0
OGLE-2005-BLG-071L,1.0,267.540708,-34.6731944,,0.0,19.868069,105.0,4.0414875389668685e+18,0.0,
OGLE-2005-BLG-169L,1.0,271.522167,-30.7326389,1.008,0.0,18.579893,119.10000000000001,4.0499193156762824e+18,0.0,0.0
OGLE-2005-BLG-390L,1.0,268.579958,-30.3773056,1.829,0.0,17.263777,51.18,4.0561685962044867e+18,0.0,1.0
OGLE-2006-BLG-109L,1.0,268.143792,-30.0877778,1.31,0.0,18.106207,45.480000000000004,4.0563893875874714e+18,0.0,0.0
OGLE-2007-BLG-349L_A,1.0,271.351807,-26.4219437,1.167,0.0,19.805702,167.64000000000001,4.0633430084319606e+18,0.0,0.0
OGLE-2007-BLG-368L,1.0,269.108167,-32.2374167,1.038,0.0,17.16653,58.26,4.0435728271375237e+18,0.0,0.0
OGLE-2008-BLG-092L,1.0,267.540708,-34.6731944,,0.0,19.868069,105.0,4.0414875389668685e+18,0.0,
OGLE-2008-BLG-355L,1.0,269.786708,-30.7594722,,0.0,20.343302,50.22,4.044172443290849e+18,0.0,
OGLE-2011-BLG-0173L,1.0,269.315735,-28.2338619,1.055,0.0,17.3667,7.199999999999999,4.062660520793215e+18,0.0,0.0
OGLE-2011-BLG-0251L,1.0,264.559083,-27.1361389,1.056,0.0,17.222473,6.4799999999999995,4.060936147354925e+18,0.0,0.0
OGLE-2011-BLG-0265L,1.0,269.448833,-27.3945278,1.543,0.0,18.921402,3.54,4.0635666601205944e+18,0.0,1.0
OGLE-2012-BLG-0026L,1.0,263.577917,-27.14275,1.93,0.0,19.788986,3.9000000000000004,4.0613720650088264e+18,0.0,1.0
