host,label,st_logg,st_rho,rho_circ,rho_ratio
Kepler-855,1.0,4.04717,0.260518,27.178728308734364,2.0183913968253533
Kepler-856,1.0,4.30215,0.64846,11.370832203443909,1.2439090588415618
Kepler-857,1.0,4.4563,1.07037,39.717429330341766,1.5694472031478361
Kepler-858,1.0,4.48425,1.18243,15.694724117376834,1.1229782461690236
Kepler-859,1.0,4.6123,2.04084,9.04827735614242,0.646756946758171
Kepler-860,1.0,4.50759,1.2909,0.5832970138378889,-0.3450028477170448
Kepler-862,1.0,4.22583,0.524216,1.2532507803408441,0.3785277114510927
Kepler-863,1.0,4.27985,0.562368,0.7354658580998416,0.11654191626643529
Kepler-864,1.0,4.18422,0.416129,74.1008280797136,2.250595078465892
Kepler-865,1.0,4.5412,1.49683,1.401552164258316,-0.028563212495045447
Kepler-866,1.0,4.64186,2.35002,109.72710740714693,1.6692423722314504
Kepler-867,1.0,,,35.04558345181408,
Kepler-868,1.0,4.33319,0.696111,6359.276231478879,3.9607291935183273
Kepler-869,1.0,4.47944,1.16532,2988.960465649373,3.4090749705857566
Kepler-87,1.0,4.09213,0.30125,50.273318693400554,2.2224104996801213
Kepler-870,1.0,4.38986,0.838275,4943.157377870219,3.770617923217073
Kepler-872,1.0,4.54822,1.46297,1.5167414106491708,0.015676123726856134
Kepler-873,1.0,4.40734,0.857468,44.74695760384911,1.7175455909791053
Kepler-874,1.0,4.30579,0.623969,54.9536074357584,1.944833193386218
Kepler-875,1.0,4.36483,0.750665,10.367937088635884,1.1402461860723052
Kepler-876,1.0,4.45917,1.1736,64.9782602500455,1.7432479783818033
Kepler-877,1.0,,,65.7081294950631,
Kepler-878,1.0,4.28275,0.641918,19.613381891065128,1.485072930648271
Kepler-879,1.0,4.36571,0.778867,3.833855515606163,0.6921724383305626
Kepler-880,1.0,4.22893,0.400535,44.56353425672972,2.0463391545873573
Kepler-881,1.0,4.39401,0.826431,134.82020001962684,2.2125483676194215
Kepler-882,1.0,4.53496,1.45696,32.68580830337569,1.3509116006877675
Kepler-883,1.0,4.27152,0.531581,25.906996846639974,1.6878476224424435
