host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
TIC_177722855,177722855,26.25429105758667,completed,33.0,0.18097260388516018,Photocenter consistent with target (0.18 px from catalog position),
TIC_178959058,178959058,30.056380033493042,completed,64.0,0.2628232453266409,Photocenter consistent with target (0.26 px from catalog position),
TIC_179033846,179033846,27.609941005706787,completed,31.0,0.587096316307302,"Photocenter shifted 0.59 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_18017227,18017227,26.039406776428223,completed,48.0,4.861902957669292,"Photocenter shifted 4.86 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_179159972,179159972,30.012364149093628,completed,33.0,0.6668054100245265,"Photocenter shifted 0.67 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_182943944,182943944,27.511933088302612,completed,34.0,0.5825218276414142,"Photocenter shifted 0.58 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_183979262,183979262,25.613473892211914,completed,1.0,0.9458107042170582,"Photocenter shifted 0.95 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_184679932,184679932,23.503275871276855,completed,18.0,0.2562277476162177,Photocenter consistent with target (0.26 px from catalog position),
TIC_179155220,179155220,51.32362389564514,completed,33.0,0.37012642748277735,Borderline: photocenter 0.37 px from target -- weak evidence of a nearby contaminant,
TIC_185226925,185226925,15.997134923934937,completed,56.0,1.0340999080536395,"Photocenter shifted 1.03 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_184869170,184869170,32.346394062042236,completed,71.0,2.0482668241903235,"Photocenter shifted 2.05 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_185405474,185405474,15.311174869537354,completed,14.0,0.33520235097060525,Borderline: photocenter 0.34 px from target -- weak evidence of a nearby contaminant,
TIC_182470056,182470056,53.30530405044556,failed,,,,"Checked 2 available sector(s); none gave a trustworthy photocenter. sector 61: measured depth 287 ppm vs expected 4422 ppm -- ephemeris doesn't line up here; sector 62: measured depth -608 ppm vs expected 4422 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_186599508,186599508,35.91099500656128,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 18: measured depth -2103 ppm vs expected 733 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
TIC_187532854,187532854,25.89325785636902,completed,73.0,5.420763676345259,"Photocenter shifted 5.42 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_186000935,186000935,40.73430609703064,completed,41.0,1.911998854323264,"Photocenter shifted 1.91 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_184952758,184952758,62.02753734588623,completed,8.0,1.363458055732307,"Photocenter shifted 1.36 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_188593930,188593930,30.499994039535522,completed,29.0,3.6140099996994794,"Photocenter shifted 3.61 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_188989177,188989177,28.69635796546936,completed,5.0,0.8264646981056833,"Photocenter shifted 0.83 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_189620016,189620016,26.394551038742065,completed,62.0,1.4798880050701626,"Photocenter shifted 1.48 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_190271688,190271688,23.222150087356567,completed,38.0,2.688988936811261,"Photocenter shifted 2.69 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_190442486,190442486,18.942934036254883,completed,15.0,1.4264077684723555,"Photocenter shifted 1.43 px from target -- signal likely from a nearby contaminant, not the target star",
TIC_187029841,187029841,58.57819700241089,failed,,,,"Checked 3 available sector(s); none gave a trustworthy photocenter. sector 18: measured depth -5135 ppm vs expected 508 ppm -- ephemeris doesn't line up here; sector 58: measured depth 42 ppm vs expected 508 ppm -- ephemeris doesn't line up here; sector 85: measured depth -1834 ppm vs expected 508 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
