host,recon_err,var_oot_rms
Kepler-620,4.09025747103442e-05,0.0226822653373088
Kepler-621,0.0001719538904580986,0.0185561035678015
Kepler-622,1.8192412881035125e-05,0.01457543545591
Kepler-623,0.00018389666183793452,0.0218546122211091
Kepler-624,1.4695323784508219e-05,0.0090112928047293
Kepler-625,6.0446754559961846e-05,0.0134938229844827
Kepler-626,1.636035756291676e-05,0.008970674025072
Kepler-627,1.9683796153913136e-05,0.0129568814472182
Kepler-629,1.4216125236998778e-05,0.0055436170280985
Kepler-63,5.619713306259655e-06,0.0093038927437647
Kepler-630,2.492788166819082e-05,0.0100430288644012
Kepler-631,9.736331094245543e-06,0.0095199089531023
Kepler-632,1.5645442204004212e-05,0.0068337159956771
Kepler-633,1.8270828491040447e-05,0.0107238609622628
Kepler-634,1.5682123489568767e-05,0.0076690801807103
Kepler-635,9.236678579327418e-06,0.0059534651898314
Kepler-636,7.318236202991102e-05,0.0167102577427104
Kepler-637,2.0999262915211148e-05,0.0073884709967755
Kepler-638,1.1419438465054554e-05,0.0065369446579811
Kepler-639,7.9514722415297e-06,0.0063276485953039
Kepler-640,1.966980858014722e-05,0.0099606295760282
Kepler-641,1.4529340774060984e-05,0.0103168985996191
Kepler-642,1.3253839142635115e-05,0.0161441548888553
Kepler-643,1.914613926601305e-05,0.0078926387662747
Kepler-644,0.00021507236670004204,0.0677537746680815
Kepler-645,2.5915556761901826e-05,0.0126107064340854
Kepler-646,9.383780479765846e-06,0.0085532282376532
Kepler-647,2.1344025981306913e-05,0.0101851250220068
Kepler-648,2.807091482281976e-05,0.0085262432658384
Kepler-649,9.950430069238791e-06,0.0065149075698823
Kepler-65,5.399063240929536e-06,0.0015095062325956
Kepler-650,1.80148670096969e-05,0.0146291005306172
Kepler-651,1.7737348343871417e-05,0.0104696052246252
Kepler-652,4.030205309391022e-05,0.0136698583552429
Kepler-653,9.896218045923888e-06,0.0057112307620731
Kepler-654,1.4416801036531979e-05,0.0084833502201528
Kepler-655,2.5918384153555962e-05,0.0078263587672503
Kepler-656,0.0001112488389480859,0.0320558026039199
Kepler-657,0.0003300494463474024,0.0388143378640588
Kepler-658,3.774028937186813e-05,0.022552630057194
Kepler-659,0.0006853655140730552,0.0398905055003619
Kepler-660,9.535572553431848e-05,0.0303632739442077
Kepler-661,0.0004981800011591986,0.0385718614679762
Kepler-662,0.00041797736412263475,0.0355564678242746
Kepler-663,0.00034900266473414376,0.0721447256386345
Kepler-664,0.0001524713952676393,0.0368542302018708
Kepler-665,6.160619614092866e-05,0.0308964441034899
Kepler-666,5.2653141665359726e-05,0.0367994429940821
Kepler-667,0.00020546215637295973,0.0392400577475057
Kepler-668,8.280672136606881e-05,0.0255903098729036
Kepler-669,0.00019172784050169867,0.034180388250981
Kepler-670,8.849441201164154e-05,0.0267528962855533
Kepler-671,7.948748861963395e-05,0.0353079046664486
Kepler-672,3.887216553266626e-05,0.023065566605631
Kepler-673,0.00031543879231321625,0.0368477129918908
Kepler-674,2.2538369421454263e-05,0.0156972607248275
Kepler-675,0.00016557970957364887,0.0388991377525726
Kepler-676,0.0002704875805648044,0.0411080514289253
Kepler-677,0.0006449924549087882,0.051117871513701
Kepler-678,6.884180584165733e-05,0.0270739146360187
Kepler-679,8.90266192072886e-05,0.0431409603563954
Kepler-68,8.349042275312968e-06,0.0008653499148507
Kepler-680,0.00029568682293756865,0.0480063425569451
Kepler-681,0.00036115452166995965,0.0334789124663986
Kepler-682,0.00011539660317794187,0.0291315343901714
Kepler-683,2.8892903856103658e-05,0.0230538032378699
Kepler-684,0.00021936695702606812,0.0434797923233283
Kepler-685,6.802642747061327e-05,0.0369383921544144
Kepler-686,0.00012769918430421967,0.0458213847457222
Kepler-687,6.392550858436152e-05,0.0298743153366181
Kepler-688,0.0006647747723036446,0.0662939365528359
Kepler-69,1.2263755365893303e-05,0.0099511283395267
Kepler-691,0.00010251252933812793,0.03967313320489
Kepler-693,0.000821247449493967,0.0589577426021513
Kepler-694,0.00012177821190562099,0.0301064400223914
Kepler-695,0.00012439686724974308,0.0442051320395756
Kepler-696,0.00025316112078144215,0.0430964562837885
Kepler-697,7.056863159959903e-05,0.0344919461875616
Kepler-698,0.00020093773127882741,0.0482827910795604
Kepler-7,7.973279934958555e-06,0.0042413598998609
Kepler-700,0.00039241871127160266,0.0367907266799174
Kepler-701,0.0006945124696358107,0.0255238673921244
Kepler-702,0.00011012069808202796,0.0394083712997929
Kepler-703,0.000107412744910107,0.0436480826223867
Kepler-704,0.00034924340798170306,0.0265424600345379
Kepler-705,0.0008454952912870795,0.0636943924988085
Kepler-707,0.00022966848518990446,0.0274821027746338
Kepler-709,5.340765301298234e-05,0.025471568792377
Kepler-710,0.0001315634035563562,0.0264223593479133
Kepler-711,0.00023331798911385704,0.0383393654062841
Kepler-713,2.70209866357618e-05,0.023211603639981
Kepler-714,6.812297306169057e-05,0.0330739197051369
Kepler-715,5.582264202530496e-05,0.0245586423799546
Kepler-716,0.00020620773284463212,0.0291516174298565
Kepler-718,0.00046985276276245713,0.0799303809346756
Kepler-719,0.0001865576377895195,0.0635550741721168
Kepler-720,0.0003510627939249389,0.0318825093796518
Kepler-721,0.0002504687818145612,0.0317234687593059
Kepler-723,4.8526305363338906e-05,0.0237183160787567
Kepler-724,7.11922039045021e-05,0.0262666827199853
Kepler-725,2.6683620490075555e-05,0.0209999529504014
Kepler-726,7.602049936394906e-05,0.0217633737276684
Kepler-727,7.002528400334995e-05,0.0293848266451343
Kepler-729,0.002776724722934887,0.04388345331361
Kepler-730,0.00014083514724916313,0.0443656650365597
Kepler-731,8.79790395629243e-05,0.0431534935373456
Kepler-732,1.2488975357882737e-05,0.0127889102519526
Kepler-733,7.544914387835888e-05,0.0350078496984506
Kepler-734,3.863552615257504e-05,0.0152815266952886
Kepler-735,0.0002270282511744881,0.027769568229613
Kepler-736,0.00021539816771110054,0.0391370210779275
Kepler-737,2.282309355905454e-05,0.0184653480958654
Kepler-738,0.0003850265929941088,0.0413265018763184
Kepler-739,0.0004206718585919589,0.0414862617056987
