host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_150108811,3.0,84,6,217.7487904164136,0.579531,0.571058,False,1.6038241322968396,72.58293013880454,0.5793560123566238,0.35121066226856384,108.8669878156351,True,52.25058704533553,22.55378117163712,14.5425524131429,False,,0.7183811832912482,True,ok,510.36598562495783
TIC_150148658,3.0,1200,1,217.74882675298295,1.0015,0.92,False,2.37867651831457,72.58294225099432,3.7841712329442485,0.628470242433287,108.86781615105969,True,2.999682341229773,30.974482826037487,28.161048787732952,True,exact,0.6453879480257068,True,ok,402.03975533274934
TIC_31527078,3.0,1200,8,216.45826986215116,1.17666,1.04,False,2.956512597731394,72.15275662071706,4.446013902103025,0.75289583855849,108.21941272278119,True,3.000106603455454,31.19722646839873,27.628618955995364,True,exact,0.4071227123795772,True,ok,307.82278562523425
TIC_150272131,3.0,2500,0,215.4882395559739,1.75116,1.7,False,3.683845079406842,71.82941318532464,9.550476408,1.0692067734697968,107.72891917839219,True,3.0001462327898243,38.609454182190476,62.75884479237314,True,exact,0.5128531775113134,True,ok,246.557139582932
TIC_31512788,3.0,2500,3,216.42912539900226,1.15226,1.05,False,2.4560984566688324,72.14304179966742,6.284195588,0.7260992067446947,108.20622937661881,True,2.9998604521357604,45.51842942095894,67.48454855624846,True,exact,0.578420049220742,True,ok,331.72185208275914
TIC_41173667,3.0,2500,8,216.8416941133928,9.05944,1.0,False,10.47072572601847,72.28056470446427,49.408373872,16.346730830761096,108.40973595346928,True,21.005301109392995,7.180321753664306,38.532761112269135,False,,0.8952916361630738,True,ok,18.813000790774822
TIC_374910243,3.0,2500,7,216.0354625243358,2.18139,1.44,False,4.720703279873116,72.01182084144527,11.896864782,1.6149446940638539,108.01148125381644,True,2.9989509503411154,41.350126771493095,159.73563420533497,True,exact,0.33195968424678035,True,ok,179.284354750067
TIC_31527078,3.0,2500,5,216.45826986215116,1.17666,1.04,False,2.8773968737170326,72.15275662071706,6.417268308,0.75289583855849,108.21941272278119,True,3.000106603455454,42.58370126638411,52.35441230799622,True,exact,0.5847914134720176,True,ok,359.54724154109135
TIC_41033344,3.0,2500,9,218.12739840775703,2.67922,1.19,False,6.616024886346805,72.70913280258567,14.611930035999999,2.416872159509487,109.0539769610588,True,2.9989320674460846,30.86552685143218,122.64719083064483,True,exact,0.392428798923196,True,ok,130.86111979186535
TIC_41173537,3.0,2500,2,216.036528139623,0.679786,0.69,False,1.9011503926511817,72.012176046541,3.7074168868,0.40585638536610835,108.0106251850119,True,3.000312948599563,38.400287668748874,41.5697637797862,True,exact,0.7732386858674587,True,ok,589.1579421251081
