tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
64553698,1397.01,FP,338.452968,57.563539,1.14,6057.0
66783360,1399.01,FP,341.970903,49.918072,1.38,6483.0
258801269,1400.01,FP,287.025089,66.290697,1.62,6004.0
259126549,1401.01,FP,291.411851,69.11298,1.43,6149.2
259129875,1402.01,FP,291.880247,68.014695,2.32,7111.0
328750515,1403.01,FP,332.287103,57.938972,2.0780001,7577.0
387834907,1405.01,FP,315.669109,70.0803,,5195.1
279177746,1353.01,FP,313.885156,46.502085,1.87,9706.0
365683032,1354.01,FP,312.179957,51.910696,1.65,9224.0
357972447,1357.01,FP,316.955806,50.500883,1.37,7387.0
275501623,1358.01,FP,320.116115,61.12025,2.45,10445.0
416624606,1359.01,FP,310.038053,50.323742,2.11,5915.0
330468175,1360.01,FP,315.166199,47.785991,2.36,8999.0
230017325,1363.01,FP,291.469121,61.776068,3.51,6012.0
367099243,1365.01,FP,317.729186,72.615356,1.23,6046.3
120602501,1366.01,FP,337.686813,40.003763,1.73364,5705.0
129539786,1367.01,FP,343.953614,39.645117,1.7,6255.8
136971594,1368.01,FP,317.966114,43.592849,1.72,5717.0
155005217,1369.01,FP,345.243825,42.549318,1.8,9139.0
155114483,1370.01,FP,345.748458,44.564848,1.7,8728.0
164150539,1372.01,FP,335.753569,30.572726,1.55,5772.0
190430205,1374.01,FP,324.922517,46.220215,4.94,9222.0
190442486,1375.01,FP,324.935562,41.950794,1.51,7465.0
190743990,1376.01,FP,325.787112,45.646806,1.45,6026.0
240613164,1377.01,FP,326.305217,45.812547,,9458.2
249812036,1378.01,FP,339.785541,49.426562,2.92,8224.0
274170255,1380.01,FP,316.446344,46.845151,3.84,5197.0
313506357,1383.01,FP,347.757547,45.93369,1.39,6023.1
328167090,1384.01,FP,331.663464,55.686255,1.93,5128.9
329864959,1385.01,FP,333.245043,53.98452,,
329277372,1421.01,FP,332.630396,57.282437,,5780.0
346418409,1423.01,FP,344.609651,39.658712,0.696945,4993.0
418959198,1424.01,FP,344.907267,36.517666,0.799965,4528.99
128501004,1426.01,FP,339.03342,37.841042,1.1,5558.0
2041563029,1427.01,FP,346.517442,43.898633,0.63,5094.4
377304435,1428.01,FP,287.050161,55.303691,2.14,6314.0
138968089,1429.01,FP,295.101088,40.986723,1.47292,5854.65
233541860,1486.01,FP,281.197877,62.685644,0.71,4154.0
354594208,1492.01,FP,1.887805,32.43753,1.25,5904.0
431148743,1495.01,FP,334.981312,53.662497,,3294.0
384045439,1496.01,FP,327.275942,53.293768,0.68,5113.0
371673488,1497.01,FP,343.233217,59.850951,1.85,8911.0
316402246,1498.01,FP,321.97348,54.519818,1.6,8014.0
414870287,1499.01,FP,336.872671,59.43379,,3295.0
377420580,1500.01,FP,341.964758,60.173635,,4980.0
329145325,1501.01,FP,332.712572,59.650554,1.58,7274.0
410528770,1502.01,FP,328.215897,60.569156,2.41,5647.0
428065977,1503.01,FP,339.120372,52.115714,1.46,6928.0
326114850,1504.01,FP,331.569908,52.701917,1.5,6194.0
331034236,1505.01,FP,326.091506,58.551567,2.0707099,6338.0
64836837,1506.01,FP,338.796529,55.031026,3.37,9195.0
430677414,1507.01,FP,333.669705,53.239557,1.77,7960.5
415741431,1508.01,FP,339.14435,58.276061,3.87,8326.0
272828463,1509.01,FP,356.588834,60.487025,2.91,7856.0
382302241,151.01,FP,83.349121,-58.745093,0.79,5037.6
377739433,1510.01,FP,348.574188,65.957972,3.4,6524.0
376682699,1511.01,FP,340.352259,69.074447,2.0,9218.0
434718964,1512.01,FP,345.488066,64.067337,,
269509393,1513.01,FP,350.373796,60.175637,1.55,6221.0
270238522,1514.01,FP,351.648417,64.304699,3.64,7339.8
470709084,1515.01,FP,357.368097,61.682819,2.32,6370.0
455962313,1517.01,FP,340.036593,65.439728,,
272049972,1519.01,FP,355.416664,62.921485,1.58,6083.0
