tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
166606391,104,313.358046256304,-49.3828986782313,1.17979,0.0529045,1.25,0.187671,6331.0
328153490,104,271.088037710419,-37.939141000201,0.483642,0.0145231,0.481658,0.0203978,3576.0
23592170,104,269.273520875317,-43.4596292732103,0.223779,0.0179139,0.193065,0.0264504,3247.0
319606825,104,291.356793666674,-55.4305628963346,0.18,0.104,0.47,0.03,31000.0
213207249,104,257.220314382263,-50.564535772206,,,,,
393483292,104,35.5244896665106,-44.615973579556,0.681057,0.0223827,0.649936,0.0214268,3977.0
101277769,104,299.939748787166,-50.3471939774588,0.607927,0.0180368,0.594508,0.0202673,3824.0
118826494,104,11.1542159073009,-36.9437659191086,73.5664,,,,3665.0
469505700,104,269.909159610753,-40.9088817684878,9.66702,,,,4801.0
396170579,104,298.841015126293,-71.5465027255025,,,,,
166425461,104,298.556310959338,-49.4617479866686,,,,,3023.0
229142860,104,26.5248571256357,-50.816255286292,75.6434,,,,3724.0
144046368,104,336.852866747388,-49.3659451259633,1.15595,0.0648643,1.01,0.123851,5666.57
101180761,104,299.356823251714,-53.2284843652629,0.18,0.104,0.47,0.03,31000.0
123050567,104,255.622986299584,-46.0979452267935,0.580019,0.0175094,0.571472,0.0204548,3669.0
56729707,104,272.206046494922,-33.2340308015632,38.8501,,,,4016.0
220371163,104,308.476972618701,-54.5526137260809,0.18,0.104,0.47,0.03,31000.0
60813046,104,273.722154257492,-33.2582676643321,19.8741,,,,4738.0
144381527,104,356.819246414594,-46.7125616758874,1.75413,0.0617488,1.9,0.297776,7928.0
96745915,104,265.099272995934,-49.4155844747429,1.62138,0.0651482,1.39,0.229893,6620.0
120401211,104,281.100214162196,-57.1541683741525,0.573054,0.0241234,0.565526,0.0250454,3600.0
246417791,104,268.793675057423,-37.8904195230226,0.508261,0.0162547,0.506161,0.0211176,3683.0
80421028,104,10.5965821649336,-46.5853017966616,0.804511,0.0493216,0.84,0.0970242,5047.0
320688368,104,297.780958423247,-56.7992279642385,0.18,0.104,0.47,0.03,31000.0
219327284,104,333.520318568482,-59.4948019090225,1.27151,0.0558241,1.28,0.196619,6394.0
410155200,104,353.042917187859,-69.4482420206624,0.217343,0.00661132,0.186436,0.0201111,2933.0
229153733,104,28.3841459511199,-53.3146176707433,12.9819,,,,4454.0
214376691,104,261.094548807401,-48.5636255590262,0.337893,0.0130256,0.320212,0.0223449,3382.0
419744996,104,325.194378859124,-69.3745943306171,3.71342,0.134108,1.75,0.275906,7553.0
55856762,104,23.1570103325013,-27.7409872871873,,,,,
140067390,104,330.160985799369,-50.0382795903465,,,,,
409948637,104,316.622679077043,-68.6459107009583,70.2196,,,,3807.0
89574346,104,275.686174297822,-42.2974363400867,0.627381,,0.65,,4174.0
631619263,104,22.4361274489596,-57.0681391735506,,,,,
246322977,104,268.574548402398,-39.6289719125147,,,,,12147.0
158595145,104,22.0574323360971,-53.0031376139573,,,,,
631769128,104,35.9731601213634,-48.4546787131312,,,,,
314440582,104,278.84532066267,-37.9082079125214,2.56142,0.084,2.18,0.31422,8693.0
1518979716,104,265.391540251869,-48.9100876646651,,,,,
632229980,104,24.8118422202906,-26.7899352821233,,,,,
129766612,104,35.7774910174234,-37.5761417167646,60.5671,,,,3818.0
201233348,104,359.604152074743,-50.9090577441325,9.78139,,,,4958.0
1989725292,104,317.407653449343,-49.5326444677127,,,,,
91639155,104,39.7274685908279,-38.0687263704098,1.38585,0.066995,1.05,0.13406,5820.0
80062745,104,297.868393378392,-46.965519571017,10.6984,,,,5112.0
1513445543,104,267.97403130105,-54.1613857651857,,,,,
237316813,104,344.230719514751,-61.673914186738,6.32161,,,,4643.0
57849979,104,274.863191349402,-37.1129715444648,0.734723,0.0532035,0.75,0.0911379,4710.0
175517571,104,45.641653002281,-40.2445426471446,1.54764,0.0671156,1.31,0.206151,6459.0
11652849,104,22.1951370967466,-27.5639232590643,0.761186,0.0486834,0.822,0.0946284,4977.0
143507479,104,284.685168212266,-46.4706175366938,0.514834,0.0188651,0.512523,0.0229027,3796.0
2027293051,104,324.394480863313,-49.5243811164575,,,,,
63523812,104,271.159683568117,-44.07711534243,45.8723,,,,4018.0
41858056,104,20.1219973676735,-41.7650209183228,,,,,
118114124,104,10.2276824780595,-40.5313515106216,,,,,
632087263,104,25.0956619419712,-37.6292321317832,,,,,
369984911,104,306.305749009088,-47.4907514134461,0.508988,0.0153626,0.506868,0.020459,3746.0
2055644991,104,359.252986748574,-45.0294795352112,,,,,
183594679,104,18.1242905544034,-41.292019867579,0.997927,0.0468995,1.08,0.140317,5937.0
183591757,104,17.5493806355613,-36.4915767838272,0.739918,0.0637688,0.68,0.0820135,4358.0
207109256,104,33.479197783948,-48.0630736448844,0.319997,0.00978255,0.299553,0.0203347,3291.0
316832189,104,324.130986598493,-54.1911259114249,4.00397,0.196251,1.57,0.253233,7084.0
403123914,104,324.744516308502,-62.1661538290472,10.432,,,,4847.0
616319103,104,8.42882329062882,-44.4478425041116,,,,,
60464650,104,276.527894390613,-37.9119085262016,2.04458,0.112071,2.24,0.324393,8894.0
147458059,104,41.3704489558343,-36.7719131047223,1.14396,0.0504121,1.2,0.167388,6213.0
101430261,104,300.898542674836,-49.3854399644776,0.18,0.104,0.47,0.03,31000.0
314324611,104,278.705507196895,-39.061141550543,0.532895,0.0166365,0.529609,0.0208383,3672.0
231828950,104,23.0339419881997,-60.3982125300823,0.278478,0.00832417,0.252266,0.0201415,3047.0
1988864013,104,315.760112350672,-61.907144406705,,,,,
31122542,104,265.446871677315,-46.7171094216513,0.284127,0.0141113,0.258614,0.0238169,3248.0
101545865,104,301.964326736645,-49.9836667348024,0.18,0.104,0.47,0.03,31000.0
91638505,104,39.6503323920164,-38.161187983538,2.4382,0.116176,1.21,0.175711,6237.0
1818156579,104,284.647887390251,-50.9412150295638,,,,,
424854383,104,291.304402255703,-52.1901437690948,1.20949,,1.06,,5846.0
41841748,104,19.858288145673,-40.6384094322433,0.251355,0.0180692,0.222329,0.0268698,3003.0
219945301,104,289.856352678539,-56.8309973890373,,,,,
267082507,104,359.687077060535,-69.5044885408465,10.2906,,,,4758.0
91635430,104,39.2514293091178,-37.3910585914222,1.4097,0.0724949,0.99,0.129257,5614.0
