host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
TIC_9727392,18298,18298,17574,17574,3.956716581047104,5020.994650000001,pdcsap_flux
TIC_90448944,84170,79556,79536,79536,5.505524533681838,24806.4625,pdcsap_flux
TIC_9804616,15650,14630,14630,14630,6.51757188498403,364.9443,pdcsap_flux
TIC_90544017,84669,79648,79582,79582,6.008102138917426,53621.723,pdcsap_flux
TIC_9837861,10340,7213,7213,7213,30.24177949709864,17146.139,pdcsap_flux
TIC_98494121,1224,1005,1004,1004,17.97385620915033,6615.259050000001,pdcsap_flux
TIC_9830791,16806,11937,11937,11937,28.971795787218845,835.3037,pdcsap_flux
TIC_98286422,18696,15462,15462,15462,17.29781771501926,893.1309,pdcsap_flux
TIC_98613492,15342,12506,12506,12506,18.48520401512189,2961.2552,pdcsap_flux
TIC_99330090,18987,15944,15652,15652,17.564649497024277,5774.711649999999,pdcsap_flux
TIC_95010343,101134,86217,86206,86206,14.760614630094723,34019.074,pdcsap_flux
TIC_96246348,104592,100160,100091,100091,4.3033884044668795,143435.5,pdcsap_flux
TIC_97735297,100658,86660,86645,86645,13.921397206382002,28016.787,pdcsap_flux
TIC_97700520,104599,100927,100894,100894,3.542098872838173,151739.135,pdcsap_flux
TIC_125405602,16108,11701,11701,11701,27.359076235410974,4964.5757,pdcsap_flux
TIC_13499636,17456,12244,12244,12244,29.85792850595783,9319.676,pdcsap_flux
TIC_10974783,16749,16749,16749,16749,0.0,1416.4812,pdcsap_flux
TIC_102283403,17446,17446,17445,17445,0.00573197294508887,36360.008,pdcsap_flux
TIC_103604037,19611,19611,19611,19611,0.0,5116.7124,pdcsap_flux
TIC_129991079,19468,18785,18785,18785,3.508321347852883,10786.688,pdcsap_flux
TIC_143022742,15691,14586,14586,14586,7.042253521126762,1586.10565,pdcsap_flux
TIC_144138509,16915,15982,15982,15982,5.51581436594738,9884.0245,pdcsap_flux
TIC_150151262,13540,12642,12642,12642,6.632200886262929,17556.048499999997,pdcsap_flux
TIC_150247134,15690,14630,14602,14602,6.934353091140855,3605.6289,pdcsap_flux
TIC_149539158,18277,16760,16759,16759,8.305520599660776,36220.27,pdcsap_flux
TIC_153949511,18420,17086,17086,17086,7.2421281216069495,19536.259,pdcsap_flux
TIC_159244568,17052,16500,16500,16500,3.2371569317382165,6227.8565,pdcsap_flux
TIC_161477033,15692,14742,14742,14742,6.05404027529951,15378.4795,pdcsap_flux
TIC_160074939,18298,18298,18298,18298,0.0,52602.517,pdcsap_flux
TIC_165551882,18423,14078,14077,14077,23.590077620365847,1404.6562,pdcsap_flux
TIC_16920150,15114,12695,12686,12686,16.0645758899034,13972.544,pdcsap_flux
TIC_176957796,18278,18278,18277,18277,0.005471058102635151,8293.509,pdcsap_flux
TIC_19451711,16338,16338,16335,16335,0.01836210062431398,184761.34,pdcsap_flux
TIC_198211976,18423,16334,16334,16334,11.339087010801718,5012.2525000000005,pdcsap_flux
TIC_198384408,18410,18410,18409,18409,0.00543183052689189,475430.6,pdcsap_flux
TIC_200807066,13540,12973,12973,12973,4.187592319054656,44914.29,pdcsap_flux
TIC_198457103,18412,18412,18406,18406,0.032587442971976355,96500.47,pdcsap_flux
TIC_100504381,99310,82064,82064,82064,17.365824186889533,34385.002,pdcsap_flux
TIC_20303110,17191,12566,12544,12544,27.03158629515444,2057.1478500000003,pdcsap_flux
TIC_2016376984,17991,17991,17991,17991,0.0,1410.3938,pdcsap_flux
TIC_219380235,18567,16626,16626,16626,10.454031345936343,7103.1606,pdcsap_flux
TIC_219401954,13541,12939,12938,12938,4.453142308544422,21910.763,pdcsap_flux
TIC_141985686,113420,78651,78633,78633,30.670957503085873,18610.246,pdcsap_flux
TIC_224600500,18414,18414,18409,18409,0.027153252959699614,323000.4,pdcsap_flux
