host,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
LP_890-9,14662,5.544415768416235,5.099787992269646,,1.804908506840763,0.0065149535593199,1411.6866377237452,0.0075110562163929,0.9920557329622964,0.9888526321402308,0.0027246773748093,0.9885595836133496,0.9891142826106608,0.0722605431083442,0.0801556359013061,3.7630606039167938,14.0,10.0,4.0,22.27416362502845
LSPM_J21160234,13874,4.389445465980264,4.348833687042669,,3.2213082455340185,0.0132441340456916,2797.3982932939803,0.0227251564881354,0.9996196104099064,0.9996765913683722,8.07668774655415e-05,0.9996737113252868,0.9996803354243826,0.0285206134587788,0.0175396716328465,3.8163063287113665,9.0,7.0,2.0,25.16866741600097
LTT_1445_A,14811,12.474816208958403,8.745610674224325,8.0032e-05,5.367654705162461,0.0277496874005342,1412.6911969009882,0.0341217110982919,0.9982041700712048,0.998252450398173,0.0001236879501768,0.9984663287108636,0.9980429369490068,1.2505204339127145,0.0381100702559472,14.457059007077593,5.0,4.0,1.0,23.75108845901559
LTT_3780,15578,16.180786282917314,11.916318019646845,8.0032e-05,0.7687307334232862,0.0022173355689015,1544.6748749921233,0.0277626111798427,0.9990249041393272,0.9991341347203092,7.190833673164592e-05,0.9992218901818148,0.9990328784185722,0.9316455339931704,0.0280821789987712,11.470884567997754,31.0,28.0,3.0,23.57334183299099
LTT_9779,18298,22.632369798862197,22.517677501343385,8.0032e-05,0.791617474541023,0.0020205163562087,1354.2231048137703,0.0264496685395881,0.9987157973345944,0.9988655580192308,3.2472698915068876e-05,0.9988662586739412,0.998864843397981,0.0154152584323389,0.0322273006261262,44.54464296542558,35.0,33.0,2.0,36.63605487497989
L_168-9,18276,17.84153467631929,17.180500417025815,8.0032e-05,1.400762858109707,0.0042507225167349,1326.0403261845536,0.0415497303654323,0.999498124214429,0.999549774292083,3.090113050734932e-05,0.9994962191223034,0.9996047548846329,1.245948026383758,0.0201467625583014,14.116374521129542,20.0,19.0,1.0,29.326589459000388
L_363-38,18298,6.899417006116562,6.104954994938219,0.010964386,4.782097235577738,0.0222295634277402,1356.8119619167555,0.0369358353321224,0.9993256271672308,0.999415496308482,0.0001125564424495,0.9994439227717772,0.999386700670339,0.1799166342893922,0.0233537797476567,5.125164491314076,6.0,6.0,0.0,30.616064250003543
L_98-59,17577,19.978886131639612,17.753822980799303,8.0032e-05,3.691440128440994,0.0163633427948257,1356.201208162993,0.0456905799453992,0.9985807545800358,0.9986476154220144,5.800862160273665e-05,0.9986688046312224,0.9986071632953448,0.4021719617286798,0.0338794145964188,23.85304759848549,7.0,6.0,1.0,32.54978750000009
LkCa_15,15254,6.5273728090910765,5.6364282221813635,0.021608643,11.04175657274549,0.0778309830961578,2476.1751453053384,0.0836691883983728,0.9699634457986688,0.9735536324700031,0.0016830383148791,0.9868160536511454,0.958539570755502,10.257183026720604,0.1558591133374196,29.52687905221429,2.0,2.0,0.0,23.565266958990833
Luhman_16_A,15945,0.0,0.0,,,-5.7462350031641565,0.0,,1.0,,,,,,,,,,,6.09824529098114
Lupus-TR-3,13582,4.9436866917491145,2.622945119852254,,5.959652494791779,0.0513435918943923,1634.4356628131773,0.0251304681410216,0.787817247269364,1.2809512392387945,0.1269910902039205,1.420592134996959,1.034526129077327,1.2594227985126445,0.4142496846962009,-2.07057127026624,4.0,3.0,1.0,11.493258292000974
MASCARA-1,80080,16.969822114596663,16.780403660630935,8.0032e-05,12.885284385910134,0.0840903327912991,2798.3559440331155,0.0252859289882075,0.9987761895293714,0.9981955872119058,0.0001157027285806,0.9984647164994942,0.9972267217765876,5.813928007191124,0.0314603992047282,19.783930362266968,3.0,3.0,0.0,78.58616537501803
MASCARA-4,15029,9.350025354763286,8.587230844889039,8.0032e-05,2.8198271109364224,0.0187450739805838,2282.393051387428,0.0354111169266408,0.9997746130229888,0.9996684676273146,0.0001153479796068,0.999734115332962,0.9995699960688438,0.5049161555713835,0.0135011746769621,5.043038417350276,9.0,4.0,5.0,16.16350662498735
MOA-2007-BLG-192L,16205,0.0,0.0,,,-6.121016949376155,0.0,,1.0,,,,,,,,,,,7.586059291003039
MOA-2007-BLG-400L,16170,0.0,0.0,,,-6.0763887454435945,0.0,,1.0,,,,,,,,,,,5.485153457993874
MOA-2008-BLG-310L,16081,0.0,0.0,,,-6.119618182458733,0.0,,1.0,,,,,,,,,,,5.340289540996309
MOA-2008-BLG-379L,16072,0.0,0.0,,,-6.108646704682424,0.0,,1.0,,,,,,,,,,,4.579456541978288
MOA-2009-BLG-319L,16203,0.0,0.0,,,-5.432542706602685,0.0,,1.0,,,,,,,,,,,4.834926916984841
MOA-2009-BLG-387L,16069,0.0,0.0,,,-6.119308070967397,0.0,,1.0,,,,,,,,,,,4.073787999979686
MOA-2010-BLG-117L,16203,0.0,0.0,,,-6.120706990592076,0.0,,1.0,,,,,,,,,,,7.180187541991472
MOA-2010-BLG-328L,16069,0.0,0.0,,,-6.120996833270458,0.0,,1.0,,,,,,,,,,,7.854128750012023
