host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
DMPP-6,1,Success,7.33829654029292e-08,7.407181738157409e-05,1.326428394388124e-05,-0.1256617780455985,44.059818457986694
DMPP-7,1,Success,1.924494024784008e-07,0.0001617741249741,1.2091482298748346e-05,,45.282554000034
DMPP-8,1,Success,1.6882354970222029e-07,5.080263136113297e-05,-3.7433402291231488e-06,,45.41926658299053
DMPP-9,1,Success,3.246675438208659e-07,0.0003289236766384,5.876966218787416e-06,,54.17966733401408
DS_Tuc_A,1,Success,6.93189776335156e-07,0.0025609900639252,1.048009309556619e-06,,49.58464037498925
EPIC_201170410,1,Success,0.0028313115807102,0.0027809100936594,0.0008861192040815,0.1772407984882317,45.996415000001434
EPIC_201238110,1,Success,0.0002861298026596,0.002665213303857,0.0003495839147655,,46.60875287500676
EPIC_201427007,1,Success,0.0001361880739778,0.0033298900298124,0.0009103477766991,-1.0359268102109953,29.883909708005376
EPIC_201497682,1,Success,5.718741856622254e-05,0.0013894265109662,-7.987875791748422e-05,6.549841836919313,69.17107600002782
EPIC_201595106,1,Success,4.206501586520015e-06,0.0005519597458294,3.5152434045726544e-05,-0.0009381479317853,74.1026764580165
EPIC_201757695,1,Success,0.0003019188989131,0.0042454767562283,0.0009646915810401,1.9064730575369828,67.25275174999842
EPIC_201841433,1,Success,0.000411556976882,0.0053328408422187,0.0004724152204811,,46.386959916038904
EPIC_206024342,1,Success,2.6516898273437023e-05,0.0032347486911998,-8.1253765004341e-05,,36.46274608396925
EPIC_206032309,1,Success,0.0007399746593475,0.0024243387264223,-0.0002477715218676,-0.6155647396028358,32.90392587496899
EPIC_206042996,1,Success,0.0012947960069667,0.0135031329045172,0.0020833652881223,,34.78293433395447
EPIC_206317286,1,Success,4.552483984158955e-05,0.0021447203301928,0.0002257428807174,,43.38861041696509
EPIC_211822797,1,Success,0.0001080298371874,0.0018405201438919,0.000576513515113,,55.179010915977415
EPIC_211945201,1,Success,8.728447814659567e-07,0.0001941560432822,-3.666764040177739e-06,,49.18588591599837
