tic_id,sector,n_sectors_observed,sectors_observed,st_rad,st_mass,st_teff
1988815765,103,3,"103,102,101",,,
403237836,103,3,"103,102,101",0.619429,0.603659,3530.0
371837199,103,3,"103,102,101",2.59819,2.35,9263.0
1688912454,103,3,"103,102,101",,,
464420341,103,3,"103,102,101",2.48391,1.71,7448.0
1688336549,103,3,"103,102,101",,,
1688534307,103,3,"103,102,101",,,
317058444,103,3,"103,102,101",0.18,0.47,31000.0
300872489,103,3,"103,102,101",60.3034,,3748.0
270245472,103,3,"103,102,101",19.4574,,4711.0
372301002,103,3,"103,102,101",8.76143,,4977.0
265469420,103,3,"103,102,101",1.65575,1.35,6543.0
1816080118,103,3,"103,102,101",,,
392758970,103,3,"103,102,101",2.42631,,5325.0
1140477485,103,3,"103,102,101",,,
2026303220,103,3,"103,102,101",,,
361966174,103,3,"103,102,101",0.603275,0.43,3447.0
341362242,103,3,"103,102,101",12.3364,,5165.0
277125572,103,3,"103,102,101",19.8609,,4515.0
392762103,103,3,"103,102,101",0.976033,1.01,5696.13
341311287,103,3,"103,102,101",19.2143,,4468.0
398447122,103,3,"103,102,101",0.18,0.47,31000.0
39276230,103,3,"103,102,101",0.928401,0.96,5498.0
1311019215,103,3,"103,102,101",,,
2026150531,103,3,"103,102,101",,,
271579973,103,3,"103,102,101",26.0291,,4278.0
402885783,103,3,"103,102,101",4.71984,2.06,8345.0
265285561,103,3,"103,102,101",3.60556,,4913.0
380829837,103,3,"103,102,101",,,
406242857,103,3,"103,102,101",0.18,0.47,31000.0
339401388,103,3,"103,102,101",,,
304663241,103,3,"103,102,101",14.3422,,4524.0
304482614,103,3,"103,102,101",0.470918,0.468592,3234.0
1815902326,103,3,"103,102,101",,,
411978510,103,3,"103,102,101",50.0077,,3644.0
1922731130,103,3,"103,102,101",,,
410416107,103,3,"103,102,101",0.926214,0.98,5566.0
339276534,103,3,"103,102,101",46.3263,,3988.0
343165279,103,3,"103,102,101",0.444099,0.440218,3163.0
