host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
Kepler-1647,18004,12483,12165,12165,32.431681848478114,978.22546,pdcsap_flux
Kepler-1646,19611,19611,19605,19605,0.0305950741930516,276.13272,pdcsap_flux
Kepler-1649,19611,19611,19611,19611,0.0,129.39995,pdcsap_flux
Kepler-1626,112768,98167,98166,98166,12.948708853575486,386.12926,pdcsap_flux
Kepler-165,18787,15737,15737,15737,16.234630329483156,331.7577,pdcsap_flux
Kepler-1650,18322,18322,18322,18322,0.0,165.57879,pdcsap_flux
Kepler-1652,18410,14176,14175,14175,23.003802281368824,169.4694,pdcsap_flux
Kepler-1651,18423,17730,17729,17729,3.76703034250665,2473.0557,pdcsap_flux
Kepler-1654,19611,19611,19611,19611,0.0,1046.7524,pdcsap_flux
Kepler-1655,19611,19611,19610,19610,0.0050991790321752,8919.3085,pdcsap_flux
Kepler-1656,19611,19611,19611,19611,0.0,9096.405,pdcsap_flux
Kepler-166,18788,17816,17816,17816,5.173515009580587,392.0475,pdcsap_flux
Kepler-1660_A,18424,18424,18258,18258,0.9009986973512852,932.62668,pdcsap_flux
Kepler-1661,18424,18424,18419,18419,0.0271385149804626,405.69385,pdcsap_flux
Kepler-1663,18555,12977,12977,12977,30.06197790353005,183.8054,pdcsap_flux
Kepler-1664,18788,16185,16185,16185,13.854588034915905,936.8966,pdcsap_flux
Kepler-1665,18788,17708,17708,17708,5.7483500106450975,1084.0622,pdcsap_flux
Kepler-1666,18410,14366,14366,14366,21.966322650733293,161.80848500000002,pdcsap_flux
Kepler-1667,18788,15834,15833,15833,15.728124334681716,965.4227,pdcsap_flux
Kepler-1669,19473,17852,17852,17852,8.32434653109434,91.2474175,pdcsap_flux
Kepler-167,19611,19611,19611,19611,0.0,723.84875,pdcsap_flux
Kepler-1670,18556,14580,14580,14580,21.427031687863764,131.55989,pdcsap_flux
Kepler-1640,112769,98129,98129,98129,12.982291232519572,201.11107,pdcsap_flux
Kepler-1672,17897,17897,17897,17897,0.0,2443.7036,pdcsap_flux
Kepler-1671,19474,18006,18005,18005,7.543391188251003,1203.7874,pdcsap_flux
Kepler-1673,19610,19610,19608,19608,0.0101988781234019,854.0235,pdcsap_flux
Kepler-1674,18408,17717,17717,17717,3.753802694480657,113.086716,pdcsap_flux
Kepler-1676,18788,16531,16531,16531,12.012987012987008,869.26965,pdcsap_flux
Kepler-1675,19611,19611,19611,19611,0.0,895.5216,pdcsap_flux
Kepler-1677,18788,18604,18604,18604,0.979348520332124,735.671625,pdcsap_flux
Kepler-1679,19025,14345,14345,14345,24.599211563731927,172.44466,pdcsap_flux
Kepler-1678,18782,17793,17779,17779,5.340219358960708,284.1986,pdcsap_flux
Kepler-1680,19474,17923,17923,17923,7.964465441100954,824.7293,pdcsap_flux
Kepler-1681,18788,18604,18604,18604,0.979348520332124,338.283385,pdcsap_flux
Kepler-1687,18556,12811,12811,12811,30.96033627937056,210.60513,pdcsap_flux
Kepler-1683,18410,18410,18410,18410,0.0,271.058945,pdcsap_flux
Kepler-1686,18788,18604,18603,18603,0.9846710666382764,702.5191,pdcsap_flux
Kepler-1688,18787,17581,17581,17581,6.41933251716612,754.51685,pdcsap_flux
Kepler-1689,19610,19610,19610,19610,0.0,3474.3108,pdcsap_flux
Kepler-169,19610,19610,19610,19610,0.0,615.914395,pdcsap_flux
Kepler-1691,18556,15424,15423,15423,16.884026729898682,235.26237,pdcsap_flux
Kepler-1690,18787,17183,17156,17156,8.681535104061322,437.376635,pdcsap_flux
