Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
Wendelstein-2,Success,4.519236958003603,0.988861833990086,0.968735917005688,name
Wolf 1061,Success,2.3275718329823576,0.1821083340037148,2.223298499971861,name
Wolf 1069,Success,11.468983167025726,0.2461683750152588,0.7163818750123028,name
Wolf 327,Success,1.932979625009466,0.8872462910076138,1.0926455830049235,name
Wolf 503,Success,1.599502750003012,0.0876525829953607,0.2904225419915747,name
XEST 17-036,No TESS Data,7.126315250003245,0.0,0.0,none
XO-1,Success,3.25110054097604,0.5821112909761723,0.7925348750140984,name
XO-2 N,Success,3.325153499987209,0.5503669159952551,0.6831898750097025,name
XO-2 S,Success,2.8099762920173816,0.1041412499907892,0.6707572499872185,name
XO-3,Success,6.878126083000097,0.6909575829922687,0.340648167009931,name
XO-4,Success,3.347991249989718,0.2664505830034613,0.8452583329926711,name
XO-5,Success,2.0330208329833113,0.0862981250102166,0.4804188749985769,name
XO-6,Success,5.665568999975221,0.9662163750035688,0.8773489169834647,name
XO-7,Success,16.991628957999637,0.3434375829820055,0.5746623330051079,name
YZ Cet,Success,4.329068499995628,1.0185178329993505,0.8964358330122195,name
ZTF J1230-2655,Success,3.0310158749925904,1.0106528330070432,1.3509912500157952,name
ZTF J1828+2308,No TESS Data,4.729801125009544,0.0,0.0,none
alf Ari,Success,3.826695583004039,0.3550081670109648,0.1798321669921279,name
alf Tau,Success,3.88860829200712,0.1380861250218004,0.0485498330090194,name
b Cen A,Success,4.818307291978272,0.338645790994633,0.3212810000113677,stripped_name
bet Cnc,Success,4.445959375007078,0.1048632079910021,0.4261452080099843,name
bet Pic,Success,18.978106040973216,0.1606560410000383,0.3505349579791073,name
bet UMi,Success,8.804676749976352,0.4294497910013888,0.1838132090051658,name
eps CrB,Success,3.137688540999079,0.083322374994168,0.3702681669965386,name
eps Eri,Success,1.7588124579924624,0.081235874997219,0.3179431250027846,name
eps Ind A,Success,7.0229227079835255,0.6199130000022706,1.0648369579866994,stripped_name
eps Tau,Success,3.681909666978754,0.1044747499981895,0.4265745409938972,name
gam Cep,Success,10.289057084009984,0.3817674579913728,0.8635209999920335,name
gam Lib,Success,1.6399407080025412,0.4577229580027051,2.585057541000424,name
gam Psc,Success,3.98368274999666,0.5102040420169942,0.4975480419816449,name
gam1 Leo,Success,2.660194541007513,0.1047357920033391,0.0549695829977281,name
iot Dra,Success,6.107642625021981,0.8539687090087682,1.2877835419785697,name
kap And,Success,3.5077539589838125,0.670561999984784,3.904535375011619,name
kap CrB,Success,2.139741042017704,0.0846990420250222,0.3634611669986043,name
mu Leo,Success,3.4318993749911897,0.1553517089923843,0.4211005420074798,name
mu2 Sco,Success,5.704018166987225,1.7856075830059126,0.6005056249850895,name
nu Oct A,Success,10.44248729100218,0.0858077089942526,0.5988535410142504,stripped_name
nu Oph,Success,3.51828479199321,0.9216405829938594,1.305564999987837,name
ome Ser,Success,1.8115662499913017,0.7140187920012977,0.9096941250027156,name
omi CrB,Success,2.706367040984333,0.2796276670123916,0.3737513329833746,name
omi UMa,Success,4.0929126249975525,0.4105896670080255,0.6541501659958158,name
psi1 Dra B,Success,18.035169167007552,0.0833660000062082,0.3755820000078529,name
rho CrB,Success,3.3466832500125747,0.5431454160134308,0.535812000016449,name
tau Boo,Success,1.30720320797991,0.4056052910163998,0.3169217919930815,name
tau Cet,Success,4.256208750011865,0.1230485829873941,0.3709268340026028,name
tau Gem,Success,4.668541999999434,0.5915585420152638,0.3593885830196086,name
ups And,Success,3.4700199170038104,0.3902090000046883,0.4991643330140505,name
ups Leo,Success,2.9069655839994084,0.3433298750023823,0.5289895840105601,name
xi Aql,Success,4.015399457974127,0.083093541994458,0.2635053340054583,name
81 Cet,No TESS Data,3.699355207994813,0.0,0.0,none
BD-17 63,No TESS Data,3.534208541997941,0.0,0.0,none
CFBDSIR J145829+101343,No TESS Data,3.0583762080059387,0.0,0.0,none
CFHTWIR-Oph 98 A,No TESS Data,4.688986333989305,0.0,0.0,none
CWISEP J193518.59-154620.3,No TESS Data,3.16043308400549,0.0,0.0,none
CoRoT-27,No TESS Data,4.699042332998943,0.0,0.0,none
CoRoT-35,No TESS Data,3.8656624580034986,0.0,0.0,none
CoRoT-36,No TESS Data,5.7014076670166105,0.0,0.0,none
GJ 1214,No TESS Data,3.2008777080045547,0.0,0.0,none
GJ 3998,No TESS Data,1.677594750013668,0.0,0.0,none
GSC 06214-00210,No TESS Data,2.1820032499963418,0.0,0.0,none
HATS-58 A,Download of mast:TESS/product/tess2021091135823-s0037-0000000021113347-0208-a_fast-lc.fits failed. MAST returns ERROR: HTTPError: 404 Client Error: Not Found for url: https://stpubdata.s3.us-east-1.amazonaws.com/tess/public/tid/s0037/0000/0000/2111/3347/tess2021091135823-s0037-0000000021113347-0208-a_fast-lc.fits,,,,
HD 110537,No TESS Data,3.063002290989971,0.0,0.0,none
HD 148164,No TESS Data,2.5311932080076076,0.0,0.0,none
HD 149143,No TESS Data,2.5364992909890134,0.0,0.0,none
HD 149806,No TESS Data,1.9793748749943916,0.0,0.0,none
HD 152581,No TESS Data,3.5892446659854613,0.0,0.0,none
HD 155193,No TESS Data,2.5919930420059245,0.0,0.0,none
HD 159243,No TESS Data,3.8229368749889545,0.0,0.0,none
HD 16141,No TESS Data,2.5699334999953862,0.0,0.0,none
