host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
TIC_159244568,Success,17052.0,16500.0,16500.0,16500.0,3.2371569317382165,6227.8565,pdcsap_flux,0.2910329169826582
TIC_172376068,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.007664582983125001
TIC_161477033,Success,15692.0,14742.0,14742.0,14742.0,6.05404027529951,15378.4795,pdcsap_flux,0.2650602079811506
TIC_160074939,Success,18298.0,18298.0,18298.0,18298.0,0.0,52602.517,pdcsap_flux,0.3156891670078039
TIC_184670625,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.007552333001513034
TIC_165551882,Success,18423.0,14078.0,14077.0,14077.0,23.590077620365847,1404.6562,pdcsap_flux,0.2644459159928374
TIC_185482513,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008835333050228655
TIC_187861378,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.013943916012067348
TIC_190981760,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.016351624974049628
TIC_191373021,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.01007812499301508
TIC_18574158,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.06854150001890957
TIC_187495621,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.06993687502108514
TIC_16920150,Success,15114.0,12695.0,12686.0,12686.0,16.0645758899034,13972.544,pdcsap_flux,0.24969949998194352
TIC_176957796,Success,18278.0,18278.0,18277.0,18277.0,0.005471058102635151,8293.509,pdcsap_flux,0.35027541703311726
TIC_19451711,Success,16338.0,16338.0,16335.0,16335.0,0.01836210062431398,184761.34,pdcsap_flux,0.3538877079845406
TIC_198211976,Success,18423.0,16334.0,16334.0,16334.0,11.339087010801718,5012.2525000000005,pdcsap_flux,0.3352427090285346
TIC_198384408,Success,18410.0,18410.0,18409.0,18409.0,0.00543183052689189,475430.6,pdcsap_flux,0.3567461660131812
TIC_208030798,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.01209687499795109
TIC_20892672,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.01896320900414139
TIC_200807066,Success,13540.0,12973.0,12973.0,12973.0,4.187592319054656,44914.29,pdcsap_flux,0.30203349998919293
TIC_198457103,Success,18412.0,18412.0,18406.0,18406.0,0.032587442971976355,96500.47,pdcsap_flux,0.45868008298566565
TIC_100504381,Success,99310.0,82064.0,82064.0,82064.0,17.365824186889533,34385.002,pdcsap_flux,1.5747076669940725
TIC_20303110,Success,17191.0,12566.0,12544.0,12544.0,27.03158629515444,2057.1478500000003,pdcsap_flux,0.34681737498613074
TIC_2016376984,Success,17991.0,17991.0,17991.0,17991.0,0.0,1410.3938,pdcsap_flux,0.3831072920002043
TIC_219380235,Success,18567.0,16626.0,16626.0,16626.0,10.454031345936343,7103.1606,pdcsap_flux,0.3605533750378527
TIC_219401954,Success,13541.0,12939.0,12938.0,12938.0,4.453142308544422,21910.763,pdcsap_flux,0.2216075409669429
TIC_141985686,Success,113420.0,78651.0,78633.0,78633.0,30.670957503085873,18610.246,pdcsap_flux,1.6490495420293882
TIC_224600500,Success,18414.0,18414.0,18409.0,18409.0,0.027153252959699614,323000.4,pdcsap_flux,0.3284315000055358
TIC_219751469,Success,18746.0,18503.0,18494.0,18494.0,1.344286781179982,81917.655,pdcsap_flux,0.40299599996069446
TIC_224601047,Success,18843.0,16740.0,16740.0,16740.0,11.160643209679987,725.5915,pdcsap_flux,0.3097691670409404
TIC_229951289,Success,18424.0,17734.0,17734.0,17734.0,3.745115067303517,13030.789499999999,pdcsap_flux,0.3203094999771565
TIC_229976631,Success,19610.0,19610.0,19610.0,19610.0,0.0,5690.56025,pdcsap_flux,0.34500183298951015
TIC_23863106,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.016415415972005576
TIC_233059608,Success,18419.0,18419.0,18419.0,18419.0,0.0,274369.03,pdcsap_flux,0.34576808399287984
TIC_24094603,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.013169125013519078
TIC_240613164,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.015158499998506159
TIC_242460075,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.01845495798625052
TIC_233684293,Success,18421.0,18421.0,18420.0,18420.0,0.005428586938815982,39008.61,pdcsap_flux,0.33132854104042053
TIC_233831759,Success,18882.0,18024.0,18023.0,18023.0,4.5493062175617,1698.7509,pdcsap_flux,0.3345022080466151
TIC_25624952,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.018549583037383854
TIC_256414077,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008113500021863729
TIC_237108272,Success,18422.0,18422.0,18422.0,18422.0,0.0,31551.662,pdcsap_flux,0.3594738749670796
TIC_237184773,Success,19607.0,19607.0,18924.0,18924.0,3.4834497883408977,97849.83,pdcsap_flux,0.3618497910210863
TIC_251086776,Success,15677.0,14826.0,14826.0,14826.0,5.428334502774767,9951.542,pdcsap_flux,0.2883408750058152
TIC_245947683,Success,16637.0,15625.0,15624.0,15624.0,6.088838131874741,14204.2135,pdcsap_flux,0.31709262501681224
TIC_264460005,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.010821458010468632
TIC_269077474,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.007421499991323799
TIC_268372005,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.011588208959437907
TIC_273069412,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.08369058300741017
TIC_274002141,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.058885584003292024
TIC_275562670,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.0066114579676650465
TIC_262457587,Success,11140.0,8714.0,8668.0,8668.0,22.1903052064632,10175.56075,pdcsap_flux,0.27792458300245926
TIC_259099556,Success,18423.0,18423.0,18419.0,18419.0,0.02171199044672667,44572.312,pdcsap_flux,0.42986608401406556
TIC_259863352,Success,18273.0,18273.0,18272.0,18272.0,0.005472555135987989,230338.435,pdcsap_flux,0.43303758301772177
TIC_280307604,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.018748417031019926
TIC_282091493,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.011929458996746689
TIC_283702603,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.015849624993279576
TIC_284254253,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.010810624982696027
TIC_259962054,Success,18277.0,18277.0,18274.0,18274.0,0.01641407233134995,1903.6127999999999,pdcsap_flux,0.43977858300786465
TIC_289047954,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.006399833015166223
TIC_289441015,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008661957981530577
TIC_290348382,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.010572459024842829
TIC_291732201,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.015114584006369114
TIC_292797572,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.009355833986774087
TIC_293978434,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.008683416002895683
TIC_270435047,Success,17990.0,17990.0,17990.0,17990.0,0.0,1260.5327,pdcsap_flux,0.40628904197365046
TIC_2760710,Success,18300.0,18300.0,18299.0,18299.0,0.005464480874317612,533.3989,pdcsap_flux,0.3070143749937415
TIC_29830212,"Skipped: Non-standard schema (missing columns: ['pdcsap_flux', 'pdcsap_flux_err'])",,,,,,,,0.007395374996121973
