hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
Kepler-1296,Kepler-1296 b,292.1251038,41.4077928,0.83,5359.0,0.87
Kepler-1221,Kepler-1221 b,285.8223636,45.7118423,0.82,5194.0,0.87
Kepler-158,Kepler-158 d,284.0323723,39.7815365,0.668,4895.97,0.656
OGLE-2018-BLG-1700L,OGLE-2018-BLG-1700L b,269.956042,-28.5286389,,,0.42
Kepler-49,Kepler-49 b,292.2945208,40.5918123,0.618,4095.6,0.607
TOI-1295,TOI-1295 b,256.6722026,67.8715032,1.7,6280.0,1.38
Kepler-1691,Kepler-1691 b,286.2543962,41.0218373,1.13152,6000.0,1.11
Kepler-180,Kepler-180 c,295.5712566,49.774514,1.063,5731.0,0.95
HATS-33,HATS-33 b,294.6336944,-55.3302692,1.022,5659.0,1.062
K2-254,K2-254 c,185.5507926,-4.7172908,0.67,4629.0,0.71
HD 38283,HD 38283 b,84.2605324,-73.6998131,1.49,5981.0,1.37
Kepler-162,Kepler-162 c,297.2789115,43.7239693,0.958,5816.0,1.053
TOI-375,TOI-375 d,47.1499034,-77.3833275,2.9,5259.9,1.441
K2-248,K2-248 b,182.8173343,-9.4141696,0.92,5528.0,0.88
Kepler-1252,Kepler-1252 b,298.9503634,46.6928437,1.09,5949.0,1.06
WASP-35,WASP-35 b,76.0818912,-6.2297801,1.08,5990.0,1.05
HD 155918,HD 155918 b,260.5364025,-75.349239,1.01906,5771.84,1.03
Kepler-300,Kepler-300 c,295.2886934,48.5997243,0.9,5986.0,1.07
HD 55696,HD 55696 b,108.0622029,-38.174639,1.52,6012.0,1.29
Kepler-787,Kepler-787 b,291.6924773,38.5729105,0.62,4248.0,0.65
Kepler-79,Kepler-79 e,300.5171067,44.3815508,1.316,6389.0,1.244
NGTS-12,NGTS-12 b,176.2499418,-35.640563,1.589,5690.0,1.021
Kepler-493,Kepler-493 b,295.3075252,38.8815716,1.54,6457.0,1.36
TOI-4155,TOI-4155 b,325.6362269,77.7343836,0.95,5724.0,1.16
KMT-2018-BLG-0029L,KMT-2018-BLG-0029L b,264.469458,-27.9847,,,1.14
KMT-2019-BLG-2974L,KMT-2019-BLG-2974L b,267.8520833,-29.4231611,,,0.47
HATS-28,HATS-28 b,284.3997616,-49.1385126,0.922,5498.0,0.929
Kepler-214,Kepler-214 c,284.7548499,44.95605,1.352,6169.0,1.11
HD 33142,HD 33142 b,76.8980559,-13.9863374,4.17,5025.4,1.52
GJ 4274,GJ 4274 b,335.7805478,-17.6104078,0.19,3228.0,0.18
Kepler-385,Kepler-385 b,294.3385109,50.3365178,1.126,6326.0,0.992
HD 27631,HD 27631 b,64.9392168,-41.9606604,0.923,5737.0,0.944
KIC 5479689,KIC 5479689 b,299.3254983,40.6381229,0.894,5459.1,0.966
TOI-2120,TOI-2120 b,23.507315,65.5139877,0.245,3131.0,0.211
Kepler-1257,Kepler-1257 b,296.0756231,45.6270165,0.87,5502.0,0.9
Kepler-1744,Kepler-1744 b,291.0206823,42.4624633,0.85,5986.0,0.886
OGLE-2017-BLG-0482L,OGLE-2017-BLG-0482L b,269.048889,-30.5283604,,,0.2
Kepler-901,Kepler-901 b,291.1528056,40.8876814,0.57,4184.0,0.59
KELT-6,KELT-6 c,195.9818362,30.640145,1.529,6272.0,1.126
Kepler-298,Kepler-298 b,283.0398448,48.8253303,0.582,4465.0,0.66
TIC 279401253,TIC 279401253 c,57.6572277,-15.0262251,1.06,5951.0,1.13
Kepler-143,Kepler-143 c,298.0676519,49.412541,1.359,5848.0,0.982
ups Leo,ups Leo b,174.2372188,-0.8235643,11.22,4836.0,1.48
Kepler-808,Kepler-808 b,291.5941514,48.4454907,0.71,4653.0,0.76
Kepler-885,Kepler-885 b,288.6615682,49.7371538,1.35,6187.0,1.21
Kepler-151,Kepler-151 c,292.1627933,41.0231947,0.83,5460.0,0.87
OGLE-2012-BLG-0950L,OGLE-2012-BLG-0950L b,272.019257,-29.7315826,,,0.57
Kepler-923,Kepler-923 b,294.1710831,40.0551372,1.26,5988.0,1.11
Kepler-191,Kepler-191 c,291.1833211,45.3230937,0.789,5282.0,0.857
OGLE-2011-BLG-0251L,OGLE-2011-BLG-0251L b,264.559083,-27.1361389,,,0.26
K2-247,K2-247 c,188.8935189,-10.0692793,0.69,4667.0,0.74
K2-322,K2-322 b,156.6226981,4.7640203,0.602,4141.0,0.63
HATS-44,HATS-44 b,84.3267559,-27.9725758,0.847,5080.0,0.86
K2-352,K2-352 c,140.4451478,18.469628,0.95,5791.0,0.98
TOI-1408,TOI-1408 c,313.5110469,72.5806455,1.53,6117.0,1.312
Kepler-1460,Kepler-1460 b,285.5577888,44.0108221,0.67,4422.0,0.7
Kepler-41,Kepler-41 b,294.5132465,45.9816453,1.29,5750.0,1.15
Kepler-229,Kepler-229 d,286.9994758,48.3757867,0.728,5120.0,0.808
HD 72659,HD 72659 b,128.5128072,-1.5686323,1.36,5929.0,1.033
Kepler-11,Kepler-11 b,297.1150949,41.9091092,1.065,5663.0,0.961
Kepler-900,Kepler-900 b,296.177272,46.9989635,0.73,4836.0,0.78
OGLE-2016-BLG-1800L,OGLE-2016-BLG-1800L b,269.9032083,-30.8653611,,,0.41
