host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
K2-30,Success,17028.0,12472.0,12470.0,12470.0,26.76767676767676,1608.4646,pdcsap_flux,0.2328196660091634
K2-315,Success,14095.0,12507.0,12507.0,12507.0,11.266406527137285,274.59998,pdcsap_flux,0.2148923329950776
K2-316,Success,14095.0,12605.0,12605.0,12605.0,10.571124512238384,305.5784,pdcsap_flux,0.1935461250250227
K2-317,Success,14096.0,12513.0,12513.0,12513.0,11.23013620885358,109.62984,pdcsap_flux,0.2039927919977344
K2-318,Success,14055.0,12454.0,12454.0,12454.0,11.390964069726072,831.81123,pdcsap_flux,0.1837288750102743
K2-285,Success,94405.0,65330.0,65330.0,65330.0,30.798156877284043,5052.5188,pdcsap_flux,1.0035375409934204
K2-319,Success,16531.0,16193.0,16193.0,16193.0,2.044643397253642,4374.8545,pdcsap_flux,0.2436677079822402
K2-321,Success,13363.0,12975.0,12975.0,12975.0,2.903539624335849,3056.9167,pdcsap_flux,0.1964910830138251
K2-320,Success,16511.0,15916.0,15916.0,15916.0,3.60365816728242,160.84351500000002,pdcsap_flux,0.2352149169892072
K2-322,Success,16511.0,15666.0,15666.0,15666.0,5.1178002543758705,1756.28865,pdcsap_flux,0.2317103339883033
K2-324,Success,16513.0,15729.0,15729.0,15729.0,4.747774480712163,641.6495,pdcsap_flux,0.2322625840024557
K2-323,Success,16513.0,15918.0,15918.0,15918.0,3.603221704111914,1003.54724,pdcsap_flux,0.2361732500139624
K2-325,Success,15276.0,11350.0,11349.0,11349.0,25.7069913589945,166.51685,pdcsap_flux,0.1843067499867174
K2-31,Success,84587.0,72675.0,72664.0,72664.0,14.095546596994811,16068.7475,pdcsap_flux,1.1198964590148537
K2-329,Success,14999.0,9332.0,9330.0,9330.0,37.795853056870456,2886.5935,pdcsap_flux,0.1591458329930901
K2-326,Success,14930.0,11152.0,11152.0,11152.0,25.304755525787005,349.69640000000004,pdcsap_flux,0.1761070420034229
K2-3,Success,99422.0,93434.0,93434.0,93434.0,6.022811852507493,9094.7995,pdcsap_flux,1.3282007919915486
K2-330,Success,16341.0,16341.0,16341.0,16341.0,0.0,35672.582,pdcsap_flux,0.2308670000056736
K2-331,Success,16287.0,15506.0,15506.0,15506.0,4.795235463866887,8000.676,pdcsap_flux,0.219183792010881
K2-332,Success,16285.0,15503.0,15503.0,15503.0,4.801964998464847,136.72983,pdcsap_flux,0.2318559999985154
K2-308,Success,107873.0,102139.0,102139.0,102139.0,5.315509905166261,291.42468,pdcsap_flux,1.4622449169983156
