host,n_points,n_points_original,was_binned,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,elapsed_s
TIC_424699834,17896,17896,False,8.724081264568763,7.884929139444571,0.000240096,2.404955376296642,0.0130767455719891,2826.1613380286526,0.099279265478176,0.9985649473042348,0.9987732450148088,0.0001991508926123,0.9991823892770186,0.9983650544688278,1.454633216576121,0.0340675632779932,5.969921048255887,12,12,0,45.40377491601976
TIC_424747720,17002,17002,False,19.145497030900604,10.875684914035029,8.0032e-05,10.301996371602977,0.0675873715812844,1665.877456511198,0.0560525123739936,0.9783591539469914,0.976101010952508,0.0007816389966869,0.9757694492322864,0.9764193102039208,0.2978493466102395,0.1322952540545984,21.74510940075584,2,2,0,41.58233000000473
TIC_425163745,1024,1024,False,14.879692741388714,14.424195351987382,8.0032e-05,0.8300650223137179,0.0023057492932678,1438.5691288444243,0.0216693700769095,0.99851691012233,0.9987279608159142,0.0001577504139447,0.9985889310408348,0.9989265747803134,0.7518442936781032,0.0346330613513401,9.880646654709848,31,17,14,4.112261958012823
TIC_425220920,1050,1050,False,4.95661346451927,3.796542057885995,,4.412396706207015,0.0338227140892062,1495.1765544266357,0.3372220858477417,0.9992687999868998,0.999900845212316,3.602147275152519e-05,0.9998830468511648,0.99991810422919,0.3467961506222736,0.0243178537415375,2.4474163786086884,5,4,1,3.283274209010415
TIC_425721385,14803,74017,True,4.722523384670979,4.645536527514364,,0.8200914016107614,0.0026989393861288,2036.538317915284,0.015925521327752,0.999859761713048,0.9998588344303824,5.482513835268556e-05,0.9998473393788412,0.999871280200472,0.1542765209911628,0.010649775329664,2.6047650608043074,26,21,5,22.52115720801521
TIC_426017070,18295,18295,False,12.892765091156836,12.60091302923326,8.0032e-05,1.199311741602194,0.0052634062818837,1355.1735875983295,0.0559975569478499,0.9702046326719732,0.9731864384253732,0.00268203745257,0.9699099836991166,0.9768483584135422,0.9126419443854048,0.1552320950272258,10.398745686710376,22,21,1,55.35947887500515
TIC_426077080,13956,111652,True,5.9969081512862,4.883633930336832,0.057543017,1.9977620760863384,0.0068080880071786,2363.289980406681,0.025590296077863,0.9998502416314564,0.9998545813118498,4.320807342410162e-05,0.9999207731138564,0.99979566333424,1.0365045746851749,0.0110053205568812,3.1942727421712203,14,13,1,32.3449824579875
TIC_427279997,867,867,False,8.60731346791474,7.776155741690269,0.000480192,2.8994622333715574,0.0270883091919265,1765.8108535043195,0.1114559861307196,0.9994499722356,0.9994595683808876,6.467851003005452e-05,0.9994846968225396,0.9994359180828616,0.2670184102602896,0.0210911107924296,7.5474663109712,8,6,2,5.8281935839913785
TIC_427348923,14601,14601,False,8.433593681296767,7.885355982927507,0.000720288,4.725319720934859,0.0275399997176326,1468.4361927780485,0.1176361143921514,0.9990683596800164,0.999191255726798,0.0001585959718242,0.9989977568662288,0.9993755948779912,0.8542536112619327,0.0274493006975888,5.676686908137737,5,4,1,29.820806042000186
TIC_427352241,14683,14683,False,15.256442122657749,14.129401988786432,8.0032e-05,1.2646942329398458,0.0047500660796291,1468.8248962151597,0.0509407117111311,0.9989886683330648,0.999093141798284,5.429512413813562e-05,0.9991897760645932,0.9989699143811688,1.441077754901012,0.0285992042832306,15.734367576779723,17,16,1,31.551981750002597
TIC_42755801,17458,17458,False,13.81036144480608,12.546498170505018,8.0032e-05,4.352156720149915,0.0310929188178183,2204.1630362292785,0.1045677095617525,0.9993984799784876,0.9994892265022364,3.1814233108627566e-05,0.9994805503409464,0.9994979412242434,0.1933314899900186,0.022056276145307,16.246979774098424,6,6,0,37.599858750007115
TIC_427654774,11790,11790,False,12.520605568510993,11.116229476849885,8.0032e-05,5.211567844258685,0.0315763618265321,1765.0613909303486,0.0953819271541603,0.98910304430587,0.9895469761520302,0.0011492851083814,0.9877325067990644,0.9913887307584238,1.130568584712491,0.0938771160487347,8.99236181136976,5,4,1,22.63616166700376
TIC_428065977,877,877,False,9.439177773554263,8.419581577945234,8.0032e-05,1.649196523500713,0.0165218456750602,1739.203744641009,0.1564299363200773,0.9994465384608632,0.9994801451453434,3.995753352471566e-05,0.9994584505580636,0.9995023218345622,0.3902961496233705,0.0211568433320499,11.675657538712992,14,12,2,2.40795091597829
TIC_428685938,16048,16048,False,9.140614650524478,4.370618586021961,8.0032e-05,4.461260765970285,0.022874111613572,3018.3947846646056,0.0560928542270035,0.9829018607088,0.9859825323813324,0.0015696899928639,0.9894656999809286,0.9807792820165036,1.9451395855231823,0.1175930276494234,12.256877040625485,5,5,0,42.921365040994715
TIC_429295277,15788,15788,False,14.444901440511403,13.732902529703688,8.0032e-05,1.106687049696284,0.0053439157673662,2308.9715545400595,0.0765553956187501,0.9994450429085172,0.9995068000928796,3.5269982310503166e-05,0.9994962027991692,0.9995173781537522,0.2122936447386829,0.0211854088404426,14.212642170286404,22,20,2,26.379792167048436
TIC_429414530,18880,18880,False,6.195600130037703,6.007211887279074,0.040016006,2.6304550961334803,0.0152014198851258,2798.5166061468235,0.1056963794235473,0.9987892763507956,0.998938526097514,0.000198145672127,0.9988823684123032,0.9989945363872256,0.2001621983453441,0.0312917361502035,5.188815563183862,10,10,0,45.67644333298085
TIC_4294779,17045,17045,False,10.11730886037027,9.854365600085163,8.0032e-05,0.682309337682894,0.0044000546921324,2174.891265075667,0.0767758218490131,0.9678168510120138,0.9720845592121128,0.0018084544147737,0.9741285386084008,0.9699603363498857,0.8151606410586606,0.1613323332256552,15.031181696527517,37,35,2,40.995393374993
TIC_430528566,14263,114109,True,21.09477206134882,20.10476463622543,8.0032e-05,1.1184434961152885,0.0031487833594469,2826.204334255297,0.0214769110086287,0.9987556447249027,0.9989227388661188,0.0001557613095537,0.9988712890203088,0.998983466552976,0.2545184868326765,0.0317233719635037,6.964985290300849,25,24,1,40.99188633298036
TIC_430677414,13547,13547,False,13.467208477245414,13.319250659284627,8.0032e-05,0.9354567266689806,0.0060591899595635,1738.9189812671332,0.0603331512012401,0.9987328916727602,0.9988144697096752,2.7191717115286614e-05,0.9988445869181304,0.9987823492924008,0.8095719924393381,0.0320120892735096,40.681407787309496,25,21,4,32.70083387498744
TIC_431148743,11372,11372,False,8.57139969451029,5.819311747804893,0.000480192,13.581132621217977,0.1312711552949279,2825.4135880810645,0.1621604081309698,0.9975359163097796,0.9978923016489332,0.0001392413713918,0.998879816607278,0.9958140985276402,10.42114392938956,0.0446410986028097,30.46224705081408,3,3,0,29.16909450001549
TIC_431156009,14902,104316,True,5.601897673770353,5.409794217228072,,0.7334107749526375,0.0017390321833233,2853.6018633040458,0.0164086641090709,0.9998858601874652,0.999880783081947,3.750162864390163e-05,0.9999012876486087,0.999859302107349,0.3959339093184175,0.0096078391632892,3.2698676952375023,39,35,4,28.48233883298235
TIC_431585347,857,857,False,10.503019593617449,9.26834716064998,8.0032e-05,5.152169293215582,0.0435612227498145,1766.1616499601837,0.1602457899228155,0.9986509254354626,0.9986569831861664,7.465014380972533e-05,0.9987330119004424,0.9985657487290348,0.8211379914221106,0.0330312587418281,16.13037459583829,5,4,1,2.4184226249926724
