host,label,status,r_star_used,m_star_used,period_v3,duration_v3,SDE_v3,depth_v3,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,ttv_std,ttv_amplitude,elapsed_s
WASP-7,1.0,Success,1.432,1.276,2.4758214889043533,0.0313742232829529,10.52617450835592,0.999689705789484,2.975775010642129e-07,0.0003552328808178,1.703590704504876e-06,-0.4076405562699764,2.6496835849536677e-13,6.821210263296962e-13,13.918018416967245
WASP-70_A,1.0,Success,1.215,1.106,3.7160471455605903,0.0282313657813845,18.06908618069671,0.995547292552135,2.3349954324879008e-06,0.0010595539007398,-0.0002117609103782,25.00441896883577,2.905274254771666e-13,9.094947017729282e-13,28.183416040963493
WASP-71,1.0,Success,1.82,0.76,2.9110705004412387,0.1271208209825672,10.306961917354494,0.9983229337066438,1.4648128478786904e-06,7.530087186590236e-05,0.0007446423439529,,3.572832617093746e-13,1.1368683772161605e-12,9.358612290991005
WASP-72,1.0,Success,2.18,2.78,2.2180360605774414,0.1296216916419871,11.771590094637643,0.9979995771051968,1.861061980177519e-06,0.0006696307522672,0.0008066061688322,,0.0,0.0,9.43603045900818
WASP-73,1.0,Success,2.55,2.52,4.08471988605066,0.1907486669368961,12.242836692626296,0.9988908423107128,9.418634051060864e-07,0.0005270027510516,2.599214213150347e-05,,0.0,0.0,12.71156158397207
WASP-74,1.0,Success,1.42,0.98,2.135600474763456,0.0263301943932332,16.09793901946939,0.9992397722518456,3.926346043823238e-07,0.0002456807988157,9.388890790262838e-05,,5.30506541582225e-13,1.8189894035458565e-12,13.467841834004505
WASP-75,1.0,Success,1.26,1.14,2.4814375105344353,0.0208148789408893,15.32121368443258,0.995022719344743,2.9905582345028095e-06,0.00060388616587,-0.000267548758706,,1.8905653161780234e-13,4.547473508864641e-13,13.763132708030753
WASP-76,1.0,Success,1.756,1.458,1.8069144142310576,0.0199724038776006,12.002690194265988,0.9994095578459478,4.733750207100303e-07,0.000608960947247,-9.978473853866632e-07,39.30336468610378,2.1436995702562485e-13,4.547473508864641e-13,12.21258037496591
WASP-77_A,1.0,Success,0.91,0.903,1.3590260162000272,0.0181719405465599,21.53323469292501,0.9968078766008448,1.0912921306432824e-06,0.0024528991641325,-7.707553377755971e-07,0.986673858234057,6.977920861387657e-14,2.273736754432321e-13,20.56098070804728
WASP-78,1.0,Success,2.46,1.87,2.1773425594257594,0.1601238361151044,11.540457311227732,0.9968934979165665,8.034479292468262e-06,0.0001428235493574,0.002028272936988,0.4772547758622528,2.757766540717539e-13,9.094947017729282e-13,12.58972079103114
WASP-79,1.0,Success,1.51,1.39,3.669296657622503,0.0255745259167302,13.038223675499935,0.9990276741215314,7.877011040228563e-07,0.0017101124507711,-3.9306029025798495e-05,,0.0,0.0,21.865799999970477
WASP-8,1.0,Success,0.96,1.04,8.179137155911194,0.0450887920533315,18.582438001951655,0.9979268478600009,4.979891914101889e-07,0.0015594507690182,-9.015561036296305e-05,-0.2783346609000213,1.8564982859236946e-13,4.547473508864641e-13,48.19185470795492
WASP-80,1.0,Success,0.586,0.577,12.274010975978806,0.0185661507467432,30.26627234629603,0.9949191017695452,2.8800942982812785e-06,0.001985079088042,-5.33010287859792e-05,,0.0,0.0,49.38441662496189
WASP-81,1.0,Success,1.283,1.08,2.710069890477508,0.0562288648316094,10.103061530546826,0.9924657999748964,1.5829424232750942e-05,0.0015465535705328,0.0001876234055744,0.3381235058291714,2.0839141575178658e-13,4.547473508864641e-13,16.82498554198537
WASP-82,1.0,Success,2.1,1.48,8.111581702399862,0.0314185086445481,9.737678534194323,0.997276856319255,7.342781869098272e-07,,-7.32539722336778e-05,0.3695366627763166,2.5421149729252077e-13,6.821210263296962e-13,20.893315875029657
WASP-83,1.0,Success,1.05,1.11,4.965646335472975,0.0752554388809084,18.057889697554455,0.993865547351429,5.842880521026997e-06,0.0003549675934951,-0.0008125017710083,-0.6737943554298701,1.70150878456022e-13,4.547473508864641e-13,30.26935900002718
WASP-84,1.0,Success,0.768,0.853,8.464211724659696,0.0393240493574078,12.10487989740679,0.9989966151697318,8.60321955022991e-07,0.0003646314043763,-8.172865520572614e-06,,2.1436995702562485e-13,4.547473508864641e-13,26.218422374979127
WASP-85_A,1.0,Success,0.935,1.09,2.659411497435753,0.0276995740101663,18.47022794548284,0.9984826029775692,2.028084744634962e-06,0.0019657395079915,-6.434061959392778e-05,0.3599121779020168,3.351614082885539e-13,9.094947017729282e-13,34.41569879098097
WASP-87,1.0,Success,1.627,1.204,1.684777514223132,0.0590855985054437,14.657337735707284,0.9952792029006664,2.656887502128764e-06,0.0008812237272022,0.0024988606192836,0.6137249090213805,1.1343391897068133e-13,2.273736754432321e-13,16.648076416982803
WASP-88,1.0,Success,1.8,0.94,4.951666885445718,0.0346690943793379,9.581688948487368,0.9990503469586152,2.89300303793007e-06,0.0003593727821377,7.780849864369443e-05,,1.818989403545857e-13,4.547473508864641e-13,12.676295207988003
