host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_1689447815,I/O operation on closed file.,,,,
TIC_407885273,Success,0.4229804159840569,5.623805875016842,tic_id_spoc,3.0
TIC_299612431,I/O operation on closed file.,,,,
TIC_402705956,I/O operation on closed file.,,,,
TIC_350172725,I/O operation on closed file.,,,,
TIC_295376786,I/O operation on closed file.,,,,
TIC_304341456,Success,0.5161574999801815,11.838182916981168,tic_id_spoc,3.0
TIC_238831201,Success,0.3523056249832734,17.22850558295613,tic_id_spoc,3.0
TIC_298281735,Success,0.4017722499556839,25.31851558398921,tic_id_spoc,3.0
TIC_327595545,I/O operation on closed file.,,,,
TIC_1113536772,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001113536772-0303-a_fast/tess2026060005000-s0101-0000001113536772-0303-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_401623705,I/O operation on closed file.,,,,
TIC_1988647548,I/O operation on closed file.,,,,
TIC_363592740,I/O operation on closed file.,,,,
TIC_343681524,I/O operation on closed file.,,,,
TIC_447557875,I/O operation on closed file.,,,,
TIC_35920267,I/O operation on closed file.,,,,
TIC_401671176,Success,1.162463332992047,13.226187209016643,tic_id_spoc,3.0
TIC_410120539,I/O operation on closed file.,,,,
TIC_364164093,I/O operation on closed file.,,,,
TIC_1509222327,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001509222327-0303-s/tess2026060005000-s0101-0000001509222327-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1988987895,I/O operation on closed file.,,,,
TIC_341029467,I/O operation on closed file.,,,,
TIC_1206002130,I/O operation on closed file.,,,,
TIC_71379213,I/O operation on closed file.,,,,
TIC_273365294,I/O operation on closed file.,,,,
TIC_354944747,I/O operation on closed file.,,,,
