host,label,status,elapsed_s,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,st_rad,st_teff,st_mass
KIC_2439243,1,Success,1710.5617890357971,51.21478291198371,26.4759243979372,8.0032e-05,367.4086746129023,0.9207606282469669,540.1296225912018,1.4478539215470652,0.9516924069494568,0.9572737888975734,0.0018902213737013365,0.9583343421793775,0.9550201131737405,0.5894696324313852,0.19765820468583345,54.05917633652888,3.0,3.0,0.0,2.6785663751001602e-05,0.0019042428288487882,-3.693844095797871e-05,-0.7985653003923991,0.6573124489883286,1.244,5624.0,0.931
KIC_11032227,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2519.4109523296356,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_3728432,1,Success,4066.1487872600555,78.02285655911061,38.00263991977533,8.0032e-05,370.9492454625084,0.5759493781341405,257.74930324589184,1.4028913732458541,0.9626444377320194,0.9661545315997134,0.0015334609789435822,0.9641076783525746,0.9682866703988168,0.9880196373318155,0.17381401262334792,56.60906790593524,4.0,4.0,0.0,1.284926495948487e-05,0.0039757336972426225,-8.023402548795744e-06,25.439786911300473,0.6861860127521917,0.653,4518.0,0.639
KIC_8956206,1,Success,3665.704735994339,54.59749141377978,28.08419748590684,8.0032e-05,370.83755438830497,0.585707876904678,257.93072295441584,1.2920787438066017,0.9777528371851749,0.9804645820813646,0.000978404262058863,0.9783213407330265,0.9825146390232533,1.607177413964257,0.1341357257649497,43.2842574057855,4.0,4.0,0.0,7.820641032786165e-06,0.003453662639141148,0.000144948134037981,-0.5482060906594584,0.7567285212854836,0.791,5149.0,0.811
KIC_9651668,1,Success,5109.381617069244,178.37983252318804,175.2610189668055,8.0032e-05,2.684371496921596,0.0002915823263309747,133.34340341023483,0.10929573854695077,0.9871380530529795,0.9881422944141187,0.00014061536187563132,0.988075481039003,0.9882120030354895,0.3435863386363009,0.1019906838559425,196.6452003153155,543.0,486.0,57.0,1.9464019612253755e-06,0.0033449109416708255,0.004899735514590997,0.873118582293894,9.031807334637564,0.956,5561.0,0.859
KIC_11402995,1,Success,2637.3313670158386,35.9413781112816,19.335051688460414,8.0032e-05,371.03197475913225,0.6432808700914165,257.64049204679867,1.3948153192218509,0.9892950509694463,0.9901454348203821,0.00037509142053838095,0.9902709510400854,0.9900157347266885,0.2409769932549592,0.09304637300002801,43.89336838251179,4.0,4.0,0.0,2.667334417491137e-06,0.0005761679605825542,-1.234209309863843e-06,2.354308196894541,0.7092659776072441,1.14,5705.0,0.939
KIC_12120307,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2586.430634021759,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_10857519,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],2133.1484010219574,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_11192998,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3705.3857069015503,,,,,,,,,,,,,,,,,,,,,,,,,,
KIC_8950568,1,TLS: Required feature(s) not computable: ['transit_shape_ratio'],3633.3167481422424,,,,,,,,,,,,,,,,,,,,,,,,,,
